source_method	target_method	tau_used	kind	savings_frac	magnitude_retention	fires
grpo	grpo	0.9	IN_METHOD	0.332421875	0.9589118046498242	2
aero	grpo	0.9	TRANSFER	0.332421875	0.9589118046498242	2
gift	grpo	0.9	TRANSFER	0.332421875	0.9589118046498242	2
areal	grpo	0.9	TRANSFER	0.332421875	0.9589118046498242	2
aero	aero	0.9	IN_METHOD	0.3171875	0.9724539166067689	1
grpo	aero	0.9	TRANSFER	0.3171875	0.9724539166067689	1
gift	aero	0.9	TRANSFER	0.3171875	0.9724539166067689	1
areal	aero	0.9	TRANSFER	0.3171875	0.9724539166067689	1
gift	gift	0.9	IN_METHOD	0.33359375	0.9735773135156043	8
grpo	gift	0.9	TRANSFER	0.33359375	0.9735773135156043	8
aero	gift	0.9	TRANSFER	0.33359375	0.9735773135156043	8
areal	gift	0.9	TRANSFER	0.33359375	0.9735773135156043	8
areal	areal	0.9	IN_METHOD	0.320703125	0.9317885192443773	1
grpo	areal	0.9	TRANSFER	0.320703125	0.9317885192443773	1
aero	areal	0.9	TRANSFER	0.320703125	0.9317885192443773	1
gift	areal	0.9	TRANSFER	0.320703125	0.9317885192443773	1
