tier	n_obs	mean_dH	median_dH	ci95_lo	ci95_hi	frac_dH_above_0p3
boundary	1867	0.379958	0.379958	0.379958	0.379958	1.0000
edge	287	0.408867	0.408867	0.408867	0.408867	1.0000
mid	406	0.420390	0.421731	0.420196	0.420589	1.0000
