tau	n_seeds	mean_delta_r	ci_lo	ci_hi	ci_excludes_zero_neg
0.55	5	-0.053999	-0.093679	-0.019100	1
0.60	5	-0.053999	-0.092969	-0.014057	1
0.65	5	-0.066817	-0.113628	-0.013715	1
0.70	5	-0.066817	-0.113628	-0.011458	1
0.75	5	-0.066817	-0.115120	-0.011458	1
0.80	2	-0.081902	-0.128348	-0.035457	1
0.85	2	-0.081902	-0.128348	-0.035457	1
