seed	rate_pct	fset	tau0_vr	tau3_vr	monotone_non_increasing	ratio_tau0_over_tau3
20260706	1.44	24full	0.5208333333333334	0.0	True	520833333.3333333
20260706	1.44	20raw	0.5531914893617021	0.0	True	553191489.3617021
20260706	1.44	20raw+minmax	0.5531914893617021	0.0	True	553191489.3617021
20260706	1.44	20raw+stat	0.5638297872340425	0.0	True	563829787.2340425
20260706	1.0	24full	0.5606060606060606	0.0	True	560606060.6060605
20260706	1.0	20raw	0.6031746031746031	0.0	True	603174603.1746031
20260706	1.0	20raw+minmax	0.6060606060606061	0.0	True	606060606.060606
20260706	1.0	20raw+stat	0.6031746031746031	0.0	True	603174603.1746031
20260706	0.5	24full	0.35714285714285715	0.0	True	357142857.14285713
20260706	0.5	20raw	0.42857142857142855	0.0	True	428571428.57142854
20260706	0.5	20raw+minmax	0.4137931034482759	0.0	True	413793103.44827586
20260706	0.5	20raw+stat	0.38461538461538464	0.0	True	384615384.61538464
20260706	0.1	24full	0.6666666666666666	0.0	True	666666666.6666666
20260706	0.1	20raw	0.8571428571428571	0.0	True	857142857.1428571
20260706	0.1	20raw+minmax	0.75	0.0	True	750000000.0
20260706	0.1	20raw+stat	0.75	0.0	True	750000000.0
20260706	0.05	24full	0.0	0.0	True	0.0
20260706	0.05	20raw	0.0	0.0	True	0.0
20260706	0.05	20raw+minmax	0.0	0.0	True	0.0
20260706	0.05	20raw+stat	0.5	0.0	True	499999999.99999994
20260708	1.44	24full	0.5684210526315789	0.0	True	568421052.6315789
20260708	1.44	20raw	0.5463917525773195	0.0	True	546391752.5773195
20260708	1.44	20raw+minmax	0.550561797752809	0.0	True	550561797.7528089
20260708	1.44	20raw+stat	0.5604395604395604	0.0	True	560439560.4395604
20260708	1.0	24full	0.5074626865671642	0.0	True	507462686.5671642
20260708	1.0	20raw	0.5217391304347826	0.0	True	521739130.43478256
20260708	1.0	20raw+minmax	0.4918032786885246	0.0	True	491803278.68852454
20260708	1.0	20raw+stat	0.515625	0.0	True	515624999.99999994
20260708	0.5	24full	0.47058823529411764	0.0	True	470588235.2941176
20260708	0.5	20raw	0.45714285714285713	0.0	True	457142857.1428571
20260708	0.5	20raw+minmax	0.4545454545454545	0.0	True	454545454.54545444
20260708	0.5	20raw+stat	0.48484848484848486	0.0	True	484848484.8484848
20260708	0.1	24full	0.5714285714285714	0.0	True	571428571.4285713
20260708	0.1	20raw	0.5	0.0	True	499999999.99999994
20260708	0.1	20raw+minmax	0.5	0.0	True	499999999.99999994
20260708	0.1	20raw+stat	0.625	0.0	True	625000000.0
20260708	0.05	24full	0.0	0.0	True	0.0
