method	step	controller	rollouts_used	contrast_intent	contrast_magnitude	baseline_contrast_magnitude	contrast_restored	cost_ratio
areal	29	STATIC_G16	256	3	2.7638	2.305	0.4588	2.0
areal	29	STATIC_G8	128	3	2.305	2.305	0.0	1.0
areal	30	ADAPTIVE_PP	160	4	3.7533	3.189	0.5643	1.25
areal	30	ADAPTIVE_PP_ORACLE	352	4	3.9996	3.189	0.8106	2.75
areal	30	DUALFORMER_PP	80	4	2.8266	3.189	-0.3624	0.625
areal	30	STATIC_G16	256	4	3.7533	3.189	0.5643	2.0
areal	30	STATIC_G8	128	4	3.189	3.189	0.0	1.0
areal	31	ADAPTIVE_PP	184	7	6.2814	4.8383	1.4431	1.4375
areal	31	ADAPTIVE_PP_ORACLE	520	7	6.9988	4.8383	2.1605	4.0625
areal	31	DUALFORMER_PP	80	7	3.3815	4.8383	-1.4568	0.625
areal	31	STATIC_G16	256	7	6.2814	4.8383	1.4431	2.0
areal	31	STATIC_G8	128	7	4.8383	4.8383	0.0	1.0
areal	32	ADAPTIVE_PP	160	4	3.8709	3.5089	0.362	1.25
areal	32	ADAPTIVE_PP_ORACLE	352	4	3.9998	3.5089	0.4909	2.75
areal	32	DUALFORMER_PP	92	4	3.4125	3.5089	-0.0964	0.7188
areal	32	STATIC_G16	256	4	3.8709	3.5089	0.362	2.0
areal	32	STATIC_G8	128	4	3.5089	3.5089	0.0	1.0
areal	33	ADAPTIVE_PP	176	6	5.6352	4.8376	0.7976	1.375
areal	33	ADAPTIVE_PP_ORACLE	464	6	5.9994	4.8376	1.1618	3.625
areal	33	DUALFORMER_PP	96	6	4.2402	4.8376	-0.5974	0.75
areal	33	STATIC_G16	256	6	5.6352	4.8376	0.7976	2.0
areal	33	STATIC_G8	128	6	4.8376	4.8376	0.0	1.0
areal	34	ADAPTIVE_PP	168	5	4.5176	3.5255	0.9921	1.3125
areal	34	ADAPTIVE_PP_ORACLE	408	5	4.9992	3.5255	1.4737	3.1875
areal	34	DUALFORMER_PP	100	5	2.6543	3.5255	-0.8712	0.7812
areal	34	STATIC_G16	256	5	4.5176	3.5255	0.9921	2.0
areal	34	STATIC_G8	128	5	3.5255	3.5255	0.0	1.0
areal	35	ADAPTIVE_PP	152	3	2.7538	2.2127	0.5411	1.1875
areal	35	ADAPTIVE_PP_ORACLE	296	3	2.9996	2.2127	0.7869	2.3125
areal	35	DUALFORMER_PP	102	3	1.7271	2.2127	-0.4856	0.7969
areal	35	STATIC_G16	256	3	2.7538	2.2127	0.5411	2.0
areal	35	STATIC_G8	128	3	2.2127	2.2127	0.0	1.0
areal	36	ADAPTIVE_PP	160	4	3.7533	3.189	0.5643	1.25
areal	36	ADAPTIVE_PP_ORACLE	352	4	3.9996	3.189	0.8106	2.75
areal	36	DUALFORMER_PP	84	4	3.2991	3.189	0.1101	0.6562
areal	36	STATIC_G16	256	4	3.7533	3.189	0.5643	2.0
areal	36	STATIC_G8	128	4	3.189	3.189	0.0	1.0
areal	37	ADAPTIVE_PP	168	5	4.7538	4.1971	0.5567	1.3125
areal	37	ADAPTIVE_PP_ORACLE	408	5	4.9996	4.1971	0.8025	3.1875
areal	37	DUALFORMER_PP	188	5	4.2996	4.1971	0.1025	1.4688
areal	37	STATIC_G16	256	5	4.7538	4.1971	0.5567	2.0
areal	37	STATIC_G8	128	5	4.1971	4.1971	0.0	1.0
areal	38	ADAPTIVE_PP	152	3	2.8714	2.5326	0.3388	1.1875
areal	38	ADAPTIVE_PP_ORACLE	296	3	2.9998	2.5326	0.4672	2.3125
areal	38	DUALFORMER_PP	154	3	2.4135	2.5326	-0.1191	1.2031
areal	38	STATIC_G16	256	3	2.8714	2.5326	0.3388	2.0
areal	38	STATIC_G8	128	3	2.5326	2.5326	0.0	1.0
areal	39	ADAPTIVE_PP	160	4	3.8614	3.4325	0.4289	1.25
areal	39	ADAPTIVE_PP_ORACLE	352	4	3.9998	3.4325	0.5673	2.75
areal	39	DUALFORMER_PP	142	4	3.8854	3.4325	0.4529	1.1094
areal	39	STATIC_G16	256	4	3.8614	3.4325	0.4289	2.0
areal	39	STATIC_G8	128	4	3.4325	3.4325	0.0	1.0
gift	0	ADAPTIVE_PP	160	4	3.9795	3.7683	0.2112	1.25
gift	0	ADAPTIVE_PP_ORACLE	352	4	4.0	3.7683	0.2317	2.75
gift	0	DUALFORMER_PP	126	4	3.8993	3.7683	0.131	0.9844
gift	0	STATIC_G16	256	4	3.9795	3.7683	0.2112	2.0
gift	0	STATIC_G8	128	4	3.7683	3.7683	0.0	1.0
gift	1	ADAPTIVE_PP	184	7	6.6257	5.7534	0.8723	1.4375
gift	1	ADAPTIVE_PP_ORACLE	520	7	6.9994	5.7534	1.246	4.0625
gift	1	DUALFORMER_PP	130	7	5.7131	5.7534	-0.0403	1.0156
gift	1	STATIC_G16	256	7	6.6257	5.7534	0.8723	2.0
gift	1	STATIC_G8	128	7	5.7534	5.7534	0.0	1.0
gift	2	ADAPTIVE_PP	168	5	4.4095	3.282	1.1275	1.3125
gift	2	ADAPTIVE_PP_ORACLE	408	5	4.999	3.282	1.717	3.1875
gift	2	DUALFORMER_PP	100	5	2.6405	3.282	-0.6415	0.7812
gift	2	STATIC_G16	256	5	4.4095	3.282	1.1275	2.0
gift	2	STATIC_G8	128	5	3.282	3.282	0.0	1.0
gift	3	ADAPTIVE_PP	184	7	6.6057	5.5688	1.0369	1.4375
gift	3	ADAPTIVE_PP_ORACLE	520	7	6.9994	5.5688	1.4306	4.0625
gift	3	DUALFORMER_PP	146	7	4.9404	5.5688	-0.6284	1.1406
gift	3	STATIC_G16	256	7	6.6057	5.5688	1.0369	2.0
gift	3	STATIC_G8	128	7	5.5688	5.5688	0.0	1.0
gift	4	ADAPTIVE_PP	168	5	4.7433	4.0889	0.6544	1.3125
gift	4	ADAPTIVE_PP_ORACLE	408	5	4.9996	4.0889	0.9107	3.1875
gift	4	DUALFORMER_PP	92	5	3.6265	4.0889	-0.4624	0.7188
gift	4	STATIC_G16	256	5	4.7433	4.0889	0.6544	2.0
gift	4	STATIC_G8	128	5	4.0889	4.0889	0.0	1.0
gift	5	ADAPTIVE_PP	176	6	5.409	4.2583	1.1507	1.375
gift	5	ADAPTIVE_PP_ORACLE	464	6	5.999	4.2583	1.7407	3.625
gift	5	DUALFORMER_PP	228	6	5.3575	4.2583	1.0992	1.7812
gift	5	STATIC_G16	256	6	5.409	4.2583	1.1507	2.0
gift	5	STATIC_G8	128	6	4.2583	4.2583	0.0	1.0
gift	6	ADAPTIVE_PP	160	4	3.8709	3.5089	0.362	1.25
gift	6	ADAPTIVE_PP_ORACLE	352	4	3.9998	3.5089	0.4909	2.75
gift	6	DUALFORMER_PP	144	4	3.313	3.5089	-0.1959	1.125
gift	6	STATIC_G16	256	4	3.8709	3.5089	0.362	2.0
gift	6	STATIC_G8	128	4	3.5089	3.5089	0.0	1.0
gift	7	ADAPTIVE_PP	168	5	4.6257	3.769	0.8567	1.3125
gift	7	ADAPTIVE_PP_ORACLE	408	5	4.9994	3.769	1.2304	3.1875
gift	7	DUALFORMER_PP	166	5	4.1856	3.769	0.4166	1.2969
gift	7	STATIC_G16	256	5	4.6257	3.769	0.8567	2.0
gift	7	STATIC_G8	128	5	3.769	3.769	0.0	1.0
gift	8	ADAPTIVE_PP	176	6	5.7433	5.0811	0.6622	1.375
gift	8	ADAPTIVE_PP_ORACLE	464	6	5.9996	5.0811	0.9185	3.625
gift	8	DUALFORMER_PP	184	6	4.8265	5.0811	-0.2546	1.4375
gift	8	STATIC_G16	256	6	5.7433	5.0811	0.6622	2.0
gift	8	STATIC_G8	128	6	5.0811	5.0811	0.0	1.0
gift	9	ADAPTIVE_PP	176	6	5.5171	4.5018	1.0153	1.375
gift	9	ADAPTIVE_PP_ORACLE	464	6	5.9992	4.5018	1.4974	3.625
gift	9	DUALFORMER_PP	88	6	4.1263	4.5018	-0.3755	0.6875
gift	9	STATIC_G16	256	6	5.5171	4.5018	1.0153	2.0
gift	9	STATIC_G8	128	6	4.5018	4.5018	0.0	1.0
gift	10	ADAPTIVE_PP	160	4	3.6457	2.9614	0.6843	1.25
gift	10	ADAPTIVE_PP_ORACLE	352	4	3.9994	2.9614	1.038	2.75
gift	10	DUALFORMER_PP	82	4	2.2408	2.9614	-0.7206	0.6406
gift	10	STATIC_G16	256	4	3.6457	2.9614	0.6843	2.0
gift	10	STATIC_G8	128	4	2.9614	2.9614	0.0	1.0
gift	11	ADAPTIVE_PP	176	6	5.8419	5.2482	0.5937	1.375
gift	11	ADAPTIVE_PP_ORACLE	464	6	5.9998	5.2482	0.7516	3.625
gift	11	DUALFORMER_PP	154	6	5.6857	5.2482	0.4375	1.2031
gift	11	STATIC_G16	256	6	5.8419	5.2482	0.5937	2.0
gift	11	STATIC_G8	128	6	5.2482	5.2482	0.0	1.0
gift	12	ADAPTIVE_PP	160	4	3.8614	3.4325	0.4289	1.25
gift	12	ADAPTIVE_PP_ORACLE	352	4	3.9998	3.4325	0.5673	2.75
gift	12	DUALFORMER_PP	60	4	3.2129	3.4325	-0.2196	0.4688
gift	12	STATIC_G16	256	4	3.8614	3.4325	0.4289	2.0
gift	12	STATIC_G8	128	4	3.4325	3.4325	0.0	1.0
gift	13	ADAPTIVE_PP	184	7	6.8609	6.3932	0.4677	1.4375
gift	13	ADAPTIVE_PP_ORACLE	520	7	6.9998	6.3932	0.6066	4.0625
gift	13	DUALFORMER_PP	196	7	6.4129	6.3932	0.0197	1.5312
gift	13	STATIC_G16	256	7	6.8609	6.3932	0.4677	2.0
gift	13	STATIC_G8	128	7	6.3932	6.3932	0.0	1.0
gift	14	ADAPTIVE_PP	152	3	2.8814	2.6249	0.2565	1.1875
gift	14	ADAPTIVE_PP_ORACLE	296	3	2.9998	2.6249	0.3749	2.3125
gift	14	DUALFORMER_PP	62	3	2.4131	2.6249	-0.2118	0.4844
gift	14	STATIC_G16	256	3	2.8814	2.6249	0.2565	2.0
gift	14	STATIC_G8	128	3	2.6249	2.6249	0.0	1.0
gift	15	ADAPTIVE_PP	176	6	5.6352	4.8376	0.7976	1.375
gift	15	ADAPTIVE_PP_ORACLE	464	6	5.9994	4.8376	1.1618	3.625
gift	15	DUALFORMER_PP	116	6	4.7132	4.8376	-0.1244	0.9062
gift	15	STATIC_G16	256	6	5.6352	4.8376	0.7976	2.0
gift	15	STATIC_G8	128	6	4.8376	4.8376	0.0	1.0
gift	16	ADAPTIVE_PP	176	6	5.7333	4.9888	0.7445	1.375
gift	16	ADAPTIVE_PP_ORACLE	464	6	5.9996	4.9888	1.0108	3.625
gift	16	DUALFORMER_PP	168	6	4.6269	4.9888	-0.3619	1.3125
gift	16	STATIC_G16	256	6	5.7333	4.9888	0.7445	2.0
gift	16	STATIC_G8	128	6	4.9888	4.9888	0.0	1.0
gift	17	ADAPTIVE_PP	160	4	4.0	3.9688	0.0312	1.25
gift	17	ADAPTIVE_PP_ORACLE	352	4	4.0	3.9688	0.0312	2.75
gift	17	DUALFORMER_PP	118	4	4.0	3.9688	0.0312	0.9219
gift	17	STATIC_G16	256	4	4.0	3.9688	0.0312	2.0
gift	17	STATIC_G8	128	4	3.9688	3.9688	0.0	1.0
gift	18	ADAPTIVE_PP	176	6	5.7528	5.1575	0.5953	1.375
gift	18	ADAPTIVE_PP_ORACLE	464	6	5.9996	5.1575	0.8421	3.625
gift	18	DUALFORMER_PP	174	6	4.7261	5.1575	-0.4314	1.3594
gift	18	STATIC_G16	256	6	5.7528	5.1575	0.5953	2.0
gift	18	STATIC_G8	128	6	5.1575	5.1575	0.0	1.0
gift	19	ADAPTIVE_PP	160	4	3.7538	3.2049	0.5489	1.25
gift	19	ADAPTIVE_PP_ORACLE	352	4	3.9996	3.2049	0.7947	2.75
gift	19	DUALFORMER_PP	110	4	2.8271	3.2049	-0.3778	0.8594
gift	19	STATIC_G16	256	4	3.7538	3.2049	0.5489	2.0
gift	19	STATIC_G8	128	4	3.2049	3.2049	0.0	1.0
gift	20	ADAPTIVE_PP	168	5	4.7538	4.1971	0.5567	1.3125
gift	20	ADAPTIVE_PP_ORACLE	408	5	4.9996	4.1971	0.8025	3.1875
gift	20	DUALFORMER_PP	122	5	4.3996	4.1971	0.2025	0.9531
gift	20	STATIC_G16	256	5	4.7538	4.1971	0.5567	2.0
gift	20	STATIC_G8	128	5	4.1971	4.1971	0.0	1.0
gift	21	ADAPTIVE_PP	160	4	3.8709	3.5089	0.362	1.25
gift	21	ADAPTIVE_PP_ORACLE	352	4	3.9998	3.5089	0.4909	2.75
gift	21	DUALFORMER_PP	112	4	3.8855	3.5089	0.3766	0.875
gift	21	STATIC_G16	256	4	3.8709	3.5089	0.362	2.0
gift	21	STATIC_G8	128	4	3.5089	3.5089	0.0	1.0
gift	22	ADAPTIVE_PP	144	2	1.8814	1.6327	0.2487	1.125
gift	22	ADAPTIVE_PP_ORACLE	240	2	1.9998	1.6327	0.3671	1.875
gift	22	DUALFORMER_PP	94	2	1.4136	1.6327	-0.2191	0.7344
gift	22	STATIC_G16	256	2	1.8814	1.6327	0.2487	2.0
gift	22	STATIC_G8	128	2	1.6327	1.6327	0.0	1.0
gift	23	ADAPTIVE_PP	144	2	1.8814	1.6327	0.2487	1.125
gift	23	ADAPTIVE_PP_ORACLE	240	2	1.9998	1.6327	0.3671	1.875
gift	23	DUALFORMER_PP	94	2	1.4136	1.6327	-0.2191	0.7344
gift	23	STATIC_G16	256	2	1.8814	1.6327	0.2487	2.0
gift	23	STATIC_G8	128	2	1.6327	1.6327	0.0	1.0
gift	24	ADAPTIVE_PP	144	2	1.7638	1.3128	0.451	1.125
gift	24	ADAPTIVE_PP_ORACLE	240	2	1.9996	1.3128	0.6868	1.875
gift	24	DUALFORMER_PP	64	2	1.3997	1.3128	0.0869	0.5
gift	24	STATIC_G16	256	2	1.7638	1.3128	0.451	2.0
gift	24	STATIC_G8	128	2	1.3128	1.3128	0.0	1.0
gift	25	ADAPTIVE_PP	160	4	3.9795	3.7683	0.2112	1.25
gift	25	ADAPTIVE_PP_ORACLE	352	4	4.0	3.7683	0.2317	2.75
gift	25	DUALFORMER_PP	102	4	3.7993	3.7683	0.031	0.7969
gift	25	STATIC_G16	256	4	3.9795	3.7683	0.2112	2.0
gift	25	STATIC_G8	128	4	3.7683	3.7683	0.0	1.0
gift	26	ADAPTIVE_PP	152	3	2.7633	2.2891	0.4742	1.1875
gift	26	ADAPTIVE_PP_ORACLE	296	3	2.9996	2.2891	0.7105	2.3125
gift	26	DUALFORMER_PP	94	3	2.3997	2.2891	0.1106	0.7344
gift	26	STATIC_G16	256	3	2.7633	2.2891	0.4742	2.0
gift	26	STATIC_G8	128	3	2.2891	2.2891	0.0	1.0
gift	27	ADAPTIVE_PP	136	1	0.99	0.8999	0.0901	1.0625
gift	27	ADAPTIVE_PP_ORACLE	184	1	1.0	0.8999	0.1001	1.4375
gift	27	DUALFORMER_PP	62	1	0.9999	0.8999	0.1	0.4844
gift	27	STATIC_G16	256	1	0.99	0.8999	0.0901	2.0
gift	27	STATIC_G8	128	1	0.8999	0.8999	0.0	1.0
gift	28	ADAPTIVE_PP	144	2	1.8719	1.5563	0.3156	1.125
gift	28	ADAPTIVE_PP_ORACLE	240	2	1.9998	1.5563	0.4435	1.875
gift	28	DUALFORMER_PP	68	2	1.886	1.5563	0.3297	0.5312
gift	28	STATIC_G16	256	2	1.8719	1.5563	0.3156	2.0
gift	28	STATIC_G8	128	2	1.5563	1.5563	0.0	1.0
gift	29	ADAPTIVE_PP	136	1	0.9995	0.9763	0.0232	1.0625
gift	29	ADAPTIVE_PP_ORACLE	184	1	1.0	0.9763	0.0237	1.4375
gift	29	DUALFORMER_PP	62	1	1.0	0.9763	0.0237	0.4844
gift	29	STATIC_G16	256	1	0.9995	0.9763	0.0232	2.0
gift	29	STATIC_G8	128	1	0.9763	0.9763	0.0	1.0
gift	30	ADAPTIVE_PP	144	2	1.99	1.8921	0.0979	1.125
gift	30	ADAPTIVE_PP_ORACLE	240	2	2.0	1.8921	0.1079	1.875
gift	30	DUALFORMER_PP	76	2	1.9999	1.8921	0.1078	0.5938
gift	30	STATIC_G16	256	2	1.99	1.8921	0.0979	2.0
gift	30	STATIC_G8	128	2	1.8921	1.8921	0.0	1.0
gift	31	ADAPTIVE_PP	136	1	0.8819	0.6564	0.2255	1.0625
gift	31	ADAPTIVE_PP_ORACLE	184	1	0.9998	0.6564	0.3434	1.4375
gift	31	DUALFORMER_PP	64	1	0.4136	0.6564	-0.2428	0.5
gift	31	STATIC_G16	256	1	0.8819	0.6564	0.2255	2.0
gift	31	STATIC_G8	128	1	0.6564	0.6564	0.0	1.0
gift	32	ADAPTIVE_PP	160	4	3.7628	3.2654	0.4974	1.25
gift	32	ADAPTIVE_PP_ORACLE	352	4	3.9996	3.2654	0.7342	2.75
gift	32	DUALFORMER_PP	120	4	3.9712	3.2654	0.7058	0.9375
gift	32	STATIC_G16	256	4	3.7628	3.2654	0.4974	2.0
gift	32	STATIC_G8	128	4	3.2654	3.2654	0.0	1.0
gift	33	ADAPTIVE_PP	136	1	0.8819	0.6564	0.2255	1.0625
gift	33	ADAPTIVE_PP_ORACLE	184	1	0.9998	0.6564	0.3434	1.4375
gift	33	DUALFORMER_PP	64	1	0.4136	0.6564	-0.2428	0.5
gift	33	STATIC_G16	256	1	0.8819	0.6564	0.2255	2.0
gift	33	STATIC_G8	128	1	0.6564	0.6564	0.0	1.0
gift	34	ADAPTIVE_PP	128	0	0.0	0.0	0.0	1.0
gift	34	ADAPTIVE_PP_ORACLE	128	0	0.0	0.0	0.0	1.0
gift	34	DUALFORMER_PP	62	0	0.0	0.0	0.0	0.4844
gift	34	STATIC_G16	256	0	0.0	0.0	0.0	2.0
gift	34	STATIC_G8	128	0	0.0	0.0	0.0	1.0
gift	35	ADAPTIVE_PP	136	1	0.8819	0.6564	0.2255	1.0625
gift	35	ADAPTIVE_PP_ORACLE	184	1	0.9998	0.6564	0.3434	1.4375
gift	35	DUALFORMER_PP	122	1	0.9861	0.6564	0.3297	0.9531
gift	35	STATIC_G16	256	1	0.8819	0.6564	0.2255	2.0
gift	35	STATIC_G8	128	1	0.6564	0.6564	0.0	1.0
gift	36	ADAPTIVE_PP	136	1	1.0	0.9922	0.0078	1.0625
gift	36	ADAPTIVE_PP_ORACLE	184	1	1.0	0.9922	0.0078	1.4375
gift	36	DUALFORMER_PP	76	1	1.0	0.9922	0.0078	0.5938
gift	36	STATIC_G16	256	1	1.0	0.9922	0.0078	2.0
gift	36	STATIC_G8	128	1	0.9922	0.9922	0.0	1.0
gift	37	ADAPTIVE_PP	144	2	1.8814	1.6327	0.2487	1.125
gift	37	ADAPTIVE_PP_ORACLE	240	2	1.9998	1.6327	0.3671	1.875
gift	37	DUALFORMER_PP	138	2	1.4131	1.6327	-0.2196	1.0781
gift	37	STATIC_G16	256	2	1.8814	1.6327	0.2487	2.0
gift	37	STATIC_G8	128	2	1.6327	1.6327	0.0	1.0
gift	38	ADAPTIVE_PP	136	1	0.9995	0.9763	0.0232	1.0625
gift	38	ADAPTIVE_PP_ORACLE	184	1	1.0	0.9763	0.0237	1.4375
gift	38	DUALFORMER_PP	122	1	1.0	0.9763	0.0237	0.9531
gift	38	STATIC_G16	256	1	0.9995	0.9763	0.0232	2.0
gift	38	STATIC_G8	128	1	0.9763	0.9763	0.0	1.0
gift	39	ADAPTIVE_PP	152	3	2.9895	2.8684	0.1211	1.1875
gift	39	ADAPTIVE_PP_ORACLE	296	3	3.0	2.8684	0.1316	2.3125
gift	39	DUALFORMER_PP	96	3	2.8994	2.8684	0.031	0.75
gift	39	STATIC_G16	256	3	2.9895	2.8684	0.1211	2.0
gift	39	STATIC_G8	128	3	2.8684	2.8684	0.0	1.0
grpo	0	ADAPTIVE_PP	168	5	4.5176	3.5255	0.9921	1.3125
grpo	0	ADAPTIVE_PP_ORACLE	408	5	4.9992	3.5255	1.4737	3.1875
grpo	0	DUALFORMER_PP	130	5	4.2718	3.5255	0.7463	1.0156
grpo	0	STATIC_G16	256	5	4.5176	3.5255	0.9921	2.0
grpo	0	STATIC_G8	128	5	3.5255	3.5255	0.0	1.0
grpo	1	ADAPTIVE_PP	192	8	7.6257	6.7456	0.8801	1.5
grpo	1	ADAPTIVE_PP_ORACLE	576	8	7.9994	6.7456	1.2538	4.5
grpo	1	DUALFORMER_PP	116	8	6.1406	6.7456	-0.605	0.9062
grpo	1	STATIC_G16	256	8	7.6257	6.7456	0.8801	2.0
grpo	1	STATIC_G8	128	8	6.7456	6.7456	0.0	1.0
grpo	2	ADAPTIVE_PP	168	5	4.7438	4.1048	0.639	1.3125
grpo	2	ADAPTIVE_PP_ORACLE	408	5	4.9996	4.1048	0.8948	3.1875
grpo	2	DUALFORMER_PP	116	5	3.727	4.1048	-0.3778	0.9062
grpo	2	STATIC_G16	256	5	4.7438	4.1048	0.639	2.0
grpo	2	STATIC_G8	128	5	4.1048	4.1048	0.0	1.0
grpo	3	ADAPTIVE_PP	160	4	3.7438	3.1126	0.6312	1.25
grpo	3	ADAPTIVE_PP_ORACLE	352	4	3.9996	3.1126	0.887	2.75
grpo	3	DUALFORMER_PP	132	4	2.727	3.1126	-0.3856	1.0312
grpo	3	STATIC_G16	256	4	3.7438	3.1126	0.6312	2.0
grpo	3	STATIC_G8	128	4	3.1126	3.1126	0.0	1.0
grpo	4	ADAPTIVE_PP	168	5	4.8519	4.3483	0.5036	1.3125
grpo	4	ADAPTIVE_PP_ORACLE	408	5	4.9998	4.3483	0.6515	3.1875
grpo	4	DUALFORMER_PP	124	5	4.6858	4.3483	0.3375	0.9688
grpo	4	STATIC_G16	256	5	4.8519	4.3483	0.5036	2.0
grpo	4	STATIC_G8	128	5	4.3483	4.3483	0.0	1.0
grpo	5	ADAPTIVE_PP	168	5	4.7538	4.1971	0.5567	1.3125
grpo	5	ADAPTIVE_PP_ORACLE	408	5	4.9996	4.1971	0.8025	3.1875
grpo	5	DUALFORMER_PP	186	5	4.8721	4.1971	0.675	1.4531
grpo	5	STATIC_G16	256	5	4.7538	4.1971	0.5567	2.0
grpo	5	STATIC_G8	128	5	4.1971	4.1971	0.0	1.0
grpo	6	ADAPTIVE_PP	152	3	2.8714	2.5326	0.3388	1.1875
grpo	6	ADAPTIVE_PP_ORACLE	296	3	2.9998	2.5326	0.4672	2.3125
grpo	6	DUALFORMER_PP	138	3	2.413	2.5326	-0.1196	1.0781
grpo	6	STATIC_G16	256	3	2.8714	2.5326	0.3388	2.0
grpo	6	STATIC_G8	128	3	2.5326	2.5326	0.0	1.0
grpo	7	ADAPTIVE_PP	168	5	4.6357	3.8613	0.7744	1.3125
grpo	7	ADAPTIVE_PP_ORACLE	408	5	4.9994	3.8613	1.1381	3.1875
grpo	7	DUALFORMER_PP	174	5	4.2857	3.8613	0.4244	1.3594
grpo	7	STATIC_G16	256	5	4.6357	3.8613	0.7744	2.0
grpo	7	STATIC_G8	128	5	3.8613	3.8613	0.0	1.0
grpo	8	ADAPTIVE_PP	184	7	6.6247	5.7216	0.9031	1.4375
grpo	8	ADAPTIVE_PP_ORACLE	520	7	6.9994	5.7216	1.2778	4.0625
grpo	8	DUALFORMER_PP	198	7	6.3851	5.7216	0.6635	1.5469
grpo	8	STATIC_G16	256	7	6.6247	5.7216	0.9031	2.0
grpo	8	STATIC_G8	128	7	5.7216	5.7216	0.0	1.0
grpo	9	ADAPTIVE_PP	168	5	4.7433	4.0889	0.6544	1.3125
grpo	9	ADAPTIVE_PP_ORACLE	408	5	4.9996	4.0889	0.9107	3.1875
grpo	9	DUALFORMER_PP	90	5	4.199	4.0889	0.1101	0.7031
grpo	9	STATIC_G16	256	5	4.7433	4.0889	0.6544	2.0
grpo	9	STATIC_G8	128	5	4.0889	4.0889	0.0	1.0
grpo	10	ADAPTIVE_PP	168	5	4.7433	4.0889	0.6544	1.3125
grpo	10	ADAPTIVE_PP_ORACLE	408	5	4.9996	4.0889	0.9107	3.1875
grpo	10	DUALFORMER_PP	102	5	3.727	4.0889	-0.3619	0.7969
grpo	10	STATIC_G16	256	5	4.7433	4.0889	0.6544	2.0
grpo	10	STATIC_G8	128	5	4.0889	4.0889	0.0	1.0
grpo	11	ADAPTIVE_PP	168	5	4.7538	4.1971	0.5567	1.3125
grpo	11	ADAPTIVE_PP_ORACLE	408	5	4.9996	4.1971	0.8025	3.1875
grpo	11	DUALFORMER_PP	160	5	3.7271	4.1971	-0.47	1.25
grpo	11	STATIC_G16	256	5	4.7538	4.1971	0.5567	2.0
grpo	11	STATIC_G8	128	5	4.1971	4.1971	0.0	1.0
grpo	12	ADAPTIVE_PP	152	3	2.9795	2.7761	0.2034	1.1875
grpo	12	ADAPTIVE_PP_ORACLE	296	3	3.0	2.7761	0.2239	2.3125
grpo	12	DUALFORMER_PP	58	3	2.7993	2.7761	0.0232	0.4531
grpo	12	STATIC_G16	256	3	2.9795	2.7761	0.2034	2.0
grpo	12	STATIC_G8	128	3	2.7761	2.7761	0.0	1.0
grpo	13	ADAPTIVE_PP	184	7	6.5171	5.494	1.0231	1.4375
grpo	13	ADAPTIVE_PP_ORACLE	520	7	6.9992	5.494	1.5052	4.0625
grpo	13	DUALFORMER_PP	158	7	4.6538	5.494	-0.8402	1.2344
grpo	13	STATIC_G16	256	7	6.5171	5.494	1.0231	2.0
grpo	13	STATIC_G8	128	7	5.494	5.494	0.0	1.0
grpo	14	ADAPTIVE_PP	160	4	3.7538	3.2049	0.5489	1.25
grpo	14	ADAPTIVE_PP_ORACLE	352	4	3.9996	3.2049	0.7947	2.75
grpo	14	DUALFORMER_PP	86	4	2.7271	3.2049	-0.4778	0.6719
grpo	14	STATIC_G16	256	4	3.7538	3.2049	0.5489	2.0
grpo	14	STATIC_G8	128	4	3.2049	3.2049	0.0	1.0
grpo	15	ADAPTIVE_PP	160	4	3.8809	3.6012	0.2797	1.25
grpo	15	ADAPTIVE_PP_ORACLE	352	4	3.9998	3.6012	0.3986	2.75
grpo	15	DUALFORMER_PP	120	4	3.9856	3.6012	0.3844	0.9375
grpo	15	STATIC_G16	256	4	3.8809	3.6012	0.2797	2.0
grpo	15	STATIC_G8	128	4	3.6012	3.6012	0.0	1.0
grpo	16	ADAPTIVE_PP	176	6	5.8604	5.3851	0.4753	1.375
grpo	16	ADAPTIVE_PP_ORACLE	464	6	5.9998	5.3851	0.6147	3.625
grpo	16	DUALFORMER_PP	172	6	5.3119	5.3851	-0.0732	1.3438
grpo	16	STATIC_G16	256	6	5.8604	5.3851	0.4753	2.0
grpo	16	STATIC_G8	128	6	5.3851	5.3851	0.0	1.0
grpo	17	ADAPTIVE_PP	192	8	7.6152	6.6374	0.9778	1.5
grpo	17	ADAPTIVE_PP_ORACLE	576	8	7.9994	6.6374	1.362	4.5
grpo	17	DUALFORMER_PP	108	8	6.04	6.6374	-0.5974	0.8438
grpo	17	STATIC_G16	256	8	7.6152	6.6374	0.9778	2.0
grpo	17	STATIC_G8	128	8	6.6374	6.6374	0.0	1.0
grpo	18	ADAPTIVE_PP	184	7	6.9685	6.6208	0.3477	1.4375
grpo	18	ADAPTIVE_PP_ORACLE	520	7	7.0	6.6208	0.3792	4.0625
grpo	18	DUALFORMER_PP	212	7	6.6987	6.6208	0.0779	1.6562
grpo	18	STATIC_G16	256	7	6.9685	6.6208	0.3477	2.0
grpo	18	STATIC_G8	128	7	6.6208	6.6208	0.0	1.0
grpo	19	ADAPTIVE_PP	176	6	5.5266	4.5782	0.9484	1.375
grpo	19	ADAPTIVE_PP_ORACLE	464	6	5.9992	4.5782	1.421	3.625
grpo	19	DUALFORMER_PP	158	6	4.2269	4.5782	-0.3513	1.2344
grpo	19	STATIC_G16	256	6	5.5266	4.5782	0.9484	2.0
