method	step	controller	rollouts_used	contrast_intent	contrast_magnitude	baseline_contrast_magnitude	contrast_restored	cost_ratio
aero	13	STATIC_G8	128	7	6.7449	6.7449	0.0	1.0
aero	14	ADAPTIVE_PP	160	4	3.7638	3.2972	0.4666	1.25
aero	14	ADAPTIVE_PP_ORACLE	352	4	3.9996	3.2972	0.7024	2.75
aero	14	DUALFORMER_PP	64	4	2.8272	3.2972	-0.47	0.5
aero	14	STATIC_G16	256	4	3.7638	3.2972	0.4666	2.0
aero	14	STATIC_G8	128	4	3.2972	3.2972	0.0	1.0
aero	15	ADAPTIVE_PP	152	3	2.8809	2.609	0.2719	1.1875
aero	15	ADAPTIVE_PP_ORACLE	296	3	2.9998	2.609	0.3908	2.3125
aero	15	DUALFORMER_PP	106	3	2.9856	2.609	0.3766	0.8281
aero	15	STATIC_G16	256	3	2.8809	2.609	0.2719	2.0
aero	15	STATIC_G8	128	3	2.609	2.609	0.0	1.0
aero	16	ADAPTIVE_PP	184	7	6.7438	6.0892	0.6546	1.4375
aero	16	ADAPTIVE_PP_ORACLE	520	7	6.9996	6.0892	0.9104	4.0625
aero	16	DUALFORMER_PP	172	7	6.2995	6.0892	0.2103	1.3438
aero	16	STATIC_G16	256	7	6.7438	6.0892	0.6546	2.0
aero	16	STATIC_G8	128	7	6.0892	6.0892	0.0	1.0
aero	17	ADAPTIVE_PP	184	7	6.7528	6.1497	0.6031	1.4375
aero	17	ADAPTIVE_PP_ORACLE	520	7	6.9996	6.1497	0.8499	4.0625
aero	17	DUALFORMER_PP	144	7	5.7266	6.1497	-0.4231	1.125
aero	17	STATIC_G16	256	7	6.7528	6.1497	0.6031	2.0
aero	17	STATIC_G8	128	7	6.1497	6.1497	0.0	1.0
aero	18	ADAPTIVE_PP	176	6	5.7438	5.097	0.6468	1.375
aero	18	ADAPTIVE_PP_ORACLE	464	6	5.9996	5.097	0.9026	3.625
aero	18	DUALFORMER_PP	166	6	4.627	5.097	-0.47	1.2969
aero	18	STATIC_G16	256	6	5.7438	5.097	0.6468	2.0
aero	18	STATIC_G8	128	6	5.097	5.097	0.0	1.0
aero	19	ADAPTIVE_PP	176	6	5.8514	5.3246	0.5268	1.375
aero	19	ADAPTIVE_PP_ORACLE	464	6	5.9998	5.3246	0.6752	3.625
aero	19	DUALFORMER_PP	138	6	5.6853	5.3246	0.3607	1.0781
aero	19	STATIC_G16	256	6	5.8514	5.3246	0.5268	2.0
aero	19	STATIC_G8	128	6	5.3246	5.3246	0.0	1.0
aero	20	ADAPTIVE_PP	176	6	5.6452	4.9299	0.7153	1.375
aero	20	ADAPTIVE_PP_ORACLE	464	6	5.9994	4.9299	1.0695	3.625
aero	20	DUALFORMER_PP	124	6	4.8133	4.9299	-0.1166	0.9688
aero	20	STATIC_G16	256	6	5.6452	4.9299	0.7153	2.0
aero	20	STATIC_G8	128	6	4.9299	4.9299	0.0	1.0
aero	21	ADAPTIVE_PP	152	3	2.7638	2.305	0.4588	1.1875
aero	21	ADAPTIVE_PP_ORACLE	296	3	2.9996	2.305	0.6946	2.3125
aero	21	DUALFORMER_PP	78	3	2.3997	2.305	0.0947	0.6094
aero	21	STATIC_G16	256	3	2.7638	2.305	0.4588	2.0
aero	21	STATIC_G8	128	3	2.305	2.305	0.0	1.0
aero	22	ADAPTIVE_PP	168	5	4.5271	3.6019	0.9252	1.3125
aero	22	ADAPTIVE_PP_ORACLE	408	5	4.9992	3.6019	1.3973	3.1875
aero	22	DUALFORMER_PP	82	5	3.2264	3.6019	-0.3755	0.6406
aero	22	STATIC_G16	256	5	4.5271	3.6019	0.9252	2.0
aero	22	STATIC_G8	128	5	3.6019	3.6019	0.0	1.0
aero	23	ADAPTIVE_PP	152	3	2.8619	2.4562	0.4057	1.1875
aero	23	ADAPTIVE_PP_ORACLE	296	3	2.9998	2.4562	0.5436	2.3125
aero	23	DUALFORMER_PP	100	3	2.3134	2.4562	-0.1428	0.7812
aero	23	STATIC_G16	256	3	2.8619	2.4562	0.4057	2.0
aero	23	STATIC_G8	128	3	2.4562	2.4562	0.0	1.0
aero	24	ADAPTIVE_PP	152	3	2.6457	1.9692	0.6765	1.1875
aero	24	ADAPTIVE_PP_ORACLE	296	3	2.9994	1.9692	1.0302	2.3125
aero	24	DUALFORMER_PP	66	3	1.8133	1.9692	-0.1559	0.5156
aero	24	STATIC_G16	256	3	2.6457	1.9692	0.6765	2.0
aero	24	STATIC_G8	128	3	1.9692	1.9692	0.0	1.0
aero	25	ADAPTIVE_PP	168	5	4.7433	4.0889	0.6544	1.3125
aero	25	ADAPTIVE_PP_ORACLE	408	5	4.9996	4.0889	0.9107	3.1875
aero	25	DUALFORMER_PP	132	5	3.727	4.0889	-0.3619	1.0312
aero	25	STATIC_G16	256	5	4.7433	4.0889	0.6544	2.0
aero	25	STATIC_G8	128	5	4.0889	4.0889	0.0	1.0
aero	26	ADAPTIVE_PP	144	2	1.9895	1.8762	0.1133	1.125
aero	26	ADAPTIVE_PP_ORACLE	240	2	2.0	1.8762	0.1238	1.875
aero	26	DUALFORMER_PP	128	2	1.8999	1.8762	0.0237	1.0
aero	26	STATIC_G16	256	2	1.9895	1.8762	0.1133	2.0
aero	26	STATIC_G8	128	2	1.8762	1.8762	0.0	1.0
aero	27	ADAPTIVE_PP	136	1	0.9995	0.9763	0.0232	1.0625
aero	27	ADAPTIVE_PP_ORACLE	184	1	1.0	0.9763	0.0237	1.4375
aero	27	DUALFORMER_PP	46	1	0.9995	0.9763	0.0232	0.3594
aero	27	STATIC_G16	256	1	0.9995	0.9763	0.0232	2.0
aero	27	STATIC_G8	128	1	0.9763	0.9763	0.0	1.0
aero	28	ADAPTIVE_PP	152	3	2.7638	2.305	0.4588	1.1875
aero	28	ADAPTIVE_PP_ORACLE	296	3	2.9996	2.305	0.6946	2.3125
aero	28	DUALFORMER_PP	78	3	2.3997	2.305	0.0947	0.6094
aero	28	STATIC_G16	256	3	2.7638	2.305	0.4588	2.0
aero	28	STATIC_G8	128	3	2.305	2.305	0.0	1.0
aero	29	ADAPTIVE_PP	144	2	1.98	1.7998	0.1802	1.125
aero	29	ADAPTIVE_PP_ORACLE	240	2	2.0	1.7998	0.2002	1.875
aero	29	DUALFORMER_PP	68	2	1.8998	1.7998	0.1	0.5312
aero	29	STATIC_G16	256	2	1.98	1.7998	0.1802	2.0
aero	29	STATIC_G8	128	2	1.7998	1.7998	0.0	1.0
aero	30	ADAPTIVE_PP	152	3	2.7538	2.2127	0.5411	1.1875
aero	30	ADAPTIVE_PP_ORACLE	296	3	2.9996	2.2127	0.7869	2.3125
aero	30	DUALFORMER_PP	66	3	1.8271	2.2127	-0.3856	0.5156
aero	30	STATIC_G16	256	3	2.7538	2.2127	0.5411	2.0
aero	30	STATIC_G8	128	3	2.2127	2.2127	0.0	1.0
aero	31	ADAPTIVE_PP	152	3	2.7538	2.2127	0.5411	1.1875
aero	31	ADAPTIVE_PP_ORACLE	296	3	2.9996	2.2127	0.7869	2.3125
aero	31	DUALFORMER_PP	72	3	1.7271	2.2127	-0.4856	0.5625
aero	31	STATIC_G16	256	3	2.7538	2.2127	0.5411	2.0
aero	31	STATIC_G8	128	3	2.2127	2.2127	0.0	1.0
aero	32	ADAPTIVE_PP	160	4	3.8714	3.5248	0.3466	1.25
aero	32	ADAPTIVE_PP_ORACLE	352	4	3.9998	3.5248	0.475	2.75
aero	32	DUALFORMER_PP	108	4	3.4135	3.5248	-0.1113	0.8438
aero	32	STATIC_G16	256	4	3.8714	3.5248	0.3466	2.0
aero	32	STATIC_G8	128	4	3.5248	3.5248	0.0	1.0
aero	33	ADAPTIVE_PP	176	6	5.6347	4.8217	0.813	1.375
aero	33	ADAPTIVE_PP_ORACLE	464	6	5.9994	4.8217	1.1777	3.625
aero	33	DUALFORMER_PP	100	6	4.7122	4.8217	-0.1095	0.7812
aero	33	STATIC_G16	256	6	5.6347	4.8217	0.813	2.0
aero	33	STATIC_G8	128	6	4.8217	4.8217	0.0	1.0
aero	34	ADAPTIVE_PP	144	2	1.8814	1.6327	0.2487	1.125
aero	34	ADAPTIVE_PP_ORACLE	240	2	1.9998	1.6327	0.3671	1.875
aero	34	DUALFORMER_PP	94	2	1.4136	1.6327	-0.2191	0.7344
aero	34	STATIC_G16	256	2	1.8814	1.6327	0.2487	2.0
aero	34	STATIC_G8	128	2	1.6327	1.6327	0.0	1.0
aero	35	ADAPTIVE_PP	152	3	2.8719	2.5485	0.3234	1.1875
aero	35	ADAPTIVE_PP_ORACLE	296	3	2.9998	2.5485	0.4513	2.3125
aero	35	DUALFORMER_PP	114	3	2.3135	2.5485	-0.235	0.8906
aero	35	STATIC_G16	256	3	2.8719	2.5485	0.3234	2.0
aero	35	STATIC_G8	128	3	2.5485	2.5485	0.0	1.0
aero	36	ADAPTIVE_PP	152	3	2.8619	2.4562	0.4057	1.1875
aero	36	ADAPTIVE_PP_ORACLE	296	3	2.9998	2.4562	0.5436	2.3125
aero	36	DUALFORMER_PP	76	3	2.2134	2.4562	-0.2428	0.5938
aero	36	STATIC_G16	256	3	2.8619	2.4562	0.4057	2.0
aero	36	STATIC_G8	128	3	2.4562	2.4562	0.0	1.0
aero	37	ADAPTIVE_PP	168	5	4.6452	3.9377	0.7075	1.3125
aero	37	ADAPTIVE_PP_ORACLE	408	5	4.9994	3.9377	1.0617	3.1875
aero	37	DUALFORMER_PP	182	5	4.3853	3.9377	0.4476	1.4219
aero	37	STATIC_G16	256	5	4.6452	3.9377	0.7075	2.0
aero	37	STATIC_G8	128	5	3.9377	3.9377	0.0	1.0
aero	38	ADAPTIVE_PP	168	5	4.6457	3.9536	0.6921	1.3125
aero	38	ADAPTIVE_PP_ORACLE	408	5	4.9994	3.9536	1.0458	3.1875
aero	38	DUALFORMER_PP	124	5	3.8133	3.9536	-0.1403	0.9688
aero	38	STATIC_G16	256	5	4.6457	3.9536	0.6921	2.0
aero	38	STATIC_G8	128	5	3.9536	3.9536	0.0	1.0
aero	39	ADAPTIVE_PP	176	6	5.409	4.2583	1.1507	1.375
aero	39	ADAPTIVE_PP_ORACLE	464	6	5.999	4.2583	1.7407	3.625
aero	39	DUALFORMER_PP	158	6	4.213	4.2583	-0.0453	1.2344
aero	39	STATIC_G16	256	6	5.409	4.2583	1.1507	2.0
aero	39	STATIC_G8	128	6	4.2583	4.2583	0.0	1.0
areal	0	ADAPTIVE_PP	168	5	4.7528	4.1653	0.5875	1.3125
areal	0	ADAPTIVE_PP_ORACLE	408	5	4.9996	4.1653	0.8343	3.1875
areal	0	DUALFORMER_PP	126	5	3.8271	4.1653	-0.3382	0.9844
areal	0	STATIC_G16	256	5	4.7528	4.1653	0.5875	2.0
areal	0	STATIC_G8	128	5	4.1653	4.1653	0.0	1.0
areal	1	ADAPTIVE_PP	192	8	7.6257	6.7456	0.8801	1.5
areal	1	ADAPTIVE_PP_ORACLE	576	8	7.9994	6.7456	1.2538	4.5
areal	1	DUALFORMER_PP	92	8	6.0406	6.7456	-0.705	0.7188
areal	1	STATIC_G16	256	8	7.6257	6.7456	0.8801	2.0
areal	1	STATIC_G8	128	8	6.7456	6.7456	0.0	1.0
areal	2	ADAPTIVE_PP	168	5	4.5276	3.6178	0.9098	1.3125
areal	2	ADAPTIVE_PP_ORACLE	408	5	4.9992	3.6178	1.3814	3.1875
areal	2	DUALFORMER_PP	114	5	2.6544	3.6178	-0.9634	0.8906
areal	2	STATIC_G16	256	5	4.5276	3.6178	0.9098	2.0
areal	2	STATIC_G8	128	5	3.6178	3.6178	0.0	1.0
areal	3	ADAPTIVE_PP	168	5	4.8609	4.4088	0.4521	1.3125
areal	3	ADAPTIVE_PP_ORACLE	408	5	4.9998	4.4088	0.591	3.1875
areal	3	DUALFORMER_PP	162	5	4.7849	4.4088	0.3761	1.2656
areal	3	STATIC_G16	256	5	4.8609	4.4088	0.4521	2.0
areal	3	STATIC_G8	128	5	4.4088	4.4088	0.0	1.0
areal	4	ADAPTIVE_PP	192	8	7.2814	5.8305	1.4509	1.5
areal	4	ADAPTIVE_PP_ORACLE	576	8	7.9988	5.8305	2.1683	4.5
areal	4	DUALFORMER_PP	116	8	5.054	5.8305	-0.7765	0.9062
areal	4	STATIC_G16	256	8	7.2814	5.8305	1.4509	2.0
areal	4	STATIC_G8	128	8	5.8305	5.8305	0.0	1.0
areal	5	ADAPTIVE_PP	160	4	3.7628	3.2654	0.4974	1.25
areal	5	ADAPTIVE_PP_ORACLE	352	4	3.9996	3.2654	0.7342	2.75
areal	5	DUALFORMER_PP	216	4	2.8272	3.2654	-0.4382	1.6875
