controller	n_steps	mean_g	mean_cost	ci95_cost_lo	ci95_cost_hi	mean_savings_vs_g16	ci95_sav_lo	ci95_sav_hi	mean_retention	ci95_ret_lo	ci95_ret_hi	mean_fire_rate	ci95_fire_lo	ci95_fire_hi	frac_g4	frac_g8	frac_g16	frac_g_other
STATIC_G8	160	8.0000	1.0000	1.0000	1.0000	0.5000	0.5000	0.5000	0.9938	0.9812	1.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000
STATIC_G16	160	16.0000	2.0000	2.0000	2.0000	0.0000	0.0000	0.0000	1.1481	1.1313	1.1626	1.0000	1.0000	1.0000	0.0000	0.0000	1.0000	0.0000
DUALFORMER_STEP	160	12.0500	1.5063	1.3562	1.6562	0.2469	0.1719	0.3219	1.0276	1.0106	1.0447	0.1688	0.1187	0.2188	0.0000	0.8313	0.0000	0.1688
ALPHAPROOF_SMOOTH	160	8.0000	1.0000	1.0000	1.0000	0.5000	0.5000	0.5000	0.9938	0.9812	1.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000
UNIFIED_STEP_C4	160	12.1000	1.5125	1.4500	1.5750	0.2437	0.2125	0.2750	1.0719	1.0546	1.0884	0.5125	0.4500	0.5750	0.0000	0.4875	0.5125	0.0000
