seed	rate_pct	fset	tau	clf	n_test	n_pos	n_xgb_missed_pos	n_lift	n_waste	n_llm_only	value_rate	esc_prec
20260706	1.44	24full	0.05	joint_vstat	10000	144	96	96	9704	9800	1.0	0.009795918367346938
20260706	1.44	24full	0.1	joint_vstat	10000	144	96	96	9704	9800	1.0	0.009795918367346938
20260706	1.44	24full	0.15	joint_vstat	10000	144	96	96	9704	9800	1.0	0.009795918367346938
20260706	1.44	24full	0.2	joint_vstat	10000	144	96	96	9704	9800	1.0	0.009795918367346938
20260706	1.44	24full	0.3	joint_vstat	10000	144	96	96	9704	9800	1.0	0.009795918367346938
20260706	1.44	24full	0.4	joint_vstat	10000	144	96	96	9695	9791	1.0	0.009804922888366867
20260706	1.44	24full	0.5	joint_vstat	10000	144	96	59	4941	5000	0.6145833333333334	0.0118
20260706	1.44	24full	0.6	joint_vstat	10000	144	96	0	2	2	0.0	0.0
20260706	1.44	24full	0.7	joint_vstat	10000	144	96	0	0	0	0.0	0.0
20260706	1.44	24full	0.8	joint_vstat	10000	144	96	0	0	0	0.0	0.0
20260706	1.44	24full	0.9	joint_vstat	10000	144	96	0	0	0	0.0	0.0
20260706	1.44	24full	0.05	vmean_only	10000	144	96	96	9704	9800	1.0	0.009795918367346938
20260706	1.44	24full	0.1	vmean_only	10000	144	96	96	9704	9800	1.0	0.009795918367346938
20260706	1.44	24full	0.15	vmean_only	10000	144	96	96	9704	9800	1.0	0.009795918367346938
20260706	1.44	24full	0.2	vmean_only	10000	144	96	96	9704	9800	1.0	0.009795918367346938
20260706	1.44	24full	0.3	vmean_only	10000	144	96	96	9704	9800	1.0	0.009795918367346938
20260706	1.44	24full	0.4	vmean_only	10000	144	96	96	9704	9800	1.0	0.009795918367346938
20260706	1.44	24full	0.5	vmean_only	10000	144	96	48	4634	4682	0.5	0.010252029047415635
20260706	1.44	24full	0.6	vmean_only	10000	144	96	0	0	0	0.0	0.0
20260706	1.44	24full	0.7	vmean_only	10000	144	96	0	0	0	0.0	0.0
20260706	1.44	24full	0.8	vmean_only	10000	144	96	0	0	0	0.0	0.0
20260706	1.44	24full	0.9	vmean_only	10000	144	96	0	0	0	0.0	0.0
20260706	1.44	20raw	0.05	joint_vstat	10000	144	94	94	9706	9800	1.0	0.009591836734693878
20260706	1.44	20raw	0.1	joint_vstat	10000	144	94	94	9706	9800	1.0	0.009591836734693878
20260706	1.44	20raw	0.15	joint_vstat	10000	144	94	94	9706	9800	1.0	0.009591836734693878
20260706	1.44	20raw	0.2	joint_vstat	10000	144	94	94	9706	9800	1.0	0.009591836734693878
20260706	1.44	20raw	0.3	joint_vstat	10000	144	94	94	9706	9800	1.0	0.009591836734693878
20260706	1.44	20raw	0.4	joint_vstat	10000	144	94	94	9697	9791	1.0	0.00960065366152589
20260706	1.44	20raw	0.5	joint_vstat	10000	144	94	59	4944	5003	0.6276595744680851	0.011792924245452729
20260706	1.44	20raw	0.6	joint_vstat	10000	144	94	0	2	2	0.0	0.0
20260706	1.44	20raw	0.7	joint_vstat	10000	144	94	0	0	0	0.0	0.0
20260706	1.44	20raw	0.8	joint_vstat	10000	144	94	0	0	0	0.0	0.0
20260706	1.44	20raw	0.9	joint_vstat	10000	144	94	0	0	0	0.0	0.0
20260706	1.44	20raw	0.05	vmean_only	10000	144	94	94	9706	9800	1.0	0.009591836734693878
20260706	1.44	20raw	0.1	vmean_only	10000	144	94	94	9706	9800	1.0	0.009591836734693878
20260706	1.44	20raw	0.15	vmean_only	10000	144	94	94	9706	9800	1.0	0.009591836734693878
20260706	1.44	20raw	0.2	vmean_only	10000	144	94	94	9706	9800	1.0	0.009591836734693878
20260706	1.44	20raw	0.3	vmean_only	10000	144	94	94	9706	9800	1.0	0.009591836734693878
20260706	1.44	20raw	0.4	vmean_only	10000	144	94	94	9706	9800	1.0	0.009591836734693878
20260706	1.44	20raw	0.5	vmean_only	10000	144	94	50	4644	4694	0.5319148936170213	0.010651896037494673
20260706	1.44	20raw	0.6	vmean_only	10000	144	94	0	0	0	0.0	0.0
20260706	1.44	20raw	0.7	vmean_only	10000	144	94	0	0	0	0.0	0.0
20260706	1.44	20raw	0.8	vmean_only	10000	144	94	0	0	0	0.0	0.0
20260706	1.44	20raw	0.9	vmean_only	10000	144	94	0	0	0	0.0	0.0
20260706	1.44	20raw+minmax	0.05	joint_vstat	10000	144	94	94	9706	9800	1.0	0.009591836734693878
20260706	1.44	20raw+minmax	0.1	joint_vstat	10000	144	94	94	9706	9800	1.0	0.009591836734693878
20260706	1.44	20raw+minmax	0.15	joint_vstat	10000	144	94	94	9706	9800	1.0	0.009591836734693878
20260706	1.44	20raw+minmax	0.2	joint_vstat	10000	144	94	94	9706	9800	1.0	0.009591836734693878
20260706	1.44	20raw+minmax	0.3	joint_vstat	10000	144	94	94	9706	9800	1.0	0.009591836734693878
20260706	1.44	20raw+minmax	0.4	joint_vstat	10000	144	94	94	9697	9791	1.0	0.00960065366152589
20260706	1.44	20raw+minmax	0.5	joint_vstat	10000	144	94	59	4952	5011	0.6276595744680851	0.011774096986629415
20260706	1.44	20raw+minmax	0.6	joint_vstat	10000	144	94	0	2	2	0.0	0.0
20260706	1.44	20raw+minmax	0.7	joint_vstat	10000	144	94	0	0	0	0.0	0.0
20260706	1.44	20raw+minmax	0.8	joint_vstat	10000	144	94	0	0	0	0.0	0.0
20260706	1.44	20raw+minmax	0.9	joint_vstat	10000	144	94	0	0	0	0.0	0.0
20260706	1.44	20raw+minmax	0.05	vmean_only	10000	144	94	94	9706	9800	1.0	0.009591836734693878
20260706	1.44	20raw+minmax	0.1	vmean_only	10000	144	94	94	9706	9800	1.0	0.009591836734693878
20260706	1.44	20raw+minmax	0.15	vmean_only	10000	144	94	94	9706	9800	1.0	0.009591836734693878
20260706	1.44	20raw+minmax	0.2	vmean_only	10000	144	94	94	9706	9800	1.0	0.009591836734693878
20260706	1.44	20raw+minmax	0.3	vmean_only	10000	144	94	94	9706	9800	1.0	0.009591836734693878
20260706	1.44	20raw+minmax	0.4	vmean_only	10000	144	94	94	9706	9800	1.0	0.009591836734693878
20260706	1.44	20raw+minmax	0.5	vmean_only	10000	144	94	50	4647	4697	0.5319148936170213	0.010645092612305727
20260706	1.44	20raw+minmax	0.6	vmean_only	10000	144	94	0	0	0	0.0	0.0
20260706	1.44	20raw+minmax	0.7	vmean_only	10000	144	94	0	0	0	0.0	0.0
20260706	1.44	20raw+minmax	0.8	vmean_only	10000	144	94	0	0	0	0.0	0.0
20260706	1.44	20raw+minmax	0.9	vmean_only	10000	144	94	0	0	0	0.0	0.0
20260706	1.44	20raw+stat	0.05	joint_vstat	10000	144	94	94	9706	9800	1.0	0.009591836734693878
20260706	1.44	20raw+stat	0.1	joint_vstat	10000	144	94	94	9706	9800	1.0	0.009591836734693878
20260706	1.44	20raw+stat	0.15	joint_vstat	10000	144	94	94	9706	9800	1.0	0.009591836734693878
20260706	1.44	20raw+stat	0.2	joint_vstat	10000	144	94	94	9706	9800	1.0	0.009591836734693878
20260706	1.44	20raw+stat	0.3	joint_vstat	10000	144	94	94	9706	9800	1.0	0.009591836734693878
20260706	1.44	20raw+stat	0.4	joint_vstat	10000	144	94	94	9697	9791	1.0	0.00960065366152589
20260706	1.44	20raw+stat	0.5	joint_vstat	10000	144	94	58	4935	4993	0.6170212765957447	0.011616262767875024
20260706	1.44	20raw+stat	0.6	joint_vstat	10000	144	94	0	2	2	0.0	0.0
20260706	1.44	20raw+stat	0.7	joint_vstat	10000	144	94	0	0	0	0.0	0.0
20260706	1.44	20raw+stat	0.8	joint_vstat	10000	144	94	0	0	0	0.0	0.0
20260706	1.44	20raw+stat	0.9	joint_vstat	10000	144	94	0	0	0	0.0	0.0
20260706	1.44	20raw+stat	0.05	vmean_only	10000	144	94	94	9706	9800	1.0	0.009591836734693878
