tau	mean_rate	cross_sd	cross_ci_lo	cross_ci_hi	min_seed_rate	max_seed_rate
0.5	0.8400	0.1116	0.7467	0.9200	0.6667	0.9333
0.55	0.6000	0.1155	0.4933	0.6667	0.4000	0.6667
0.6	0.6000	0.1155	0.4933	0.6667	0.4000	0.6667
0.65	0.2800	0.0989	0.1867	0.3467	0.1333	0.4000
0.7	0.2800	0.0989	0.2000	0.3600	0.1333	0.4000
0.75	0.2800	0.0989	0.1867	0.3467	0.1333	0.4000
0.8	0.0400	0.0596	0.0000	0.0933	0.0000	0.1333
0.85	0.0400	0.0596	0.0000	0.0933	0.0000	0.1333
