seed	tau	n_fire	n_nofire	mean_fire	mean_nofire	delta_r	boot_mean	ci_lo	ci_hi	ci_excludes_zero
42	0.55	11	4	0.281250	0.339844	-0.058594	-0.003906	-0.037050	0.021259	0
179	0.55	11	4	0.240057	0.273438	-0.033381	-0.002225	-0.029025	0.018916	0
316	0.55	11	4	0.269886	0.332031	-0.062145	-0.004143	-0.029545	0.019531	0
453	0.55	11	4	0.180398	0.304688	-0.124290	-0.008286	-0.033404	0.011198	0
590	0.55	13	2	0.227163	0.218750	0.008413	0.000561	-0.028125	0.018990	0
42	0.60	11	4	0.281250	0.339844	-0.058594	-0.003906	-0.036742	0.021094	0
179	0.60	11	4	0.240057	0.273438	-0.033381	-0.002225	-0.027746	0.017898	0
316	0.60	11	4	0.269886	0.332031	-0.062145	-0.004143	-0.031250	0.019271	0
453	0.60	11	4	0.180398	0.304688	-0.124290	-0.008286	-0.032718	0.012500	0
590	0.60	13	2	0.227163	0.218750	0.008413	0.000561	-0.026683	0.019151	0
42	0.65	6	9	0.312500	0.286458	0.026042	0.001736	-0.021238	0.027141	0
179	0.65	4	11	0.167969	0.278409	-0.110440	-0.007363	-0.024006	0.013471	0
316	0.65	4	11	0.210938	0.313920	-0.102983	-0.006866	-0.024479	0.013281	0
453	0.65	6	9	0.138021	0.263889	-0.125868	-0.008391	-0.022917	0.007407	0
590	0.65	6	9	0.213542	0.234375	-0.020833	-0.001389	-0.017188	0.017014	0
42	0.70	6	9	0.312500	0.286458	0.026042	0.001736	-0.021007	0.027315	0
179	0.70	4	11	0.167969	0.278409	-0.110440	-0.007363	-0.023059	0.012855	0
316	0.70	4	11	0.210938	0.313920	-0.102983	-0.006866	-0.024432	0.013518	0
453	0.70	6	9	0.138021	0.263889	-0.125868	-0.008391	-0.022801	0.006424	0
590	0.70	6	9	0.213542	0.234375	-0.020833	-0.001389	-0.017766	0.016030	0
42	0.75	6	9	0.312500	0.286458	0.026042	0.001736	-0.021065	0.025116	0
179	0.75	4	11	0.167969	0.278409	-0.110440	-0.007363	-0.023580	0.013021	0
316	0.75	4	11	0.210938	0.313920	-0.102983	-0.006866	-0.024834	0.013068	0
453	0.75	6	9	0.138021	0.263889	-0.125868	-0.008391	-0.023148	0.005324	0
590	0.75	6	9	0.213542	0.234375	-0.020833	-0.001389	-0.017477	0.016956	0
453	0.80	1	14	0.093750	0.222098	-0.128348	-0.008557	-0.019792	0.008185	0
590	0.80	2	13	0.195312	0.230769	-0.035457	-0.002364	-0.019231	0.025361	0
453	0.85	1	14	0.093750	0.222098	-0.128348	-0.008557	-0.020015	0.008705	0
590	0.85	2	13	0.195312	0.230769	-0.035457	-0.002364	-0.019551	0.025200	0
