fset	rate	resample	seed	catch_at_1pct
20raw	0.0050	0	42	0.8889
20raw	0.0050	0	179	0.8750
20raw	0.0050	0	316	0.8611
20raw	0.0050	1	42	0.8889
20raw	0.0050	1	179	0.8681
20raw	0.0050	1	316	0.8681
20raw	0.0050	2	42	0.8889
20raw	0.0050	2	179	0.8472
20raw	0.0050	2	316	0.8611
20raw	0.0050	3	42	0.8889
20raw	0.0050	3	179	0.8750
20raw	0.0050	3	316	0.8819
20raw	0.0050	4	42	0.9028
20raw	0.0050	4	179	0.8750
20raw	0.0050	4	316	0.8681
20raw	0.0100	0	42	0.7778
20raw	0.0100	0	179	0.7361
20raw	0.0100	0	316	0.7361
20raw	0.0100	1	42	0.7778
20raw	0.0100	1	179	0.7153
20raw	0.0100	1	316	0.7292
20raw	0.0100	2	42	0.7500
20raw	0.0100	2	179	0.7222
20raw	0.0100	2	316	0.7292
20raw	0.0100	3	42	0.7569
20raw	0.0100	3	179	0.7361
20raw	0.0100	3	316	0.7361
20raw	0.0100	4	42	0.7500
20raw	0.0100	4	179	0.7292
20raw	0.0100	4	316	0.7361
20raw	0.0144	0	42	0.6528
20raw	0.0144	0	179	0.6250
20raw	0.0144	0	316	0.6389
20raw	0.0144	1	42	0.6181
20raw	0.0144	1	179	0.5903
20raw	0.0144	1	316	0.6111
20raw	0.0144	2	42	0.6389
20raw	0.0144	2	179	0.6250
20raw	0.0144	2	316	0.6181
20raw	0.0144	3	42	0.6458
20raw	0.0144	3	179	0.6250
20raw	0.0144	3	316	0.6250
20raw	0.0144	4	42	0.6528
20raw	0.0144	4	179	0.6250
20raw	0.0144	4	316	0.6458
20raw	0.0200	0	42	0.4792
20raw	0.0200	0	179	0.4653
20raw	0.0200	0	316	0.4792
20raw	0.0200	1	42	0.4792
20raw	0.0200	1	179	0.4722
20raw	0.0200	1	316	0.4861
20raw	0.0200	2	42	0.4792
20raw	0.0200	2	179	0.4792
20raw	0.0200	2	316	0.4861
20raw	0.0200	3	42	0.4792
20raw	0.0200	3	179	0.4792
20raw	0.0200	3	316	0.4861
20raw	0.0200	4	42	0.4861
20raw	0.0200	4	179	0.4792
20raw	0.0200	4	316	0.5000
20raw	0.0300	0	42	0.3264
20raw	0.0300	0	179	0.3264
20raw	0.0300	0	316	0.3264
20raw	0.0300	1	42	0.3264
20raw	0.0300	1	179	0.3264
20raw	0.0300	1	316	0.3264
20raw	0.0300	2	42	0.3264
20raw	0.0300	2	179	0.3264
20raw	0.0300	2	316	0.3264
20raw	0.0300	3	42	0.3264
20raw	0.0300	3	179	0.3264
20raw	0.0300	3	316	0.3264
20raw	0.0300	4	42	0.3264
20raw	0.0300	4	179	0.3264
20raw	0.0300	4	316	0.3194
20raw	0.0500	0	42	0.2014
20raw	0.0500	0	179	0.2014
20raw	0.0500	0	316	0.2014
20raw	0.0500	1	42	0.2014
20raw	0.0500	1	179	0.2014
20raw	0.0500	1	316	0.2014
20raw	0.0500	2	42	0.2014
20raw	0.0500	2	179	0.2014
20raw	0.0500	2	316	0.2014
20raw	0.0500	3	42	0.2014
20raw	0.0500	3	179	0.2014
20raw	0.0500	3	316	0.2014
20raw	0.0500	4	42	0.2014
20raw	0.0500	4	179	0.2014
20raw	0.0500	4	316	0.2014
24full	0.0050	0	42	0.9375
24full	0.0050	0	179	0.9167
24full	0.0050	0	316	0.9306
24full	0.0050	1	42	0.9375
24full	0.0050	1	179	0.9236
24full	0.0050	1	316	0.9306
24full	0.0050	2	42	0.9444
24full	0.0050	2	179	0.9028
24full	0.0050	2	316	0.9306
24full	0.0050	3	42	0.9444
24full	0.0050	3	179	0.9028
24full	0.0050	3	316	0.9306
24full	0.0050	4	42	0.9444
24full	0.0050	4	179	0.9236
24full	0.0050	4	316	0.9306
24full	0.0100	0	42	0.8264
24full	0.0100	0	179	0.7847
24full	0.0100	0	316	0.8056
24full	0.0100	1	42	0.8333
24full	0.0100	1	179	0.7917
24full	0.0100	1	316	0.8056
24full	0.0100	2	42	0.8264
24full	0.0100	2	179	0.7917
24full	0.0100	2	316	0.8194
24full	0.0100	3	42	0.8333
24full	0.0100	3	179	0.7847
24full	0.0100	3	316	0.7986
24full	0.0100	4	42	0.8264
24full	0.0100	4	179	0.7917
24full	0.0100	4	316	0.7986
24full	0.0144	0	42	0.6250
24full	0.0144	0	179	0.6597
24full	0.0144	0	316	0.6250
24full	0.0144	1	42	0.6250
24full	0.0144	1	179	0.6528
24full	0.0144	1	316	0.6458
24full	0.0144	2	42	0.6389
24full	0.0144	2	179	0.6667
24full	0.0144	2	316	0.6389
24full	0.0144	3	42	0.6250
24full	0.0144	3	179	0.6667
24full	0.0144	3	316	0.6181
24full	0.0144	4	42	0.6250
24full	0.0144	4	179	0.6597
24full	0.0144	4	316	0.6319
24full	0.0200	0	42	0.4861
24full	0.0200	0	179	0.4931
24full	0.0200	0	316	0.4722
24full	0.0200	1	42	0.4861
24full	0.0200	1	179	0.4931
