contrast	c	mean_gap	lo	mean_20raw	mean_24full	h_pass	n_pass
24full-20raw	1	-0.001440	-0.001620	0.006140	0.004700	1	5
4sensor-20raw	1	+0.008000	+0.007760	0.006140	0.014140	1	5
24full-20raw	10	-0.002720	-0.004120	0.015120	0.012400	1	5
4sensor-20raw	10	+0.065080	+0.062480	0.015120	0.080200	1	5
24full-20raw	100	-0.011160	-0.014060	0.030200	0.019040	1	5
4sensor-20raw	100	+0.182820	+0.172060	0.030200	0.213020	1	5
24full-20raw	1000	-0.015540	-0.020160	0.034780	0.019240	1	5
4sensor-20raw	1000	+0.249120	+0.224660	0.034780	0.283900	1	5
