method	step	zvf_step	is_sat_band	n_saturated	n_boundary	n_mid	g_baseline_sum	g_zvf70_sum	g_dual_sum	g_hybrid_sum	zvf_baseline_mean	zvf_zvf70_mean	zvf_dual_mean	zvf_hybrid_mean
aero	25	0.6875	False	11	2	3	128	128	84	128	0.7444	0.7444	0.7677	0.7444
aero	26	0.875	False	14	0	2	128	256	80	256	0.8827	0.8757	0.8813	0.8757
aero	27	0.9375	True	15	0	1	128	256	46	64	0.939	0.9375	0.9375	0.9483
aero	28	0.8125	False	13	2	1	128	256	62	256	0.8559	0.8273	0.8565	0.8273
aero	29	0.875	False	14	0	2	128	256	52	256	0.8875	0.8763	0.8819	0.8763
aero	30	0.8125	False	13	2	1	128	256	50	256	0.8617	0.8279	0.8864	0.8279
aero	31	0.8125	False	13	2	1	128	256	56	256	0.8617	0.8279	0.8921	0.8279
aero	32	0.75	False	12	1	3	128	256	76	256	0.7797	0.758	0.7873	0.758
aero	33	0.625	False	10	3	3	128	128	84	128	0.6986	0.6986	0.712	0.6986
aero	34	0.875	False	14	1	1	128	256	62	256	0.898	0.8824	0.9117	0.8824
aero	35	0.8125	False	13	1	2	128	256	82	256	0.8407	0.8205	0.8554	0.8205
aero	36	0.8125	False	13	1	2	128	256	60	256	0.8465	0.8211	0.8617	0.8211
aero	37	0.6875	False	11	3	2	128	128	118	128	0.7539	0.7539	0.7389	0.7539
aero	38	0.6875	False	11	3	2	128	128	92	128	0.7529	0.7529	0.7682	0.7529
aero	39	0.625	False	10	5	1	128	128	94	128	0.7339	0.7339	0.7497	0.7339
gift	0	0.75	False	12	0	4	128	256	94	256	0.7645	0.7513	0.7569	0.7513
gift	1	0.5625	False	9	3	4	128	128	98	128	0.6404	0.6404	0.6501	0.6404
gift	2	0.6875	False	11	5	0	128	128	68	128	0.7949	0.7949	0.8415	0.7949
gift	3	0.5625	False	9	3	4	128	128	98	128	0.652	0.652	0.6919	0.652
gift	4	0.6875	False	11	2	3	128	128	76	128	0.7444	0.7444	0.7734	0.7444
gift	5	0.625	False	10	5	1	128	128	132	128	0.7339	0.7339	0.6912	0.7339
gift	6	0.75	False	12	1	3	128	256	96	256	0.7807	0.7581	0.793	0.7581
gift	7	0.6875	False	11	3	2	128	128	102	128	0.7644	0.7644	0.7514	0.7644
gift	8	0.625	False	10	2	4	128	128	120	128	0.6824	0.6824	0.6996	0.6824
gift	9	0.625	False	10	4	2	128	128	72	128	0.7186	0.7186	0.7486	0.7186
gift	10	0.75	False	12	3	1	128	256	66	256	0.8149	0.7721	0.86	0.7721
gift	11	0.625	False	10	1	5	128	128	106	128	0.672	0.672	0.6518	0.672
gift	12	0.75	False	12	1	3	128	256	60	256	0.7855	0.7587	0.7992	0.7587
gift	13	0.5625	False	9	1	6	128	128	132	128	0.6004	0.6004	0.6005	0.6004
gift	14	0.8125	False	13	1	2	128	256	62	256	0.8359	0.8199	0.8492	0.8199
gift	15	0.625	False	10	3	3	128	128	84	128	0.6977	0.6977	0.712	0.6977
gift	16	0.625	False	10	2	4	128	128	104	128	0.6882	0.6882	0.7115	0.6882
gift	17	0.75	False	12	0	4	128	256	102	256	0.752	0.75	0.75	0.75
gift	18	0.625	False	10	2	4	128	128	126	128	0.6777	0.6777	0.7046	0.6777
gift	19	0.75	False	12	2	2	128	256	78	256	0.7997	0.7654	0.8239	0.7654
gift	20	0.6875	False	11	2	3	128	128	90	128	0.7377	0.7377	0.7322	0.7377
gift	21	0.75	False	12	1	3	128	256	80	256	0.7807	0.7581	0.7637	0.7581
gift	22	0.875	False	14	1	1	128	256	62	256	0.898	0.8824	0.9117	0.8824
gift	23	0.875	False	14	1	1	128	256	62	256	0.898	0.8824	0.9117	0.8824
gift	24	0.875	False	14	2	0	128	256	48	256	0.918	0.8898	0.919	0.8898
gift	25	0.75	False	12	0	4	128	256	86	256	0.7645	0.7513	0.7626	0.7513
gift	26	0.8125	False	13	2	1	128	256	62	256	0.8569	0.8273	0.8566	0.8273
gift	27	0.9375	True	15	0	1	128	256	46	64	0.9438	0.9381	0.9381	0.9575
gift	28	0.875	False	14	1	1	128	256	52	256	0.9027	0.883	0.8886	0.883
gift	29	0.9375	True	15	0	1	128	256	46	64	0.939	0.9375	0.9375	0.9483
gift	30	0.875	False	14	0	2	128	256	60	256	0.8817	0.8756	0.8756	0.8756
gift	31	0.9375	True	15	1	0	128	256	48	64	0.959	0.9449	0.9742	0.9742
gift	32	0.75	False	12	2	2	128	256	88	256	0.7959	0.7648	0.7648	0.7648
gift	33	0.9375	True	15	1	0	128	256	48	64	0.959	0.9449	0.9742	0.9742
gift	34	1.0	True	16	0	0	128	256	46	64	1.0	1.0	1.0	1.0
gift	35	0.9375	True	15	1	0	128	256	74	64	0.959	0.9449	0.9449	0.9742
gift	36	0.9375	True	15	0	1	128	256	60	64	0.938	0.9375	0.9375	0.9453
gift	37	0.875	False	14	1	1	128	256	90	256	0.898	0.8824	0.9117	0.8824
gift	38	0.9375	True	15	0	1	128	256	74	64	0.939	0.9375	0.9375	0.9483
gift	39	0.8125	False	13	0	3	128	256	80	256	0.8207	0.8132	0.8188	0.8132
areal	0	0.6875	False	11	2	3	128	128	78	128	0.7397	0.7397	0.7615	0.7397
areal	1	0.5	False	8	3	5	128	128	92	128	0.5784	0.5784	0.6225	0.5784
areal	2	0.6875	False	11	4	1	128	128	82	128	0.7739	0.7739	0.8341	0.7739
areal	3	0.6875	False	11	1	4	128	128	114	128	0.7245	0.7245	0.7075	0.7245
areal	4	0.5	False	8	6	2	128	128	84	128	0.6356	0.6356	0.6913	0.6356
areal	5	0.75	False	12	2	2	128	256	120	256	0.7959	0.7648	0.8234	0.7648
areal	6	0.6875	False	11	3	2	128	128	92	128	0.7549	0.7549	0.7683	0.7549
areal	7	0.875	False	14	2	0	128	256	90	256	0.918	0.8898	0.919	0.8898
areal	8	0.625	False	10	2	4	128	128	110	128	0.6777	0.6777	0.6754	0.6777
areal	9	0.6875	False	11	1	4	128	128	90	128	0.7197	0.7197	0.7249	0.7197
areal	10	0.6875	False	11	4	1	128	128	66	128	0.7749	0.7749	0.8049	0.7749
areal	11	0.5	False	8	4	4	128	128	114	128	0.6014	0.6014	0.6243	0.6014
areal	12	0.8125	False	13	0	3	128	256	74	256	0.8169	0.8126	0.8126	0.8126
areal	13	0.5625	False	9	0	7	128	128	136	128	0.5872	0.5872	0.5701	0.5872
areal	14	0.6875	False	11	2	3	128	128	70	128	0.7435	0.7435	0.7677	0.7435
areal	15	0.6875	False	11	4	1	128	128	80	128	0.7749	0.7749	0.8049	0.7749
areal	16	0.625	False	10	3	3	128	128	100	128	0.7034	0.7034	0.7419	0.7034
areal	17	0.5	False	8	3	5	128	128	114	128	0.5746	0.5746	0.6163	0.5746
areal	18	0.5625	False	9	3	4	128	128	136	128	0.6366	0.6366	0.6732	0.6366
areal	19	0.75	False	12	0	4	128	256	108	256	0.7635	0.7513	0.7569	0.7513
areal	20	0.6875	False	11	0	5	128	128	94	128	0.7015	0.7015	0.6944	0.7015
areal	21	0.6875	False	11	4	1	128	128	78	128	0.7739	0.7739	0.7756	0.7739
areal	22	0.8125	False	13	2	1	128	256	62	256	0.8559	0.8273	0.8565	0.8273
areal	23	0.8125	False	13	1	2	128	256	68	256	0.8417	0.8205	0.8554	0.8205
areal	24	0.875	False	14	1	1	128	256	52	256	0.9027	0.883	0.8886	0.883
areal	25	0.625	False	10	0	6	128	128	108	128	0.6434	0.6434	0.632	0.6434
areal	26	0.875	False	14	0	2	128	256	80	256	0.8827	0.8757	0.8813	0.8757
areal	27	0.9375	True	15	0	1	128	256	46	64	0.9438	0.9381	0.9381	0.9575
areal	28	0.875	False	14	1	1	128	256	62	256	0.898	0.8824	0.9117	0.8824
areal	29	0.8125	False	13	2	1	128	256	50	256	0.8559	0.8273	0.8858	0.8273
areal	30	0.75	False	12	2	2	128	256	64	256	0.8007	0.7654	0.824	0.7654
areal	31	0.5625	False	9	6	1	128	128	64	128	0.6976	0.6976	0.7887	0.6976
areal	32	0.75	False	12	1	3	128	256	76	256	0.7807	0.7581	0.7873	0.7581
areal	33	0.625	False	10	3	3	128	128	80	128	0.6977	0.6977	0.7356	0.6977
areal	34	0.6875	False	11	4	1	128	128	68	128	0.7797	0.7797	0.8347	0.7797
areal	35	0.8125	False	13	2	1	128	256	70	256	0.8617	0.8279	0.8921	0.8279
areal	36	0.75	False	12	2	2	128	256	68	256	0.8007	0.7654	0.8003	0.7654
areal	37	0.6875	False	11	2	3	128	128	124	128	0.7377	0.7377	0.7378	0.7377
areal	38	0.8125	False	13	1	2	128	256	90	256	0.8417	0.8205	0.8498	0.8205
areal	39	0.75	False	12	1	3	128	256	94	256	0.7855	0.7587	0.7643	0.7587
