perturb_type	feature	level	delta_recall_K2	delta_caught	delta_n_llm	delta_auc	ci_lo	ci_hi	p_zero_excl	verdict	sigma
sigma_noise	V1	0.050	0.0138889	2	1	4.36846e-05	-0.111111	0.107812	0.532	DEGRADES	2.10011
sigma_noise	V2	0.050	0.0138889	2	-4	7.18682e-05	-0.104167	0.104167	0.530667	DEGRADES	1.84712
sigma_noise	V3	0.050	0.0138889	2	-2	8.45509e-05	-0.111111	0.104167	0.545333	DEGRADES	1.94765
sigma_noise	V4	0.050	0.0138889	2	-8	-3.17066e-05	-0.111111	0.107812	0.530667	DEGRADES	1.00334
sigma_noise	V5	0.050	0.0138889	2	-1	3.45249e-05	-0.0972222	0.104167	0.543333	DEGRADES	1.94859
sigma_noise	V6	0.050	0.0138889	2	-3	3.80479e-05	-0.104167	0.104167	0.538	DEGRADES	1.94504
sigma_noise	V7	0.050	0.0138889	2	-5	3.31158e-05	-0.104167	0.104167	0.526667	DEGRADES	1.88061
sigma_noise	V8	0.050	0.0138889	2	-5	6.55269e-05	-0.0972222	0.104167	0.543333	DEGRADES	0.991795
sigma_noise	V9	0.050	0.0138889	2	-3	7.82096e-05	-0.104167	0.104167	0.532	DEGRADES	0.999027
sigma_noise	V10	0.050	0.0138889	2	-7	5.98902e-05	-0.111111	0.107812	0.524667	DEGRADES	2.37213
sigma_noise	V11	0.050	0.0138889	2	1	5.42535e-05	-0.104167	0.104167	0.538	DEGRADES	1.82544
sigma_noise	V12	0.050	0.0138889	2	-2	3.80479e-05	-0.118056	0.104167	0.531333	DEGRADES	2.2605
sigma_noise	V13	0.050	0.0138889	2	-4	3.1002e-05	-0.104167	0.104167	0.534667	DEGRADES	0.996253
sigma_noise	V14	0.050	0.0138889	2	-4	1.12734e-05	-0.104167	0.100868	0.528	DEGRADES	0.99525
sigma_noise	V15	0.050	0.0138889	2	-2	5.77764e-05	-0.111111	0.104167	0.527333	DEGRADES	4.66053
sigma_noise	V16	0.050	0.0138889	2	-1	7.89141e-05	-0.111111	0.104167	0.538667	DEGRADES	1.85761
sigma_noise	V17	0.050	0.0138889	2	-1	4.86167e-05	-0.104167	0.107812	0.547333	DEGRADES	1.00456
sigma_noise	V18	0.050	0.0138889	2	-6	5.77764e-05	-0.111111	0.104167	0.542667	DEGRADES	0.992377
sigma_noise	V19	0.050	0.0138889	2	-5	4.72076e-05	-0.111111	0.111111	0.528	DEGRADES	1.01435
sigma_noise	V20	0.050	0.0138889	2	-1	6.27086e-05	-0.118056	0.0972222	0.528667	DEGRADES	1.6511
sigma_noise	V_mean	0.050	0.0138889	2	-7	7.04591e-05	-0.111111	0.104167	0.532	DEGRADES	0.499277
sigma_noise	V_std	0.050	0.0138889	2	-7	6.83453e-05	-0.111111	0.104167	0.525333	DEGRADES	0.549544
sigma_noise	V_max	0.050	0.0138889	2	-7	7.04591e-05	-0.104167	0.111111	0.536667	DEGRADES	1.80589
sigma_noise	V_min	0.050	0.0138889	2	-7	7.04591e-05	-0.104167	0.107812	0.542	DEGRADES	2.15366
sigma_noise	V1	0.100	0.00694444	1	-2	-1.90239e-05	-0.111111	0.111111	0.531333	DEGRADES	2.10011
sigma_noise	V2	0.100	0.00694444	1	-3	-0.000100756	-0.111111	0.104167	0.525333	DEGRADES	1.84712
sigma_noise	V3	0.100	0.0138889	2	3	2.95928e-05	-0.104167	0.0972222	0.554	DEGRADES	1.94765
sigma_noise	V4	0.100	0.0138889	2	-3	1.76148e-05	-0.111111	0.104167	0.545333	DEGRADES	1.00334
sigma_noise	V5	0.100	0.00694444	1	-4	2.11377e-06	-0.111111	0.111111	0.524	DEGRADES	1.94859
