noise_sigma	model	k_pct	k_n	tp	fp	fn	cost	precision	recall
0.0	XGB-20raw	0.1	10	10	0	134	1.3405	1.0	0.06944444444444445
0.0	XGB-20raw	0.25	25	25	0	119	1.19125	1.0	0.1736111111111111
0.0	XGB-20raw	0.5	50	49	1	95	0.9525	0.98	0.3402777777777778
0.0	XGB-20raw	1.0	100	94	6	50	0.505	0.94	0.6527777777777778
0.0	XGB-20raw	1.5	150	122	28	22	0.2275	0.8133333333333334	0.8472222222222222
0.0	XGB-20raw	2.0	200	135	65	9	0.1	0.675	0.9375
0.0	XGB-20raw	3.0	300	142	158	2	0.035	0.47333333333333333	0.9861111111111112
0.0	XGB-20raw	4.0	400	143	257	1	0.03	0.3575	0.9930555555555556
0.0	XGB-20raw	5.0	500	144	356	0	0.025	0.288	1.0
0.0	XGB-20raw	7.0	700	144	556	0	0.035	0.2057142857142857	1.0
0.0	XGB-20raw	10.0	1000	144	856	0	0.05	0.144	1.0
0.0	XGB-24full	0.1	10	10	0	134	1.344	1.0	0.06944444444444445
0.0	XGB-24full	0.25	25	25	0	119	1.19475	1.0	0.1736111111111111
0.0	XGB-24full	0.5	50	50	0	94	0.946	1.0	0.3472222222222222
0.0	XGB-24full	1.0	100	96	4	48	0.4885	0.96	0.6666666666666666
0.0	XGB-24full	1.5	150	131	19	13	0.14100000000000001	0.8733333333333333	0.9097222222222222
0.0	XGB-24full	2.0	200	139	61	5	0.0635	0.695	0.9652777777777778
0.0	XGB-24full	3.0	300	144	156	0	0.0185	0.48	1.0
0.0	XGB-24full	4.0	400	144	256	0	0.0235	0.36	1.0
0.0	XGB-24full	5.0	500	144	356	0	0.0285	0.288	1.0
0.0	XGB-24full	7.0	700	144	556	0	0.038500000000000006	0.2057142857142857	1.0
0.0	XGB-24full	10.0	1000	144	856	0	0.053500000000000006	0.144	1.0
0.0	XGB-4sensor	0.1	10	7	3	137	1.374	0.7	0.04861111111111111
0.0	XGB-4sensor	0.25	25	16	9	128	1.28475	0.64	0.1111111111111111
0.0	XGB-4sensor	0.5	50	27	23	117	1.1760000000000002	0.54	0.1875
0.0	XGB-4sensor	1.0	100	53	47	91	0.9185	0.53	0.3680555555555556
0.0	XGB-4sensor	1.5	150	72	78	72	0.731	0.48	0.5
0.0	XGB-4sensor	2.0	200	86	114	58	0.5934999999999999	0.43	0.5972222222222222
0.0	XGB-4sensor	3.0	300	97	203	47	0.4885	0.3233333333333333	0.6736111111111112
0.0	XGB-4sensor	4.0	400	105	295	39	0.4135	0.2625	0.7291666666666666
0.0	XGB-4sensor	5.0	500	110	390	34	0.3685	0.22	0.7638888888888888
0.0	XGB-4sensor	7.0	700	117	583	27	0.3085	0.16714285714285715	0.8125
0.0	XGB-4sensor	10.0	1000	129	871	15	0.20350000000000001	0.129	0.8958333333333334
0.05	XGB-20raw	0.1	10	10	0	134	1.3405	1.0	0.06944444444444445
0.05	XGB-20raw	0.25	25	25	0	119	1.19125	1.0	0.1736111111111111
0.05	XGB-20raw	0.5	50	49	1	95	0.9525	0.98	0.3402777777777778
0.05	XGB-20raw	1.0	100	94	6	50	0.505	0.94	0.6527777777777778
0.05	XGB-20raw	1.5	150	122	28	22	0.2275	0.8133333333333334	0.8472222222222222
0.05	XGB-20raw	2.0	200	135	65	9	0.1	0.675	0.9375
0.05	XGB-20raw	3.0	300	142	158	2	0.035	0.47333333333333333	0.9861111111111112
0.05	XGB-20raw	4.0	400	143	257	1	0.03	0.3575	0.9930555555555556
0.05	XGB-20raw	5.0	500	144	356	0	0.025	0.288	1.0
0.05	XGB-20raw	7.0	700	144	556	0	0.035	0.2057142857142857	1.0
0.05	XGB-20raw	10.0	1000	144	856	0	0.05	0.144	1.0
0.05	XGB-24full	0.1	10	10	0	134	1.344	1.0	0.06944444444444445
0.05	XGB-24full	0.25	25	25	0	119	1.19475	1.0	0.1736111111111111
0.05	XGB-24full	0.5	50	50	0	94	0.946	1.0	0.3472222222222222
0.05	XGB-24full	1.0	100	95	5	49	0.4985	0.95	0.6597222222222222
0.05	XGB-24full	1.5	150	132	18	12	0.131	0.88	0.9166666666666666
0.05	XGB-24full	2.0	200	138	62	6	0.07350000000000001	0.69	0.9583333333333334
0.05	XGB-24full	3.0	300	144	156	0	0.0185	0.48	1.0
0.05	XGB-24full	4.0	400	144	256	0	0.0235	0.36	1.0
0.05	XGB-24full	5.0	500	144	356	0	0.0285	0.288	1.0
0.05	XGB-24full	7.0	700	144	556	0	0.038500000000000006	0.2057142857142857	1.0
0.05	XGB-24full	10.0	1000	144	856	0	0.053500000000000006	0.144	1.0
0.05	XGB-4sensor	0.1	10	4	6	140	1.4040000000000001	0.4	0.027777777777777776
0.05	XGB-4sensor	0.25	25	6	19	138	1.3847500000000001	0.24	0.041666666666666664
0.05	XGB-4sensor	0.5	50	10	40	134	1.346	0.2	0.06944444444444445
0.05	XGB-4sensor	1.0	100	17	83	127	1.2785	0.17	0.11805555555555555
0.05	XGB-4sensor	1.5	150	23	127	121	1.221	0.15333333333333332	0.1597222222222222
0.05	XGB-4sensor	2.0	200	28	172	116	1.1735	0.14	0.19444444444444445
0.05	XGB-4sensor	3.0	300	36	264	108	1.0985	0.12	0.25
0.05	XGB-4sensor	4.0	400	42	358	102	1.0435	0.105	0.2916666666666667
0.05	XGB-4sensor	5.0	500	48	452	96	0.9884999999999999	0.096	0.3333333333333333
0.05	XGB-4sensor	7.0	700	60	640	84	0.8785	0.08571428571428572	0.4166666666666667
0.05	XGB-4sensor	10.0	1000	67	933	77	0.8234999999999999	0.067	0.4652777777777778
0.1	XGB-20raw	0.1	10	10	0	134	1.3405	1.0	0.06944444444444445
0.1	XGB-20raw	0.25	25	25	0	119	1.19125	1.0	0.1736111111111111
0.1	XGB-20raw	0.5	50	49	1	95	0.9525	0.98	0.3402777777777778
0.1	XGB-20raw	1.0	100	94	6	50	0.505	0.94	0.6527777777777778
0.1	XGB-20raw	1.5	150	122	28	22	0.2275	0.8133333333333334	0.8472222222222222
0.1	XGB-20raw	2.0	200	135	65	9	0.1	0.675	0.9375
0.1	XGB-20raw	3.0	300	142	158	2	0.035	0.47333333333333333	0.9861111111111112
0.1	XGB-20raw	4.0	400	143	257	1	0.03	0.3575	0.9930555555555556
0.1	XGB-20raw	5.0	500	144	356	0	0.025	0.288	1.0
0.1	XGB-20raw	7.0	700	144	556	0	0.035	0.2057142857142857	1.0
0.1	XGB-20raw	10.0	1000	144	856	0	0.05	0.144	1.0
0.1	XGB-24full	0.1	10	10	0	134	1.344	1.0	0.06944444444444445
0.1	XGB-24full	0.25	25	25	0	119	1.19475	1.0	0.1736111111111111
0.1	XGB-24full	0.5	50	50	0	94	0.946	1.0	0.3472222222222222
0.1	XGB-24full	1.0	100	93	7	51	0.5185	0.93	0.6458333333333334
0.1	XGB-24full	1.5	150	121	29	23	0.241	0.8066666666666666	0.8402777777777778
0.1	XGB-24full	2.0	200	127	73	17	0.1835	0.635	0.8819444444444444
0.1	XGB-24full	3.0	300	139	161	5	0.0685	0.4633333333333333	0.9652777777777778
0.1	XGB-24full	4.0	400	143	257	1	0.0335	0.3575	0.9930555555555556
0.1	XGB-24full	5.0	500	144	356	0	0.0285	0.288	1.0
0.1	XGB-24full	7.0	700	144	556	0	0.038500000000000006	0.2057142857142857	1.0
0.1	XGB-24full	10.0	1000	144	856	0	0.053500000000000006	0.144	1.0
0.1	XGB-4sensor	0.1	10	1	9	143	1.4340000000000002	0.1	0.006944444444444444
0.1	XGB-4sensor	0.25	25	1	24	143	1.43475	0.04	0.006944444444444444
0.1	XGB-4sensor	0.5	50	2	48	142	1.4260000000000002	0.04	0.013888888888888888
0.1	XGB-4sensor	1.0	100	5	95	139	1.3985	0.05	0.034722222222222224
0.1	XGB-4sensor	1.5	150	6	144	138	1.391	0.04	0.041666666666666664
0.1	XGB-4sensor	2.0	200	9	191	135	1.3635000000000002	0.045	0.0625
0.1	XGB-4sensor	3.0	300	12	288	132	1.3385	0.04	0.08333333333333333
0.1	XGB-4sensor	4.0	400	14	386	130	1.3235000000000001	0.035	0.09722222222222222
0.1	XGB-4sensor	5.0	500	17	483	127	1.2985	0.034	0.11805555555555555
0.1	XGB-4sensor	7.0	700	21	679	123	1.2685	0.03	0.14583333333333334
0.1	XGB-4sensor	10.0	1000	26	974	118	1.2335	0.026	0.18055555555555555
0.25	XGB-20raw	0.1	10	10	0	134	1.3405	1.0	0.06944444444444445
0.25	XGB-20raw	0.25	25	25	0	119	1.19125	1.0	0.1736111111111111
0.25	XGB-20raw	0.5	50	49	1	95	0.9525	0.98	0.3402777777777778
0.25	XGB-20raw	1.0	100	94	6	50	0.505	0.94	0.6527777777777778
0.25	XGB-20raw	1.5	150	122	28	22	0.2275	0.8133333333333334	0.8472222222222222
0.25	XGB-20raw	2.0	200	135	65	9	0.1	0.675	0.9375
0.25	XGB-20raw	3.0	300	142	158	2	0.035	0.47333333333333333	0.9861111111111112
0.25	XGB-20raw	4.0	400	143	257	1	0.03	0.3575	0.9930555555555556
0.25	XGB-20raw	5.0	500	144	356	0	0.025	0.288	1.0
0.25	XGB-20raw	7.0	700	144	556	0	0.035	0.2057142857142857	1.0
0.25	XGB-20raw	10.0	1000	144	856	0	0.05	0.144	1.0
0.25	XGB-24full	0.1	10	10	0	134	1.344	1.0	0.06944444444444445
0.25	XGB-24full	0.25	25	25	0	119	1.19475	1.0	0.1736111111111111
0.25	XGB-24full	0.5	50	49	1	95	0.956	0.98	0.3402777777777778
0.25	XGB-24full	1.0	100	94	6	50	0.5085	0.94	0.6527777777777778
0.25	XGB-24full	1.5	150	119	31	25	0.261	0.7933333333333333	0.8263888888888888
0.25	XGB-24full	2.0	200	132	68	12	0.1335	0.66	0.9166666666666666
0.25	XGB-24full	3.0	300	137	163	7	0.08850000000000001	0.45666666666666667	0.9513888888888888
0.25	XGB-24full	4.0	400	140	260	4	0.0635	0.35	0.9722222222222222
0.25	XGB-24full	5.0	500	144	356	0	0.0285	0.288	1.0
0.25	XGB-24full	7.0	700	144	556	0	0.038500000000000006	0.2057142857142857	1.0
0.25	XGB-24full	10.0	1000	144	856	0	0.053500000000000006	0.144	1.0
0.25	XGB-4sensor	0.1	10	2	8	142	1.4240000000000002	0.2	0.013888888888888888
0.25	XGB-4sensor	0.25	25	4	21	140	1.4047500000000002	0.16	0.027777777777777776
0.25	XGB-4sensor	0.5	50	5	45	139	1.3960000000000001	0.1	0.034722222222222224
0.25	XGB-4sensor	1.0	100	7	93	137	1.3785	0.07	0.04861111111111111
0.25	XGB-4sensor	1.5	150	10	140	134	1.351	0.06666666666666667	0.06944444444444445
0.25	XGB-4sensor	2.0	200	12	188	132	1.3335000000000001	0.06	0.08333333333333333
0.25	XGB-4sensor	3.0	300	14	286	130	1.3185	0.04666666666666667	0.09722222222222222
0.25	XGB-4sensor	4.0	400	17	383	127	1.2935	0.0425	0.11805555555555555
0.25	XGB-4sensor	5.0	500	19	481	125	1.2785	0.038	0.13194444444444445
0.25	XGB-4sensor	7.0	700	22	678	122	1.2585	0.03142857142857143	0.1527777777777778
0.25	XGB-4sensor	10.0	1000	33	967	111	1.1635	0.033	0.22916666666666666
0.5	XGB-20raw	0.1	10	10	0	134	1.3405	1.0	0.06944444444444445
0.5	XGB-20raw	0.25	25	25	0	119	1.19125	1.0	0.1736111111111111
0.5	XGB-20raw	0.5	50	49	1	95	0.9525	0.98	0.3402777777777778
0.5	XGB-20raw	1.0	100	94	6	50	0.505	0.94	0.6527777777777778
0.5	XGB-20raw	1.5	150	122	28	22	0.2275	0.8133333333333334	0.8472222222222222
0.5	XGB-20raw	2.0	200	135	65	9	0.1	0.675	0.9375
0.5	XGB-20raw	3.0	300	142	158	2	0.035	0.47333333333333333	0.9861111111111112
0.5	XGB-20raw	4.0	400	143	257	1	0.03	0.3575	0.9930555555555556
0.5	XGB-20raw	5.0	500	144	356	0	0.025	0.288	1.0
0.5	XGB-20raw	7.0	700	144	556	0	0.035	0.2057142857142857	1.0
0.5	XGB-20raw	10.0	1000	144	856	0	0.05	0.144	1.0
0.5	XGB-24full	0.1	10	10	0	134	1.344	1.0	0.06944444444444445
0.5	XGB-24full	0.25	25	25	0	119	1.19475	1.0	0.1736111111111111
0.5	XGB-24full	0.5	50	48	2	96	0.966	0.96	0.3333333333333333
0.5	XGB-24full	1.0	100	84	16	60	0.6084999999999999	0.84	0.5833333333333334
0.5	XGB-24full	1.5	150	109	41	35	0.361	0.7266666666666667	0.7569444444444444
0.5	XGB-24full	2.0	200	121	79	23	0.2435	0.605	0.8402777777777778
0.5	XGB-24full	3.0	300	129	171	15	0.1685	0.43	0.8958333333333334
0.5	XGB-24full	4.0	400	135	265	9	0.1135	0.3375	0.9375
0.5	XGB-24full	5.0	500	136	364	8	0.1085	0.272	0.9444444444444444
0.5	XGB-24full	7.0	700	139	561	5	0.08850000000000001	0.19857142857142857	0.9652777777777778
0.5	XGB-24full	10.0	1000	142	858	2	0.07350000000000001	0.142	0.9861111111111112
0.5	XGB-4sensor	0.1	10	0	10	144	1.444	0.0	0.0
0.5	XGB-4sensor	0.25	25	0	25	144	1.44475	0.0	0.0
0.5	XGB-4sensor	0.5	50	1	49	143	1.4360000000000002	0.02	0.006944444444444444
0.5	XGB-4sensor	1.0	100	2	98	142	1.4285	0.02	0.013888888888888888
0.5	XGB-4sensor	1.5	150	2	148	142	1.431	0.013333333333333334	0.013888888888888888
0.5	XGB-4sensor	2.0	200	4	196	140	1.4135	0.02	0.027777777777777776
0.5	XGB-4sensor	3.0	300	6	294	138	1.3985	0.02	0.041666666666666664
0.5	XGB-4sensor	4.0	400	6	394	138	1.4035	0.015	0.041666666666666664
0.5	XGB-4sensor	5.0	500	10	490	134	1.3685	0.02	0.06944444444444445
0.5	XGB-4sensor	7.0	700	12	688	132	1.3585	0.017142857142857144	0.08333333333333333
0.5	XGB-4sensor	10.0	1000	15	985	129	1.3435000000000001	0.015	0.10416666666666667
