tau_esc	tau_des	de_esc_active	de_esc_fires_total	esc_fires_total	savings_pct_mean	savings_pct_ci_lo	savings_pct_ci_hi	net_savings_pct
0.5	0.8	False	3	60	-78.0	-88.667	-66.667	178.0
0.5	0.85	False	3	60	-78.0	-88.667	-66.667	178.0
0.5	0.9	False	0	63	-84.0	-92.0	-74.667	184.0
0.6	0.8	False	3	42	-54.0	-62.0	-45.333	154.0
0.6	0.85	False	3	42	-54.0	-62.0	-45.333	154.0
0.6	0.9	False	0	45	-60.0	-66.667	-49.333	160.0
0.7	0.8	False	3	18	-22.0	-28.0	-16.0	122.0
0.7	0.85	False	3	18	-22.0	-28.0	-16.0	122.0
0.7	0.9	False	0	21	-28.0	-34.667	-20.0	128.0
0.8	0.8	False	3	0	2.0	0.0	4.667	98.0
0.8	0.85	False	3	0	2.0	0.0	4.667	98.0
0.8	0.9	False	0	3	-4.0	-9.333	0.0	104.0
0.85	0.8	False	3	0	2.0	0.0	4.667	98.0
0.85	0.85	False	3	0	2.0	0.0	4.667	98.0
0.85	0.9	False	0	3	-4.0	-9.333	0.0	104.0
