algorithm_wandb	canonical_id	n_runs	n_projects	projects	in_registry	has_delta_entry	has_stack_entry	missing_delta	missing_stack	first_run_name	first_run_model	first_run_dataset
GRPO	grpo	4	1	tinker-rl-lab-world-class	1	0	1	1	0	grpo_qwen3-8b_gsm8k_s123	Qwen/Qwen3-8B	gsm8k
PPO	ppo	1	1	tinker-rl-lab-world-class	1	1	0	0	1	ppo_qwen3.5-4b_gsm8k_s42	Qwen/Qwen3.5-4B	gsm8k
TRL-GRPO	trl-grpo	9	1	tinker-rl-lab-world-class	1	0	0	1	1	modal-trl_llama32_3b	meta-llama/Llama-3.2-3B-Instruct	gsm8k
grpo	grpo	118	4	skyrl-tinker|tinker-rl-lab-world-class|tinker-rl-scaling|tinker-structural-ceiling	1	0	1	1	0	Qwen3-8B-tool_use-20260329-211346	Qwen/Qwen3-8B	
per-group regression; continuous reward; population-standardized advantage	gspo	1	1	zvf-colab-experiments	1	1	1	0	0	E5_grad_geometry	Qwen/Qwen2.5-0.5B-Instruct	
ppo_reinforce	ppo-reinforce	4	1	tinker-rl-lab-world-class	1	1	1	0	0	ppo_gsm8k_Qwen3-8B_s42	Qwen/Qwen3-8B	gsm8k
reinforce	reinforce	2	1	tinker-structural-ceiling	1	1	0	0	1	gsm8k-qwen3-8b-reinforce	Qwen/Qwen3-8B	
