method	step	prompt_index	k_p_at_G8	boundary_at_G8	tau	G_N	y_at_G8	y_at_G_N	restored
grpo	3	0	8	1	0.7	16	0.0	0.0	0.0
grpo	3	1	8	1	0.7	16	0.0	0.0	0.0
grpo	3	2	8	1	0.7	16	0.0	0.0	0.0
grpo	3	3	7	0	0.7	16	0.6564	0.8819	0.2255
grpo	3	4	0	1	0.7	16	0.0	0.0	0.0
grpo	3	5	8	1	0.7	16	0.0	0.0	0.0
grpo	3	6	6	0	0.7	16	0.8999	0.99	0.0901
grpo	3	7	8	1	0.7	16	0.0	0.0	0.0
grpo	3	8	0	1	0.7	16	0.0	0.0	0.0
grpo	3	9	8	1	0.7	16	0.0	0.0	0.0
grpo	3	10	8	1	0.7	16	0.0	0.0	0.0
grpo	3	11	8	1	0.7	16	0.0	0.0	0.0
grpo	3	12	8	1	0.7	16	0.0	0.0	0.0
grpo	3	13	7	0	0.7	16	0.6564	0.8819	0.2255
grpo	3	14	2	0	0.7	16	0.8999	0.99	0.0901
grpo	3	15	8	1	0.7	16	0.0	0.0	0.0
grpo	6	0	8	1	0.7	16	0.0	0.0	0.0
grpo	6	1	8	1	0.7	16	0.0	0.0	0.0
grpo	6	2	8	1	0.7	16	0.0	0.0	0.0
grpo	6	3	0	1	0.7	16	0.0	0.0	0.0
grpo	6	4	2	0	0.7	16	0.8999	0.99	0.0901
grpo	6	5	8	1	0.7	16	0.0	0.0	0.0
grpo	6	6	7	0	0.7	16	0.6564	0.8819	0.2255
grpo	6	7	8	1	0.7	16	0.0	0.0	0.0
grpo	6	8	8	1	0.7	16	0.0	0.0	0.0
grpo	6	9	8	1	0.7	16	0.0	0.0	0.0
grpo	6	10	8	1	0.7	16	0.0	0.0	0.0
grpo	6	11	8	1	0.7	16	0.0	0.0	0.0
grpo	6	12	8	1	0.7	16	0.0	0.0	0.0
grpo	6	13	0	1	0.7	16	0.0	0.0	0.0
grpo	6	14	5	0	0.7	16	0.9763	0.9995	0.0231
grpo	6	15	8	1	0.7	16	0.0	0.0	0.0
grpo	12	0	8	1	0.7	16	0.0	0.0	0.0
grpo	12	1	8	1	0.7	16	0.0	0.0	0.0
grpo	12	2	6	0	0.7	16	0.8999	0.99	0.0901
grpo	12	3	8	1	0.7	16	0.0	0.0	0.0
