ablation	K_pct	n_features	ece_within_budget	brier_within_budget	cost_per_decision_usd	cost_per_caught_usd	n_pos_in_alert	delta_ece_vs_full_at_K2
full_minus_Vmean	0.5	23	0.1843360495567322	0.04366530754710837	0.946	189.2	50	-0.09556195877492432
full_minus_Vmean	1.0	23	0.3371513363718987	0.15443876564109876	0.4585	46.313131313131315	99	0.05725332804024219
full_minus_Vmean	2.0	23	0.28105261549353594	0.21004902085432786	0.1035	7.666666666666667	135	0.0011546071618794285
full_minus_Vmean	5.0	23	0.11502978423237802	0.09605698682931404	0.0585	4.148936170212766	141	-0.16486822409927848
full_minus_Vmean	10.0	23	0.06567331761121749	0.050149383722846975	0.0635	4.440559440559441	143	-0.21422469072043904
full_minus_Vstd	0.5	23	0.17456990957260132	0.03813027272177983	0.946	189.2	50	-0.10532809875905519
full_minus_Vstd	1.0	23	0.34717661201953887	0.1614837941469871	0.4485	44.85	100	0.06727860368788235
full_minus_Vstd	2.0	23	0.27306833487004045	0.20177688224432436	0.1135	8.470149253731343	134	-0.006829673461616059
full_minus_Vstd	5.0	23	0.11586294902116061	0.09415613551262718	0.0585	4.148936170212766	141	-0.1640350593104959
full_minus_Vstd	10.0	23	0.06706399213522672	0.048256860184611124	0.0735	5.176056338028169	142	-0.21283401619642978
full_minus_Vmax	0.5	23	0.16860413312911987	0.035870744232529644	0.946	189.2	50	-0.11129387520253664
full_minus_Vmax	1.0	23	0.3346103036403656	0.1487159789833562	0.4485	44.85	100	0.05471229530870908
full_minus_Vmax	2.0	23	0.26599776193499564	0.19041773772572299	0.1135	8.470149253731343	134	-0.013900246396660876
full_minus_Vmax	5.0	23	0.1140902381837368	0.08978803844547571	0.0585	4.148936170212766	141	-0.1658077701479197
full_minus_Vmax	10.0	23	0.06631828176975249	0.0460724513608221	0.0735	5.176056338028169	142	-0.21357972656190402
full_minus_Vmin	0.5	23	0.1712366366386414	0.038299415985550596	0.946	189.2	50	-0.10866137169301512
full_minus_Vmin	1.0	23	0.3367632034420967	0.15784162548511255	0.4585	46.313131313131315	99	0.05686519511044019
full_minus_Vmin	2.0	23	0.28235569432377816	0.18242436955622382	0.1335	10.113636363636363	132	0.00245768599212165
full_minus_Vmin	5.0	23	0.12114207819104193	0.08990794308484737	0.0585	4.148936170212766	141	-0.15875593014061457
full_minus_Vmin	10.0	23	0.06888291397690773	0.04708380112764171	0.0635	4.440559440559441	143	-0.2110150943547488
full_plus_Vmean_only	0.5	21	0.1758603310585022	0.04023831554688954	0.946	189.2	50	-0.1040376772731543
full_plus_Vmean_only	1.0	21	0.3475398698449135	0.1688738667098894	0.4585	46.313131313131315	99	0.06764186151325696
full_plus_Vmean_only	2.0	21	0.2579909033328295	0.18953006356703456	0.1635	12.674418604651162	129	-0.02190710499882703
full_plus_Vmean_only	5.0	21	0.1035548060759902	0.10018476160913102	0.0485	3.415492957746479	142	-0.1763432022556663
full_plus_Vmean_only	10.0	21	0.06030664534121752	0.05127907315917815	0.0635	4.440559440559441	143	-0.219591362990439
full_plus_Vstd_only	0.5	21	0.18420651078224182	0.04481685890766137	0.946	189.2	50	-0.0956914975494147
full_plus_Vstd_only	1.0	21	0.35062287598848346	0.17563374465944187	0.4685	47.80612244897959	98	0.07072486765682695
full_plus_Vstd_only	2.0	21	0.2765700670704246	0.20682749984000426	0.1335	10.113636363636363	132	-0.003327941261231926
full_plus_Vstd_only	5.0	21	0.10713980544358492	0.09640093439166589	0.0785	5.64748201438849	139	-0.1727582028880716
full_plus_Vstd_only	10.0	21	0.062035390593111514	0.050336222991831416	0.0835	5.921985815602837	141	-0.21786261773854498
full_plus_Vmax_only	0.5	21	0.1924362027645111	0.04887212595529974	0.946	189.2	50	-0.08746180556714542
full_plus_Vmax_only	1.0	21	0.3373570859432221	0.16594004829683257	0.4785	49.329896907216494	97	0.0574590776115656
full_plus_Vmax_only	2.0	21	0.2834521243721247	0.21219876419473457	0.1035	7.666666666666667	135	0.0035541160404681804
full_plus_Vmax_only	5.0	21	0.11938857734203338	0.100292770046855	0.0385	2.6923076923076925	143	-0.16050943098962311
full_plus_Vmax_only	10.0	21	0.0699941145889461	0.05036274232592354	0.0635	4.440559440559441	143	-0.2099038937427104
full_plus_Vmin_only	0.5	21	0.17480198264122007	0.039850439768585204	0.946	189.2	50	-0.10509602569043644
full_plus_Vmin_only	1.0	21	0.3388271999359131	0.16742857651721674	0.4685	47.80612244897959	98	0.05892919160425658
full_plus_Vmin_only	2.0	21	0.2644950922578573	0.19679685338825628	0.1435	10.954198473282442	131	-0.015402916073799233
full_plus_Vmin_only	5.0	21	0.10377587549388409	0.09955649482887934	0.0485	3.415492957746479	142	-0.17612213283777242
full_plus_Vmin_only	10.0	21	0.061277387499809266	0.05095972487088728	0.0635	4.440559440559441	143	-0.21862062083184725
