subset	n_methods	metric	eta2_point
grpo_family_7	7	zvf_risk	0.6336
grpo_family_7	7	mean_zvf	0.999
grpo_family_7	7	lag1_zvf_rolling_w15	0.7357
grpo_family_7	7	slope	0.997
grpo_family_7	7	risk_mag	0.9992
grpo_family_7	7	risk_csd	0.6991
grpo_family_7	7	risk_drift	0.9978
n2_subset_4	4	zvf_risk	0.6698
n2_subset_4	4	mean_zvf	0.9995
n2_subset_4	4	lag1_zvf_rolling_w15	0.7383
n2_subset_4	4	slope	0.9981
n2_subset_4	4	risk_mag	0.9996
n2_subset_4	4	risk_csd	0.7178
n2_subset_4	4	risk_drift	0.9989
grpo_family+es_8	8	zvf_risk	0.6835
grpo_family+es_8	8	mean_zvf	0.9989
grpo_family+es_8	8	lag1_zvf_rolling_w15	0.8127
grpo_family+es_8	8	slope	0.9966
grpo_family+es_8	8	risk_mag	0.9992
grpo_family+es_8	8	risk_csd	0.7557
grpo_family+es_8	8	risk_drift	0.9974
grpo_family+scafgrpo_8	8	zvf_risk	0.7472
grpo_family+scafgrpo_8	8	mean_zvf	0.9989
grpo_family+scafgrpo_8	8	lag1_zvf_rolling_w15	0.8018
grpo_family+scafgrpo_8	8	slope	0.9943
grpo_family+scafgrpo_8	8	risk_mag	0.9991
grpo_family+scafgrpo_8	8	risk_csd	0.7587
grpo_family+scafgrpo_8	8	risk_drift	0.9947
full_9	9	zvf_risk	0.763
full_9	9	mean_zvf	0.9989
full_9	9	lag1_zvf_rolling_w15	0.8222
full_9	9	slope	0.994
full_9	9	risk_mag	0.9991
full_9	9	risk_csd	0.7884
full_9	9	risk_drift	0.9943
