tau_esc	tau_des	n_seeds	fires_per_seed_mean	fires_per_seed_std	fires_per_seed_cv	fires_per_seed_ci_lo	fires_per_seed_ci_hi	savings_pct_mean	savings_pct_ci_lo	savings_pct_ci_hi	fire_set_jaccard_mean	fire_set_jaccard_min	per_step_full_agreement	wrong_fires_total	saturated_fires_total
0.3	1.01	5	14	1.549	0.111	12.4	15.0	-93.333	-100.0	-82.667	0.867	0.667	0.667	0	0
0.4	1.01	5	12.6	1.497	0.119	11.2	13.8	-84.0	-92.0	-74.667	0.726	0.571	0.467	0	0
0.5	1.01	5	12.6	1.497	0.119	11.2	13.8	-84.0	-92.0	-74.667	0.726	0.571	0.467	0	0
0.55	1.01	5	9	1.549	0.172	7.4	10.0	-60.0	-66.667	-49.333	0.402	0.231	0	0	0
0.6	1.01	5	9	1.549	0.172	7.4	10.0	-60.0	-66.667	-49.333	0.402	0.231	0	0	0
0.65	1.01	5	4.2	1.327	0.316	3.0	5.2	-28.0	-34.667	-20.0	0.133	0.0	0.133	0	0
0.7	1.01	5	4.2	1.327	0.316	3.0	5.2	-28.0	-34.667	-20.0	0.133	0.0	0.133	0	0
0.75	1.01	5	4.2	1.327	0.316	3.0	5.2	-28.0	-34.667	-20.0	0.133	0.0	0.133	0	0
0.8	1.01	5	0.6	0.8	1.333	0.0	1.4	-4.0	-9.333	0.0	0.3	0.0	0.8	0	0
0.85	1.01	5	0.6	0.8	1.333	0.0	1.4	-4.0	-9.333	0.0	0.3	0.0	0.8	0	0
0.9	1.01	5	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1	0	0
0.95	1.01	5	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1	0	0
