method	controller	step	zvf	pcd	step_rollouts	fired	saved	wasted	contrast_intent	contrast_magnitude
grpo	C1	14	0.75	0.041015625	70	0	4	12	4	2.7269897840937496
grpo	C1	15	0.75	0.0517578125	88	0	4	12	4	3.880817911362789
grpo	C1	16	0.625	0.07421875	124	0	6	10	6	5.301796734874673
grpo	C1	17	0.5	0.0859375	92	0	8	8	8	6.029870957006258
grpo	C1	18	0.5625	0.0947265625	148	0	7	9	7	6.697958258880748
grpo	C1	19	0.625	0.056640625	94	0	6	10	6	4.121571095190912
grpo	C1	20	0.625	0.072265625	96	0	6	10	6	5.292828101343934
grpo	C1	21	0.75	0.04296875	78	0	4	12	4	2.826063967462164
grpo	C1	22	0.75	0.0478515625	80	0	4	12	4	3.780720255112789
grpo	C1	23	0.875	0.0185546875	62	0	2	14	2	1.4035516647595494
grpo	C1	24	0.8125	0.0205078125	50	0	3	13	3	1.709081376478747
grpo	C1	25	0.5625	0.0771484375	106	0	7	9	7	5.697943746872339
grpo	C1	26	0.8125	0.025390625	64	0	3	13	3	1.8171258815095495
grpo	C1	27	0.9375	0.015625	46	0	1	15	1	0.9999695124218742
grpo	C1	28	0.8125	0.0283203125	64	0	3	13	3	1.8266062234810814
grpo	C1	29	0.8125	0.029296875	50	0	3	13	3	1.8271179459218743
grpo	C1	30	0.8125	0.025390625	50	0	3	13	3	1.81712586750955
grpo	C1	31	0.75	0.0322265625	56	0	4	12	4	2.608953200650622
grpo	C1	32	0.6875	0.060546875	74	0	5	11	5	4.212745121496708
grpo	C1	33	0.6875	0.046875	72	0	5	11	5	3.140052264402957
grpo	C1	34	0.875	0.0185546875	60	0	2	14	2	1.8719103449882977
grpo	C1	35	0.9375	0.01171875	66	0	1	15	1	0.8998718841718731
grpo	C1	36	0.8125	0.0283203125	64	0	3	13	3	1.8266062234810814
grpo	C1	37	0.75	0.0458984375	108	0	4	12	4	3.7717516775820474
grpo	C1	38	0.6875	0.0517578125	92	0	5	11	5	3.8065610275001847
grpo	C1	39	0.75	0.0478515625	94	0	4	12	4	3.7807202691127886
