tau_esc	tau_des	seed	total_G	savings	fire_rate	escalations	deescalations	headroom_bad
0.5	0.55	179	112	0.06666666666666667	0.9333333333333333	4	10	0
0.5	0.55	316	116	0.03333333333333333	0.8666666666666667	4	9	0
0.5	0.55	42	128	-0.06666666666666667	0.6666666666666666	4	6	0
0.5	0.55	453	112	0.06666666666666667	0.9333333333333333	4	10	0
0.5	0.55	590	96	0.2	0.8	2	10	0
0.5	0.6	179	112	0.06666666666666667	0.9333333333333333	4	10	0
0.5	0.6	316	116	0.03333333333333333	0.8666666666666667	4	9	0
0.5	0.6	42	128	-0.06666666666666667	0.6666666666666666	4	6	0
0.5	0.6	453	112	0.06666666666666667	0.9333333333333333	4	10	0
0.5	0.6	590	96	0.2	0.8	2	10	0
0.5	0.65	179	184	-0.5333333333333333	0.9333333333333333	10	4	0
0.5	0.65	316	176	-0.4666666666666667	0.8666666666666667	9	4	0
0.5	0.65	42	176	-0.4666666666666667	0.6666666666666666	8	2	0
0.5	0.65	453	160	-0.3333333333333333	0.9333333333333333	8	6	0
0.5	0.65	590	156	-0.3	0.8	7	5	0
0.5	0.7	179	184	-0.5333333333333333	0.9333333333333333	10	4	0
0.5	0.7	316	176	-0.4666666666666667	0.8666666666666667	9	4	0
0.5	0.7	42	176	-0.4666666666666667	0.6666666666666666	8	2	0
0.5	0.7	453	160	-0.3333333333333333	0.9333333333333333	8	6	0
0.5	0.7	590	156	-0.3	0.8	7	5	0
0.5	0.75	179	184	-0.5333333333333333	0.9333333333333333	10	4	0
0.5	0.75	316	176	-0.4666666666666667	0.8666666666666667	9	4	0
0.5	0.75	42	176	-0.4666666666666667	0.6666666666666666	8	2	0
0.5	0.75	453	160	-0.3333333333333333	0.9333333333333333	8	6	0
0.5	0.75	590	156	-0.3	0.8	7	5	0
0.55	0.6	179	80	0.3333333333333333	0.6666666666666666	0	10	0
0.55	0.6	316	84	0.3	0.6	0	9	0
0.55	0.6	42	96	0.2	0.4	0	6	0
0.55	0.6	453	80	0.3333333333333333	0.6666666666666666	0	10	0
0.55	0.6	590	80	0.3333333333333333	0.6666666666666666	0	10	0
0.55	0.65	179	152	-0.26666666666666666	0.6666666666666666	6	4	0
0.55	0.65	316	144	-0.2	0.6	5	4	0
0.55	0.65	42	144	-0.2	0.4	4	2	0
0.55	0.65	453	128	-0.06666666666666667	0.6666666666666666	4	6	0
0.55	0.65	590	140	-0.16666666666666666	0.6666666666666666	5	5	0
0.55	0.7	179	152	-0.26666666666666666	0.6666666666666666	6	4	0
0.55	0.7	316	144	-0.2	0.6	5	4	0
0.55	0.7	42	144	-0.2	0.4	4	2	0
0.55	0.7	453	128	-0.06666666666666667	0.6666666666666666	4	6	0
0.55	0.7	590	140	-0.16666666666666666	0.6666666666666666	5	5	0
0.55	0.75	179	152	-0.26666666666666666	0.6666666666666666	6	4	0
0.55	0.75	316	144	-0.2	0.6	5	4	0
0.55	0.75	42	144	-0.2	0.4	4	2	0
0.55	0.75	453	128	-0.06666666666666667	0.6666666666666666	4	6	0
0.55	0.75	590	140	-0.16666666666666666	0.6666666666666666	5	5	0
0.55	0.8	179	200	-0.6666666666666666	0.6666666666666666	10	0	0
0.55	0.8	316	192	-0.6	0.6	9	0	0
0.55	0.8	42	168	-0.4	0.4	6	0	0
0.55	0.8	453	188	-0.5666666666666667	0.6666666666666666	9	1	0
0.55	0.8	590	176	-0.4666666666666667	0.6666666666666666	8	2	0
0.6	0.65	179	152	-0.26666666666666666	0.6666666666666666	6	4	0
0.6	0.65	316	144	-0.2	0.6	5	4	0
0.6	0.65	42	144	-0.2	0.4	4	2	0
0.6	0.65	453	128	-0.06666666666666667	0.6666666666666666	4	6	0
0.6	0.65	590	140	-0.16666666666666666	0.6666666666666666	5	5	0
0.6	0.7	179	152	-0.26666666666666666	0.6666666666666666	6	4	0
0.6	0.7	316	144	-0.2	0.6	5	4	0
0.6	0.7	42	144	-0.2	0.4	4	2	0
0.6	0.7	453	128	-0.06666666666666667	0.6666666666666666	4	6	0
