rate_label	rho	model	n_boot	mean	ci_lo	ci_hi	excludes_zero	summary
release	10	XGB-20raw	400	0.001180	0.000000	0.003901	no	+0.00118 [+0.00000, +0.00390]
release	10	XGB-24full	400	0.000917	0.000000	0.002951	no	+0.00092 [+0.00000, +0.00295]
release	10	XGB-4sensor	400	0.002015	0.000000	0.005001	no	+0.00201 [+0.00000, +0.00500]
release	50	XGB-20raw	400	0.000627	0.000000	0.005351	no	+0.00063 [+0.00000, +0.00535]
release	50	XGB-24full	400	0.003706	0.000000	0.008501	no	+0.00371 [+0.00000, +0.00850]
release	50	XGB-4sensor	400	0.004182	0.000000	0.018660	no	+0.00418 [+0.00000, +0.01866]
release	100	XGB-20raw	400	0.008688	0.000000	0.028015	no	+0.00869 [+0.00000, +0.02801]
release	100	XGB-24full	400	0.002380	0.000000	0.014102	no	+0.00238 [+0.00000, +0.01410]
release	100	XGB-4sensor	400	0.006958	0.000000	0.034272	no	+0.00696 [+0.00000, +0.03427]
release	200	XGB-20raw	400	0.001904	0.000000	0.019314	no	+0.00190 [+0.00000, +0.01931]
release	200	XGB-24full	400	0.004688	0.000000	0.027711	no	+0.00469 [+0.00000, +0.02771]
release	200	XGB-4sensor	400	0.020105	0.000000	0.085886	no	+0.02010 [+0.00000, +0.08589]
release	500	XGB-20raw	400	0.007210	0.000000	0.049700	no	+0.00721 [+0.00000, +0.04970]
release	500	XGB-24full	400	0.017981	0.000000	0.078874	no	+0.01798 [+0.00000, +0.07887]
release	500	XGB-4sensor	400	0.003574	0.000000	0.051952	no	+0.00357 [+0.00000, +0.05195]
1.00%	10	XGB-20raw	400	0.001112	0.000000	0.003316	no	+0.00111 [+0.00000, +0.00332]
1.00%	10	XGB-24full	400	0.000464	0.000000	0.001205	no	+0.00046 [+0.00000, +0.00121]
1.00%	10	XGB-4sensor	400	0.002397	0.000000	0.005826	no	+0.00240 [+0.00000, +0.00583]
1.00%	50	XGB-20raw	400	0.000633	0.000000	0.004421	no	+0.00063 [+0.00000, +0.00442]
1.00%	50	XGB-24full	400	0.001417	0.000000	0.009050	no	+0.00142 [+0.00000, +0.00905]
1.00%	50	XGB-4sensor	400	0.008197	0.000000	0.023756	no	+0.00820 [+0.00000, +0.02376]
1.00%	100	XGB-20raw	400	0.002186	0.000000	0.013422	no	+0.00219 [+0.00000, +0.01342]
1.00%	100	XGB-24full	400	0.012119	0.000000	0.034163	no	+0.01212 [+0.00000, +0.03416]
1.00%	100	XGB-4sensor	400	0.016593	0.000000	0.063174	no	+0.01659 [+0.00000, +0.06317]
1.00%	200	XGB-20raw	400	0.024423	0.000000	0.084489	no	+0.02442 [+0.00000, +0.08449]
1.00%	200	XGB-24full	400	0.036822	0.000000	0.096522	no	+0.03682 [+0.00000, +0.09652]
1.00%	200	XGB-4sensor	400	0.000636	0.000000	0.004983	no	+0.00064 [+0.00000, +0.00498]
1.00%	500	XGB-20raw	400	0.206022	0.051721	0.380790	yes	+0.20602 [+0.05172, +0.38079]
1.00%	500	XGB-24full	400	0.135728	0.005824	0.307473	yes	+0.13573 [+0.00582, +0.30747]
1.00%	500	XGB-4sensor	400	0.094464	0.000000	0.248449	no	+0.09446 [+0.00000, +0.24845]
0.50%	10	XGB-20raw	400	0.000687	0.000000	0.002475	no	+0.00069 [+0.00000, +0.00247]
0.50%	10	XGB-24full	400	0.000417	0.000101	0.001363	yes	+0.00042 [+0.00010, +0.00136]
0.50%	10	XGB-4sensor	400	0.002566	0.000555	0.004645	yes	+0.00257 [+0.00056, +0.00464]
0.50%	50	XGB-20raw	400	0.009562	0.001413	0.021199	yes	+0.00956 [+0.00141, +0.02120]
0.50%	50	XGB-24full	400	0.005950	0.000606	0.016423	yes	+0.00595 [+0.00061, +0.01642]
0.50%	50	XGB-4sensor	400	0.003480	0.000000	0.012118	no	+0.00348 [+0.00000, +0.01212]
0.50%	100	XGB-20raw	400	0.027272	0.006545	0.056642	yes	+0.02727 [+0.00655, +0.05664]
0.50%	100	XGB-24full	400	0.015640	0.000000	0.038136	no	+0.01564 [+0.00000, +0.03814]
0.50%	100	XGB-4sensor	400	0.010248	0.000000	0.027208	no	+0.01025 [+0.00000, +0.02721]
0.50%	200	XGB-20raw	400	0.035713	0.001765	0.086112	yes	+0.03571 [+0.00177, +0.08611]
0.50%	200	XGB-24full	400	0.050174	0.009435	0.103475	yes	+0.05017 [+0.00943, +0.10348]
0.50%	200	XGB-4sensor	400	0.012248	0.000000	0.065657	no	+0.01225 [+0.00000, +0.06566]
0.50%	500	XGB-20raw	400	0.116212	0.009032	0.237332	yes	+0.11621 [+0.00903, +0.23733]
0.50%	500	XGB-24full	400	0.179389	0.051432	0.329852	yes	+0.17939 [+0.05143, +0.32985]
0.50%	500	XGB-4sensor	400	0.000567	0.000000	0.003131	no	+0.00057 [+0.00000, +0.00313]
0.10%	10	XGB-20raw	400	0.000013	0.000000	0.000101	no	+0.00001 [+0.00000, +0.00010]
0.10%	10	XGB-24full	400	0.000000	0.000000	0.000000	no	+0.00000 [+0.00000, +0.00000]
0.10%	10	XGB-4sensor	400	0.000342	0.000100	0.000659	yes	+0.00034 [+0.00010, +0.00066]
0.10%	50	XGB-20raw	400	0.001221	0.000000	0.005829	no	+0.00122 [+0.00000, +0.00583]
0.10%	50	XGB-24full	400	0.000000	0.000000	0.000000	no	+0.00000 [+0.00000, +0.00000]
0.10%	50	XGB-4sensor	400	0.003118	0.002431	0.003853	yes	+0.00312 [+0.00243, +0.00385]
0.10%	100	XGB-20raw	400	0.004071	0.000000	0.013635	no	+0.00407 [+0.00000, +0.01364]
0.10%	100	XGB-24full	400	0.000000	0.000000	0.000000	no	+0.00000 [+0.00000, +0.00000]
0.10%	100	XGB-4sensor	400	0.003079	0.002331	0.003852	yes	+0.00308 [+0.00233, +0.00385]
0.10%	200	XGB-20raw	400	0.008424	0.000000	0.029091	no	+0.00842 [+0.00000, +0.02909]
0.10%	200	XGB-24full	400	0.000000	0.000000	0.000000	no	+0.00000 [+0.00000, +0.00000]
0.10%	200	XGB-4sensor	400	0.003078	0.002279	0.003902	yes	+0.00308 [+0.00228, +0.00390]
0.10%	500	XGB-20raw	400	0.025484	0.000000	0.074500	no	+0.02548 [+0.00000, +0.07450]
0.10%	500	XGB-24full	400	0.000000	0.000000	0.000000	no	+0.00000 [+0.00000, +0.00000]
0.10%	500	XGB-4sensor	400	0.016907	0.015101	0.018499	yes	+0.01691 [+0.01510, +0.01850]
0.05%	10	XGB-20raw	400	0.000000	0.000000	0.000000	no	+0.00000 [+0.00000, +0.00000]
0.05%	10	XGB-24full	400	0.000000	0.000000	0.000000	no	+0.00000 [+0.00000, +0.00000]
0.05%	10	XGB-4sensor	400	0.000054	0.000000	0.000152	no	+0.00005 [+0.00000, +0.00015]
0.05%	50	XGB-20raw	400	0.000000	0.000000	0.000000	no	+0.00000 [+0.00000, +0.00000]
0.05%	50	XGB-24full	400	0.000000	0.000000	0.000000	no	+0.00000 [+0.00000, +0.00000]
0.05%	50	XGB-4sensor	400	0.000207	0.000051	0.000456	yes	+0.00021 [+0.00005, +0.00046]
0.05%	100	XGB-20raw	400	0.000000	0.000000	0.000000	no	+0.00000 [+0.00000, +0.00000]
0.05%	100	XGB-24full	400	0.000000	0.000000	0.000000	no	+0.00000 [+0.00000, +0.00000]
0.05%	100	XGB-4sensor	400	0.002016	0.001470	0.002586	yes	+0.00202 [+0.00147, +0.00259]
0.05%	200	XGB-20raw	400	0.000000	0.000000	0.000000	no	+0.00000 [+0.00000, +0.00000]
0.05%	200	XGB-24full	400	0.000000	0.000000	0.000000	no	+0.00000 [+0.00000, +0.00000]
0.05%	200	XGB-4sensor	400	0.002009	0.001420	0.002637	yes	+0.00201 [+0.00142, +0.00264]
0.05%	500	XGB-20raw	400	0.000000	0.000000	0.000000	no	+0.00000 [+0.00000, +0.00000]
0.05%	500	XGB-24full	400	0.000000	0.000000	0.000000	no	+0.00000 [+0.00000, +0.00000]
0.05%	500	XGB-4sensor	400	0.006523	0.005323	0.007658	yes	+0.00652 [+0.00532, +0.00766]
