cohort	rule	n_test	n_pos	auc	recall_at_K2	n_caught_at_K2	n_llm_calls	cost_per_decision	cost_per_fraud_caught
Q0	xgb-only	2500	25	0.99979	1	25	0	0.0001	0.01
Q0	gradient-band	2500	25	0.999774	1	25	88	0.00013168	0.013168
Q0	absolute-band	2500	25	0.99979	1	25	1	0.00010036	0.010036
Q1	xgb-only	2500	42	0.999516	0.952381	40	0	0.0001	0.00625
Q1	gradient-band	2500	42	0.999458	0.952381	40	51	0.00011836	0.0073975
Q1	absolute-band	2500	42	0.999516	0.952381	40	5	0.0001018	0.0063625
Q2	xgb-only	2500	50	0.999763	0.96	48	0	0.0001	0.00520833
Q2	gradient-band	2500	50	0.999763	0.96	48	55	0.0001198	0.00623958
Q2	absolute-band	2500	50	0.999763	0.96	48	12	0.00010432	0.00543333
Q3	xgb-only	2500	27	0.999985	1	27	0	0.0001	0.00925926
Q3	gradient-band	2500	27	0.999985	1	27	79	0.00012844	0.0118926
Q3	absolute-band	2500	27	0.999985	1	27	3	0.00010108	0.00935926
ALL	xgb-only	10000	144	0.99976	0.979167	141	0	0.0001	0.0070922
ALL	gradient-band	10000	144	0.999773	0.979167	141	9	0.00010081	0.00714965
ALL	absolute-band	10000	144	0.999759	0.979167	141	21	0.00010189	0.00722624
