controller	mean_savings	ci_lo	ci_hi	cross_method_sd	ci_excludes_zero	n_methods
C0	0.0	0.0	0.0	0.0	0	4
C1	0.34345703125	0.3248046875	0.36611328125	0.02229708406688511	1	4
C2_zt@0.5	-1.0	-1.0	-1.0	0.0	1	4
C3_ucc@0.5	0.0923828125	0.076171875	0.11738281249999999	0.022449045765059118	1	4
C4_ucg@0.5	0.34345703125	0.3248046875	0.36611328125	0.02229708406688511	1	4
C2_zt@0.6	-0.86875	-0.90625	-0.8374999999999999	0.036975498644372634	1	4
C3_ucc@0.6	0.12626953125	0.109375	0.14423828125	0.016612760469735446	1	4
C4_ucg@0.6	0.34345703125	0.3248046875	0.36611328125	0.02229708406688511	1	4
C2_zt@0.7	-0.5125	-0.60625	-0.44375	0.08385254915624213	1	4
C3_ucc@0.7	0.2169921875	0.20634765624999998	0.2244140625	0.009860863719815892	1	4
C4_ucg@0.7	0.34345703125	0.3248046875	0.36611328125	0.02229708406688511	1	4
C2_zt@0.8	-0.3375	-0.39375	-0.2875	0.05728219618694799	1	4
C3_ucc@0.8	0.26005859375	0.241015625	0.27490234375	0.017967423099784788	1	4
C4_ucg@0.8	0.34345703125	0.3248046875	0.36611328125	0.02229708406688511	1	4
C2_zt@0.9	-0.07500000000000001	-0.15625	-0.025	0.07288689868556626	1	4
C3_ucc@0.9	0.3259765625	0.3189453125	0.3330078125	0.007152278681093968	1	4
C4_ucg@0.9	0.34345703125	0.3248046875	0.36611328125	0.02229708406688511	1	4
