id	row_idx	metric	panel	before	after
delta_aero	3	mean_zvf	zvf130_5seed	bootstrap_paired_5seed	"{""method"": ""bootstrap_paired_5seed"", ""n_boot"": 5000, ""seed"": 20260705, ""ci_level"": 0.95, ""source"": ""scripts/p5p8/p6_iter130_patch_stale_mag.py""}"
delta_areal	3	mean_zvf	zvf130_5seed	bootstrap_paired_5seed	"{""method"": ""bootstrap_paired_5seed"", ""n_boot"": 5000, ""seed"": 20260705, ""ci_level"": 0.95, ""source"": ""scripts/p5p8/p6_iter130_patch_stale_mag.py""}"
delta_cppo	1	mean_zvf	zvf130_5seed	bootstrap_paired_5seed	"{""method"": ""bootstrap_paired_5seed"", ""n_boot"": 5000, ""seed"": 20260705, ""ci_level"": 0.95, ""source"": ""scripts/p5p8/p6_iter130_patch_stale_mag.py""}"
delta_es	1	mean_zvf	zvf130_5seed	bootstrap_paired_5seed	"{""method"": ""bootstrap_paired_5seed"", ""n_boot"": 5000, ""seed"": 20260705, ""ci_level"": 0.95, ""source"": ""scripts/p5p8/p6_iter130_patch_stale_mag.py""}"
delta_gift	3	mean_zvf	zvf130_5seed	bootstrap_paired_5seed	"{""method"": ""bootstrap_paired_5seed"", ""n_boot"": 5000, ""seed"": 20260705, ""ci_level"": 0.95, ""source"": ""scripts/p5p8/p6_iter130_patch_stale_mag.py""}"
delta_mcgrpo	1	mean_zvf	zvf130_5seed	bootstrap_paired_5seed	"{""method"": ""bootstrap_paired_5seed"", ""n_boot"": 5000, ""seed"": 20260705, ""ci_level"": 0.95, ""source"": ""scripts/p5p8/p6_iter130_patch_stale_mag.py""}"
delta_ngrpo	1	mean_zvf	zvf130_5seed	bootstrap_paired_5seed	"{""method"": ""bootstrap_paired_5seed"", ""n_boot"": 5000, ""seed"": 20260705, ""ci_level"": 0.95, ""source"": ""scripts/p5p8/p6_iter130_patch_stale_mag.py""}"
delta_scafgrpo	1	mean_zvf	zvf130_5seed	bootstrap_paired_5seed	"{""method"": ""bootstrap_paired_5seed"", ""n_boot"": 5000, ""seed"": 20260705, ""ci_level"": 0.95, ""source"": ""scripts/p5p8/p6_iter130_patch_stale_mag.py""}"
