cohort	n_test	n_pos	cpf_gb	cpf_ab	cpf_xgb	ratio_gb_vs_xgb	ratio_ab_vs_xgb	n_llm_gb	n_llm_ab
Q0	2500	25	0.013168	0.010036	0.01	1.3168	1.0036	88	1
Q1	2500	42	0.0073975	0.0063625	0.00625	1.1836	1.018	51	5
Q2	2500	50	0.00623958	0.00543333	0.00520833	1.198	1.0432	55	12
Q3	2500	27	0.0118926	0.00935926	0.00925926	1.2844	1.0108	79	3
