method	n_cells	n_stable	density	wilson_lo	wilson_hi
grpo	640	0	0.0	0.0	0.0029833424867234427
aero	640	0	0.0	0.0	0.0029833424867234427
gift	640	0	0.0	0.0	0.0029833424867234427
areal	640	0	0.0	0.0	0.0029833424867234427
