method	n_prompts	n_boundary	n_contrast	mean_gn_optimal	mean_gn_optimal_contrast	mean_restored_static	mean_restored_optimal	mean_savings_frac	savings_frac_boot_lo	savings_frac_boot_hi	mean_savings_rollouts	savings_rollouts_boot_lo	savings_rollouts_boot_hi	n_pareto_dominates_static	frac_pareto_dominates	h4_monotone_dec_slope
grpo	320	258	62	8.775	12.0	0.0259340513682792	0.01717741835227571	0.4515625	0.440625	0.46171875	7.225	7.05	7.3875	258	0.80625	PASS
aero	304	247	57	8.75	12.0	0.023162252667015576	0.0154909718137213	0.453125	0.44161184210526316	0.46381578947368424	7.25	7.065789473684211	7.421052631578948	247	0.8125	PASS
gift	416	352	64	8.615384615384615	12.0	0.01591326861699323	0.010692101855756145	0.46153846153846156	0.45252403846153844	0.47055288461538464	7.384615384615385	7.240384615384615	7.528846153846154	352	0.8461538461538461	PASS
areal	272	221	51	8.75	12.0	0.022195531173725153	0.014869838593286284	0.453125	0.4411764705882353	0.4641544117647059	7.25	7.0588235294117645	7.426470588235294	221	0.8125	PASS
