leaf	n_nonnull	n_total	nonnull_rate	null_rate	red_flag
decontamination.parser_robustness_probe	4	20	0.2000	0.8000	YES
decontamination.performed	4	20	0.2000	0.8000	YES
loss_form.token_mask	4	20	0.2000	0.8000	YES
loss_form.clip_eps_high	5	20	0.2500	0.7500	YES
loss_form.clip_eps_low	5	20	0.2500	0.7500	YES
loss_form.length_normalization	5	20	0.2500	0.7500	YES
reference_kl.kl_beta	7	20	0.3500	0.6500	YES
reference_kl.kl_estimator	7	20	0.3500	0.6500	YES
loss_form.advantage_normalization	8	20	0.4000	0.6000	YES
group_size_schedule.initial_g	11	20	0.5500	0.4500	no
loss_form.importance_ratio_level	11	20	0.5500	0.4500	no
group_size_schedule.adaptation_rule	15	20	0.7500	0.2500	no
group_size_schedule.schedule	15	20	0.7500	0.2500	no
reference_kl.reference_policy	15	20	0.7500	0.2500	no
sampler_backend.precision	16	20	0.8000	0.2000	no
telemetry.per_step_gu	18	20	0.9000	0.1000	no
telemetry.per_step_zvf	18	20	0.9000	0.1000	no
telemetry.source	18	20	0.9000	0.1000	no
heldout_split.description	20	20	1.0000	0.0000	no
heldout_split.disjoint_from_reward_env	20	20	1.0000	0.0000	no
loss_form.reward_shaping_type	3	3	1.0000	0.0000	no
loss_form.sampling_dynamic_filter	2	2	1.0000	0.0000	no
loss_form.token_aggregation	3	3	1.0000	0.0000	no
sampler_backend.backend	20	20	1.0000	0.0000	no
sampler_backend.temperature	20	20	1.0000	0.0000	no
sampler_backend.top_p	20	20	1.0000	0.0000	no
