scope	key	n_total	implemented	surrogate	absent	unknown	managed_by_tinker	reproducible_fraction
corpus	ALL	26	10	4	3	9	0	0.5385
framework	colab-open-trainer	8	7	0	1	0	0	0.8750
framework	tinker	12	3	4	2	3	0	0.5833
framework	worktree-zvf130-batch	6	0	0	0	6	0	0.0000
openness	managed	12	3	4	2	3	0	0.5833
openness	open	14	7	0	1	6	0	0.5000
delta_id	delta_adaptiveg	1	1	0	0	0	0	1.0000
delta_id	delta_aero	1	1	0	0	0	0	1.0000
delta_id	delta_areal	1	1	0	0	0	0	1.0000
delta_id	delta_cppo	1	0	0	0	1	0	0.0000
delta_id	delta_dapo	10	4	1	3	2	0	0.5000
delta_id	delta_drgrpo	4	2	2	0	0	0	1.0000
delta_id	delta_es	1	0	0	0	1	0	0.0000
delta_id	delta_gift	1	1	0	0	0	0	1.0000
delta_id	delta_gspo	2	0	1	0	1	0	0.5000
delta_id	delta_mcgrpo	2	0	0	0	2	0	0.0000
delta_id	delta_ngrpo	1	0	0	0	1	0	0.0000
delta_id	delta_scafgrpo	1	0	0	0	1	0	0.0000
