rule	tau	n_seeds	nb_mean	nb_ci_lo	nb_ci_hi	nb_ci_excludes_zero
STATIC_G16	0.55	5	-0.175625	-0.199167	-0.1425	0
DUALFORMER_d4	0.55	5	-0.175625	-0.199167	-0.1425	0
DUALFORMER_d8	0.55	5	-0.175625	-0.199167	-0.1425	0
ADAPTIVE_GSTAR	0.55	5	-0.459682	-0.606864	-0.3125	0
STATIC_G16	0.65	5	-0.090625	-0.114583	-0.0645833	0
DUALFORMER_d4	0.65	5	-0.090625	-0.114583	-0.0645833	0
DUALFORMER_d8	0.65	5	-0.090625	-0.114583	-0.0645833	0
ADAPTIVE_GSTAR	0.65	5	-0.374682	-0.521864	-0.2275	0
STATIC_G16	0.7	5	-0.090625	-0.114583	-0.0645833	0
DUALFORMER_d4	0.7	5	-0.090625	-0.114583	-0.0645833	0
DUALFORMER_d8	0.7	5	-0.090625	-0.114583	-0.0645833	0
ADAPTIVE_GSTAR	0.7	5	-0.374682	-0.521864	-0.2275	0
