method	n_steps	mean_eta	mean_dH	mean_bpr
grpo	40	0.925833	0.389875	0.048734
aero	40	0.926537	0.390062	0.048758
gift	40	0.926369	0.388164	0.048521
areal	40	0.926511	0.390345	0.048793
