category,mutation_idx,n,mean_caught
drop_top_required,0,31,1.0
drop_top_required,1,31,1.0
drop_top_required,2,31,1.0
drop_top_required,3,31,1.0
drop_top_required,4,31,1.0
drop_top_required,5,31,1.0
drop_top_required,6,31,1.0
drop_top_required,7,31,1.0
drop_top_required,8,31,1.0
drop_top_required,9,31,1.0
wrong_type_record_type,0,31,1.0
wrong_type_record_type,1,31,1.0
wrong_type_record_type,2,31,1.0
wrong_type_record_type,3,31,1.0
wrong_type_record_type,4,31,1.0
wrong_type_record_type,5,31,1.0
wrong_type_record_type,6,31,1.0
wrong_type_record_type,7,31,1.0
wrong_type_record_type,8,31,1.0
wrong_type_record_type,9,31,1.0
wrong_type_id,0,31,1.0
wrong_type_id,1,31,1.0
wrong_type_id,2,31,1.0
wrong_type_id,3,31,1.0
wrong_type_id,4,31,1.0
wrong_type_id,5,31,1.0
wrong_type_id,6,31,1.0
wrong_type_id,7,31,1.0
wrong_type_id,8,31,1.0
wrong_type_id,9,31,1.0
bad_id_pattern,0,31,1.0
bad_id_pattern,1,31,1.0
bad_id_pattern,2,31,1.0
bad_id_pattern,3,31,1.0
bad_id_pattern,4,31,1.0
bad_id_pattern,5,31,1.0
bad_id_pattern,6,31,1.0
bad_id_pattern,7,31,1.0
bad_id_pattern,8,31,1.0
bad_id_pattern,9,31,1.0
bad_framework_openness,0,20,1.0
bad_framework_openness,1,20,1.0
bad_framework_openness,2,20,1.0
bad_framework_openness,3,20,1.0
bad_framework_openness,4,20,1.0
bad_framework_openness,5,20,1.0
bad_framework_openness,6,20,1.0
bad_framework_openness,7,20,1.0
bad_framework_openness,8,20,1.0
bad_framework_openness,9,20,1.0
bad_delta_status_enum,0,13,1.0
bad_delta_status_enum,1,13,1.0
bad_delta_status_enum,2,13,1.0
bad_delta_status_enum,3,13,1.0
bad_delta_status_enum,4,13,1.0
bad_delta_status_enum,5,13,1.0
bad_delta_status_enum,6,13,1.0
bad_delta_status_enum,7,13,1.0
bad_delta_status_enum,8,13,1.0
bad_delta_status_enum,9,13,1.0
bad_loss_advantage_enum,0,20,1.0
bad_loss_advantage_enum,1,20,1.0
bad_loss_advantage_enum,2,20,1.0
bad_loss_advantage_enum,3,20,1.0
bad_loss_advantage_enum,4,20,1.0
bad_loss_advantage_enum,5,20,1.0
bad_loss_advantage_enum,6,20,1.0
bad_loss_advantage_enum,7,20,1.0
bad_loss_advantage_enum,8,20,1.0
bad_loss_advantage_enum,9,20,1.0
additional_top_level,0,31,1.0
additional_top_level,1,31,1.0
additional_top_level,2,31,1.0
additional_top_level,3,31,1.0
additional_top_level,4,31,1.0
additional_top_level,5,31,1.0
additional_top_level,6,31,1.0
additional_top_level,7,31,1.0
additional_top_level,8,31,1.0
additional_top_level,9,31,1.0
drop_min_report_leaf,0,20,1.0
drop_min_report_leaf,1,20,1.0
drop_min_report_leaf,2,20,1.0
drop_min_report_leaf,3,20,1.0
drop_min_report_leaf,4,20,1.0
drop_min_report_leaf,5,20,1.0
drop_min_report_leaf,6,20,1.0
drop_min_report_leaf,7,20,1.0
drop_min_report_leaf,8,20,1.0
drop_min_report_leaf,9,20,1.0
wrong_type_min_report,0,31,1.0
wrong_type_min_report,1,31,1.0
wrong_type_min_report,2,31,1.0
wrong_type_min_report,3,31,1.0
wrong_type_min_report,4,31,1.0
wrong_type_min_report,5,31,1.0
wrong_type_min_report,6,31,1.0
wrong_type_min_report,7,31,1.0
wrong_type_min_report,8,31,1.0
wrong_type_min_report,9,31,1.0
drop_provenance_source_artifacts,0,20,1.0
drop_provenance_source_artifacts,1,20,1.0
drop_provenance_source_artifacts,2,20,1.0
drop_provenance_source_artifacts,3,20,1.0
drop_provenance_source_artifacts,4,20,1.0
drop_provenance_source_artifacts,5,20,1.0
drop_provenance_source_artifacts,6,20,1.0
drop_provenance_source_artifacts,7,20,1.0
drop_provenance_source_artifacts,8,20,1.0
drop_provenance_source_artifacts,9,20,1.0
broken_delta_ref,0,13,1.0
broken_delta_ref,1,13,1.0
broken_delta_ref,2,13,1.0
broken_delta_ref,3,13,1.0
broken_delta_ref,4,13,1.0
broken_delta_ref,5,13,1.0
broken_delta_ref,6,13,1.0
broken_delta_ref,7,13,1.0
broken_delta_ref,8,13,1.0
broken_delta_ref,9,13,1.0
wrong_type_outcomes,0,31,1.0
wrong_type_outcomes,1,31,1.0
wrong_type_outcomes,2,31,1.0
wrong_type_outcomes,3,31,1.0
wrong_type_outcomes,4,31,1.0
wrong_type_outcomes,5,31,1.0
wrong_type_outcomes,6,31,1.0
wrong_type_outcomes,7,31,1.0
wrong_type_outcomes,8,31,1.0
wrong_type_outcomes,9,31,1.0
