method	step	group_size	reward_mean	zvf_obs	zvf_iid	delta_div	y_obs	y_iid	p_mean
aero	35	8	0.820312	0.8125	0.840722	0.028222	0.1875	0.159278	0.820312
aero	36	8	0.898438	0.8125	0.846492	0.033992	0.1875	0.153508	0.898438
aero	37	8	0.703125	0.6875	0.753895	0.066395	0.3125	0.246105	0.703125
aero	38	8	0.804688	0.6875	0.752903	0.065403	0.3125	0.247097	0.804688
aero	39	8	0.765625	0.625	0.733857	0.108857	0.375	0.266143	0.765625
areal	0	8	0.859375	0.6875	0.739668	0.052168	0.3125	0.260332	0.859375
areal	1	8	0.851562	0.5	0.578408	0.078408	0.5	0.421592	0.851562
areal	2	8	0.8125	0.6875	0.773891	0.086391	0.3125	0.226109	0.8125
areal	3	8	0.742188	0.6875	0.724451	0.036951	0.3125	0.275549	0.742188
areal	4	8	0.828125	0.5	0.6356	0.1356	0.5	0.3644	0.828125
areal	5	8	0.65625	0.75	0.79591	0.04591	0.25	0.20409	0.65625
areal	6	8	0.820312	0.6875	0.754886	0.067386	0.3125	0.245114	0.820312
areal	7	8	0.75	0.875	0.917951	0.042951	0.125	0.082049	0.75
areal	8	8	0.75	0.625	0.677657	0.052657	0.375	0.322343	0.75
areal	9	8	0.859375	0.6875	0.719672	0.032172	0.3125	0.280328	0.859375
areal	10	8	0.882812	0.6875	0.774882	0.087382	0.3125	0.225118	0.882812
areal	11	8	0.734375	0.5	0.601378	0.101378	0.5	0.398622	0.734375
areal	12	8	0.914062	0.8125	0.816939	0.004439	0.1875	0.183061	0.914062
areal	13	8	0.71875	0.5625	0.587193	0.024693	0.4375	0.412807	0.71875
areal	14	8	0.890625	0.6875	0.743455	0.055955	0.3125	0.256545	0.890625
areal	15	8	0.835938	0.6875	0.774882	0.087382	0.3125	0.225118	0.835938
areal	16	8	0.75	0.625	0.703422	0.078422	0.375	0.296578	0.75
areal	17	8	0.789062	0.5	0.574621	0.074621	0.5	0.425379	0.789062
areal	18	8	0.664062	0.5625	0.636632	0.074132	0.4375	0.363368	0.664062
areal	19	8	0.75	0.75	0.763493	0.013493	0.25	0.236507	0.75
areal	20	8	0.84375	0.6875	0.701481	0.013981	0.3125	0.298519	0.84375
areal	21	8	0.84375	0.6875	0.773891	0.086391	0.3125	0.226109	0.84375
areal	22	8	0.90625	0.8125	0.855939	0.043439	0.1875	0.144061	0.90625
areal	23	8	0.875	0.8125	0.841713	0.029213	0.1875	0.158287	0.875
areal	24	8	0.929688	0.875	0.902734	0.027734	0.125	0.097266	0.929688
areal	25	8	0.828125	0.625	0.643435	0.018435	0.375	0.356565	0.828125
areal	26	8	0.835938	0.875	0.882738	0.007738	0.125	0.117262	0.835938
areal	27	8	0.953125	0.9375	0.943758	0.006258	0.0625	0.056242	0.953125
areal	28	8	0.90625	0.875	0.897955	0.022955	0.125	0.102045	0.90625
areal	29	8	0.953125	0.8125	0.855939	0.043439	0.1875	0.144061	0.953125
areal	30	8	0.914062	0.75	0.800689	0.050689	0.25	0.199311	0.914062
areal	31	8	0.875	0.5625	0.697611	0.135111	0.4375	0.302389	0.875
areal	32	8	0.898438	0.75	0.780693	0.030693	0.25	0.219307	0.898438
areal	33	8	0.875	0.625	0.697653	0.072653	0.375	0.302347	0.875
areal	34	8	0.859375	0.6875	0.77966	0.09216	0.3125	0.22034	0.859375
areal	35	8	0.84375	0.8125	0.861709	0.049209	0.1875	0.138291	0.84375
areal	36	8	0.898438	0.75	0.800689	0.050689	0.25	0.199311	0.898438
areal	37	8	0.671875	0.6875	0.737686	0.050186	0.3125	0.262314	0.671875
areal	38	8	0.78125	0.8125	0.841713	0.029213	0.1875	0.158287	0.78125
areal	39	8	0.796875	0.75	0.785471	0.035471	0.25	0.214529	0.796875
gift	0	8	0.820312	0.75	0.764484	0.014484	0.25	0.235516	0.820312
gift	1	8	0.804688	0.5625	0.640419	0.077919	0.4375	0.359581	0.804688
gift	2	8	0.851562	0.6875	0.794878	0.107378	0.3125	0.205122	0.851562
gift	3	8	0.757812	0.5625	0.651959	0.089459	0.4375	0.348041	0.757812
gift	4	8	0.867188	0.6875	0.744447	0.056947	0.3125	0.255553	0.867188
gift	5	8	0.625	0.625	0.733857	0.108857	0.375	0.266143	0.625
gift	6	8	0.789062	0.75	0.780693	0.030693	0.25	0.219307	0.789062
gift	7	8	0.726562	0.6875	0.764443	0.076943	0.3125	0.235557	0.726562
gift	8	8	0.710938	0.625	0.682435	0.057435	0.375	0.317565	0.710938
gift	9	8	0.882812	0.625	0.71864	0.09364	0.375	0.28136	0.882812
gift	10	8	0.882812	0.75	0.814915	0.064915	0.25	0.185085	0.882812
gift	11	8	0.757812	0.625	0.671996	0.046996	0.375	0.328004	0.757812
gift	12	8	0.9375	0.75	0.785471	0.035471	0.25	0.214529	0.9375
gift	13	8	0.710938	0.5625	0.600427	0.037927	0.4375	0.399573	0.710938
gift	14	8	0.9375	0.8125	0.835943	0.023443	0.1875	0.164057	0.9375
gift	15	8	0.84375	0.625	0.697653	0.072653	0.375	0.302347	0.84375
gift	16	8	0.742188	0.625	0.688205	0.063205	0.375	0.311795	0.742188
gift	17	8	0.8125	0.75	0.751953	0.001953	0.25	0.248047	0.8125
gift	18	8	0.703125	0.625	0.677657	0.052657	0.375	0.322343	0.703125
gift	19	8	0.84375	0.75	0.799697	0.049697	0.25	0.200303	0.84375
gift	20	8	0.828125	0.6875	0.737686	0.050186	0.3125	0.262314	0.828125
gift	21	8	0.867188	0.75	0.780693	0.030693	0.25	0.219307	0.867188
gift	22	8	0.890625	0.875	0.897955	0.022955	0.125	0.102045	0.890625
gift	23	8	0.890625	0.875	0.897955	0.022955	0.125	0.102045	0.890625
gift	24	8	0.9375	0.875	0.917951	0.042951	0.125	0.082049	0.9375
gift	25	8	0.851562	0.75	0.764484	0.014484	0.25	0.235516	0.851562
gift	26	8	0.898438	0.8125	0.856931	0.044431	0.1875	0.143069	0.898438
gift	27	8	0.953125	0.9375	0.943758	0.006258	0.0625	0.056242	0.953125
gift	28	8	0.929688	0.875	0.902734	0.027734	0.125	0.097266	0.929688
gift	29	8	0.960938	0.9375	0.93898	0.00148	0.0625	0.06102	0.960938
gift	30	8	0.921875	0.875	0.881746	0.006746	0.125	0.118254	0.921875
gift	31	8	0.929688	0.9375	0.958976	0.021476	0.0625	0.041024	0.929688
gift	32	8	0.84375	0.75	0.79591	0.04591	0.25	0.20409	0.84375
gift	33	8	0.929688	0.9375	0.958976	0.021476	0.0625	0.041024	0.929688
gift	34	8	0.9375	1.0	1.0	0.0	0.0	0.0	0.9375
gift	35	8	0.820312	0.9375	0.958976	0.021476	0.0625	0.041024	0.820312
gift	36	8	0.90625	0.9375	0.937988	0.000488	0.0625	0.062012	0.90625
gift	37	8	0.78125	0.875	0.897955	0.022955	0.125	0.102045	0.78125
gift	38	8	0.835938	0.9375	0.93898	0.00148	0.0625	0.06102	0.835938
gift	39	8	0.867188	0.8125	0.820726	0.008226	0.1875	0.179274	0.867188
