seed	rate_pct	fset	cheap_cost	frontier_cost	monotone_in_tier_price	ratio_frontier_over_cheap
20260706	1.44	24full	0.00999	2.997	True	299.99999999999994
20260708	1.44	24full	0.009255555555555557	2.776666666666667	True	300.0
20260710	1.44	24full	0.009439622641509436	2.8318867924528304	True	299.99999999999994
20260712	1.44	24full	0.009447169811320755	2.8341509433962266	True	300.0
20260714	1.44	24full	0.010420833333333332	3.12625	True	300.00000000000006
20260706	1.44	20raw	0.009632692307692307	2.889807692307692	True	299.99999999999994
20260708	1.44	20raw	0.009447169811320755	2.8341509433962266	True	300.0
20260710	1.44	20raw	0.009272222222222223	2.7816666666666667	True	299.99999999999994
20260712	1.44	20raw	0.009447169811320755	2.8341509433962266	True	300.0
20260714	1.44	20raw	0.010208163265306122	3.062448979591837	True	300.0
20260706	1.44	20raw+minmax	0.009634615384615384	2.890384615384615	True	300.0
20260708	1.44	20raw+minmax	0.01020408163265306	3.061224489795918	True	300.0
20260710	1.44	20raw+minmax	0.009626923076923078	2.888076923076923	True	300.0
20260712	1.44	20raw+minmax	0.010032000000000001	3.0096	True	299.99999999999994
20260714	1.44	20raw+minmax	0.009996	2.9988	True	300.0
20260706	1.44	20raw+stat	0.009428301886792454	2.8284905660377357	True	299.99999999999994
20260708	1.44	20raw+stat	0.0098	2.94	True	300.0
20260710	1.44	20raw+stat	0.00961346153846154	2.8840384615384616	True	299.99999999999994
20260712	1.44	20raw+stat	0.009819607843137255	2.945882352941176	True	299.99999999999994
20260714	1.44	20raw+stat	0.01041875	3.125625	True	300.0
20260706	1.0	24full	0.013432432432432433	4.02972972972973	True	300.0
20260708	1.0	24full	0.014617647058823529	4.385294117647058	True	300.0
20260710	1.0	24full	0.01345945945945946	4.037837837837838	True	300.0
20260712	1.0	24full	0.012776923076923078	3.8330769230769226	True	299.99999999999994
20260714	1.0	24full	0.014231428571428572	4.269428571428572	True	300.0
20260706	1.0	20raw	0.01311842105263158	3.935526315789473	True	299.99999999999994
20260708	1.0	20raw	0.013833333333333333	4.15	True	300.00000000000006
20260710	1.0	20raw	0.014237142857142858	4.2711428571428565	True	299.99999999999994
20260712	1.0	20raw	0.013121052631578948	3.9363157894736838	True	299.99999999999994
20260714	1.0	20raw	0.013841666666666667	4.1525	True	300.0
20260706	1.0	20raw+minmax	0.012475	3.7424999999999997	True	300.0
20260708	1.0	20raw+minmax	0.016573333333333336	4.9719999999999995	True	299.99999999999994
20260710	1.0	20raw+minmax	0.013847222222222223	4.154166666666666	True	299.99999999999994
20260712	1.0	20raw+minmax	0.013869444444444445	4.160833333333333	True	299.99999999999994
20260714	1.0	20raw+minmax	0.013825	4.1475	True	300.0
20260706	1.0	20raw+stat	0.013089473684210526	3.926842105263158	True	300.0
20260708	1.0	20raw+stat	0.015063636363636364	4.519090909090909	True	299.99999999999994
20260710	1.0	20raw+stat	0.014220000000000002	4.266	True	299.99999999999994
