rate	tree	rule	n_pos	n_pos_caught_at_K	n_llm_calls	cpd_usd	cpf_usd
0.0144	XGB-20raw	xgb_only	144	141	0	0.0001	0.0070921985815602835
0.0144	XGB-20raw	gradient_band	144	141	9	0.00010081	0.007149645390070922
0.0144	XGB-20raw	absolute_band	144	141	21	0.00010188999999999999	0.007226241134751773
0.0144	XGB-24full	xgb_only	144	143	0	0.0001	0.006993006993006993
0.0144	XGB-24full	gradient_band	144	143	9	0.00010081	0.00704965034965035
0.0144	XGB-24full	absolute_band	144	143	22	0.00010198000000000001	0.007131468531468532
0.0144	XGB-4sensor	xgb_only	144	78	0	0.0001	0.01282051282051282
0.0144	XGB-4sensor	gradient_band	144	78	39	0.00010350999999999999	0.013270512820512819
0.0144	XGB-4sensor	absolute_band	144	78	1	0.00010008999999999999	0.01283205128205128
0.01	XGB-20raw	xgb_only	100	100	0	0.0001	0.009956
0.01	XGB-20raw	gradient_band	100	100	16	0.00010144636400160707	0.0101
0.01	XGB-20raw	absolute_band	100	100	14	0.00010126556850140619	0.010082
0.01	XGB-24full	xgb_only	100	99	0	0.0001	0.010056565656565658
0.01	XGB-24full	gradient_band	100	99	16	0.00010144636400160707	0.010202020202020202
0.01	XGB-24full	absolute_band	100	99	12	0.0001010847730012053	0.010165656565656565
0.01	XGB-4sensor	xgb_only	100	56	0	0.0001	0.01777857142857143
0.01	XGB-4sensor	gradient_band	100	56	42	0.00010379670550421857	0.01845357142857143
0.01	XGB-4sensor	absolute_band	100	56	0	0.0001	0.01777857142857143
0.005	XGB-20raw	xgb_only	50	50	0	0.0001	0.019812
0.005	XGB-20raw	gradient_band	50	50	33	0.00010299818291944275	0.020406
0.005	XGB-20raw	absolute_band	50	50	7	0.00010063597819503332	0.019938
0.005	XGB-24full	xgb_only	50	50	0	0.0001	0.019812
0.005	XGB-24full	gradient_band	50	50	40	0.00010363416111447607	0.020531999999999998
0.005	XGB-24full	absolute_band	50	50	6	0.00010054512416717141	0.01992
0.005	XGB-4sensor	xgb_only	50	31	0	0.0001	0.03195483870967742
0.005	XGB-4sensor	gradient_band	50	31	49	0.00010445184736523319	0.033377419354838705
0.005	XGB-4sensor	absolute_band	50	31	0	0.0001	0.03195483870967742
0.001	XGB-20raw	xgb_only	10	10	0	0.0001	0.09866
0.001	XGB-20raw	gradient_band	10	10	48	0.0001043786742347456	0.10298
0.001	XGB-20raw	absolute_band	10	10	0	0.0001	0.09866
0.001	XGB-24full	xgb_only	10	10	0	0.0001	0.09866
0.001	XGB-24full	gradient_band	10	10	53	0.00010483478613419826	0.10343
0.001	XGB-24full	absolute_band	10	10	0	0.0001	0.09866
0.001	XGB-4sensor	xgb_only	10	6	0	0.0001	0.16443333333333335
0.001	XGB-4sensor	gradient_band	10	6	57	0.00010519967565376039	0.17298333333333335
0.001	XGB-4sensor	absolute_band	10	6	0	0.0001	0.16443333333333335
0.0005	XGB-20raw	xgb_only	5	5	0	0.0001	0.19722
0.0005	XGB-20raw	gradient_band	5	5	51	0.00010465470033465166	0.2064
0.0005	XGB-20raw	absolute_band	5	5	0	0.0001	0.19722
0.0005	XGB-24full	xgb_only	5	5	0	0.0001	0.19722
0.0005	XGB-24full	gradient_band	5	5	57	0.00010520231213872833	0.20748000000000003
0.0005	XGB-24full	absolute_band	5	5	0	0.0001	0.19722
0.0005	XGB-4sensor	xgb_only	5	2	0	0.0001	0.49305000000000004
0.0005	XGB-4sensor	gradient_band	5	2	59	0.0001053848494067539	0.5196000000000001
0.0005	XGB-4sensor	absolute_band	5	2	0	0.0001	0.49305000000000004
