method	step	zvf_step	pcd_step	n_boundary_prompts	n_contrast_prompts	g_actual_total	g_per_step	g_per_step_total	g_per_prompt_total	g_oracle_total	savings_per_step	savings_per_prompt	regret_per_prompt	contrast_actual	contrast_per_prompt	contrast_oracle	mean_restore_rate_boundary_esc	restore_rate_at_esc	mean_preserve_rate_contrast_des
areal	6	0.6875	0.0498046875	11	5	128	8	128	124	98	0.0	0.03125	0.203125	5	5	5	0.0	0.0	0.5734375
areal	7	0.875	0.013671875	14	2	128	16	256	88	116	-1.0	0.3125	-0.21875	2	2	2	0.0	0.0	0.421875
areal	8	0.625	0.0703125	10	6	128	8	128	136	92	0.0	-0.0625	0.34375	6	6	6	0.0	0.0	0.6927083333333334
areal	9	0.6875	0.0625	11	5	128	8	128	124	98	0.0	0.03125	0.203125	5	5	5	0.0	0.0	0.7015625
areal	10	0.6875	0.0419921875	11	5	128	8	128	124	98	0.0	0.03125	0.203125	5	5	5	0.0	0.0	0.4984375
areal	11	0.5	0.080078125	8	8	128	8	128	160	80	0.0	-0.25	0.625	8	8	8	0.0	0.0	0.572265625
areal	12	0.8125	0.0439453125	13	3	128	16	256	100	110	-1.0	0.21875	-0.078125	3	3	3	0.0	0.0	0.875
areal	13	0.5625	0.09375	9	7	128	8	128	148	86	0.0	-0.15625	0.484375	7	7	7	0.0	0.0	0.7633928571428571
areal	14	0.6875	0.052734375	11	5	128	8	128	124	98	0.0	0.03125	0.203125	5	5	5	0.0	0.0	0.6140625
areal	15	0.6875	0.0419921875	11	5	128	8	128	124	98	0.0	0.03125	0.203125	5	5	5	0.0	0.0	0.49375
areal	16	0.625	0.05859375	10	6	128	8	128	136	92	0.0	-0.0625	0.34375	6	6	6	0.0	0.0	0.5846354166666666
areal	17	0.5	0.0927734375	8	8	128	8	128	160	80	0.0	-0.25	0.625	8	8	8	0.0	0.0	0.6923828125
areal	18	0.5625	0.0771484375	9	7	128	8	128	148	86	0.0	-0.15625	0.484375	7	7	7	0.0	0.0	0.6607142857142857
areal	19	0.75	0.0546875	12	4	128	16	256	112	104	-1.0	0.125	0.0625	4	4	4	0.0	0.0	0.767578125
areal	20	0.6875	0.0703125	11	5	128	8	128	124	98	0.0	0.03125	0.203125	5	5	5	0.0	0.0	0.7828125
areal	21	0.6875	0.04296875	11	5	128	8	128	124	98	0.0	0.03125	0.203125	5	5	5	0.0	0.0	0.490625
areal	22	0.8125	0.029296875	13	3	128	16	256	100	110	-1.0	0.21875	-0.078125	3	3	3	0.0	0.0	0.5651041666666666
areal	23	0.8125	0.033203125	13	3	128	16	256	100	110	-1.0	0.21875	-0.078125	3	3	3	0.0	0.0	0.6354166666666666
areal	24	0.875	0.0185546875	14	2	128	16	256	88	116	-1.0	0.3125	-0.21875	2	2	2	0.0	0.0	0.55859375
areal	25	0.625	0.08203125	10	6	128	8	128	136	92	0.0	-0.0625	0.34375	6	6	6	0.0	0.0	0.7877604166666666
areal	26	0.875	0.0263671875	14	2	128	16	256	88	116	-1.0	0.3125	-0.21875	2	2	2	0.0	0.0	0.7421875
areal	27	0.9375	0.01171875	15	1	128	16	256	76	122	-1.0	0.40625	-0.359375	1	1	1	0.0	0.0	0.65625
areal	28	0.875	0.021484375	14	2	128	16	256	88	116	-1.0	0.3125	-0.21875	2	2	2	0.0	0.0	0.6953125
areal	29	0.8125	0.029296875	13	3	128	16	256	100	110	-1.0	0.21875	-0.078125	3	3	3	0.0	0.0	0.5364583333333334
areal	30	0.75	0.0400390625	12	4	128	16	256	112	104	-1.0	0.125	0.0625	4	4	4	0.0	0.0	0.576171875
areal	31	0.5625	0.052734375	9	7	128	8	128	148	86	0.0	-0.15625	0.484375	7	7	7	0.0	0.0	0.4453125
areal	32	0.75	0.0478515625	12	4	128	16	256	112	104	-1.0	0.125	0.0625	4	4	4	0.0	0.0	0.654296875
areal	33	0.625	0.0625	10	6	128	8	128	136	92	0.0	-0.0625	0.34375	6	6	6	0.0	0.0	0.6223958333333334
areal	34	0.6875	0.0390625	11	5	128	8	128	124	98	0.0	0.03125	0.203125	5	5	5	0.0	0.0	0.5
areal	35	0.8125	0.025390625	13	3	128	16	256	100	110	-1.0	0.21875	-0.078125	3	3	3	0.0	0.0	0.4765625
areal	36	0.75	0.0400390625	12	4	128	16	256	112	104	-1.0	0.125	0.0625	4	4	4	0.0	0.0	0.59375
areal	37	0.6875	0.056640625	11	5	128	8	128	124	98	0.0	0.03125	0.203125	5	5	5	0.0	0.0	0.65
areal	38	0.8125	0.033203125	13	3	128	16	256	100	110	-1.0	0.21875	-0.078125	3	3	3	0.0	0.0	0.6588541666666666
areal	39	0.75	0.044921875	12	4	128	16	256	112	104	-1.0	0.125	0.0625	4	4	4	0.0	0.0	0.646484375
gift	0	0.75	0.0537109375	12	4	128	16	256	112	104	-1.0	0.125	0.0625	4	4	4	0.0	0.0	0.791015625
gift	1	0.5625	0.0751953125	9	7	128	8	128	148	86	0.0	-0.15625	0.484375	7	7	7	0.0	0.0	0.6350446428571429
gift	2	0.6875	0.0341796875	11	5	128	8	128	124	98	0.0	0.03125	0.203125	5	5	5	0.0	0.0	0.41875
gift	3	0.5625	0.0673828125	9	7	128	8	128	148	86	0.0	-0.15625	0.484375	7	7	7	0.0	0.0	0.5747767857142857
gift	4	0.6875	0.0517578125	11	5	128	8	128	124	98	0.0	0.03125	0.203125	5	5	5	0.0	0.0	0.61875
gift	5	0.625	0.048828125	10	6	128	8	128	136	92	0.0	-0.0625	0.34375	6	6	6	0.0	0.0	0.4934895833333333
gift	6	0.75	0.0478515625	12	4	128	16	256	112	104	-1.0	0.125	0.0625	4	4	4	0.0	0.0	0.693359375
gift	7	0.6875	0.0439453125	11	5	128	8	128	124	98	0.0	0.03125	0.203125	5	5	5	0.0	0.0	0.48125
gift	8	0.625	0.0673828125	10	6	128	8	128	136	92	0.0	-0.0625	0.34375	6	6	6	0.0	0.0	0.6536458333333334
gift	9	0.625	0.0537109375	10	6	128	8	128	136	92	0.0	-0.0625	0.34375	6	6	6	0.0	0.0	0.5182291666666666
gift	10	0.75	0.0361328125	12	4	128	16	256	112	104	-1.0	0.125	0.0625	4	4	4	0.0	0.0	0.513671875
gift	11	0.625	0.0693359375	10	6	128	8	128	136	92	0.0	-0.0625	0.34375	6	6	6	0.0	0.0	0.6302083333333334
gift	12	0.75	0.044921875	12	4	128	16	256	112	104	-1.0	0.125	0.0625	4	4	4	0.0	0.0	0.689453125
gift	13	0.5625	0.0908203125	9	7	128	8	128	148	86	0.0	-0.15625	0.484375	7	7	7	0.0	0.0	0.7421875
gift	14	0.8125	0.037109375	13	3	128	16	256	100	110	-1.0	0.21875	-0.078125	3	3	3	0.0	0.0	0.6848958333333334
gift	15	0.625	0.0625	10	6	128	8	128	136	92	0.0	-0.0625	0.34375	6	6	6	0.0	0.0	0.625
gift	16	0.625	0.0634765625	10	6	128	8	128	136	92	0.0	-0.0625	0.34375	6	6	6	0.0	0.0	0.62109375
gift	17	0.75	0.0625	12	4	128	16	256	112	104	-1.0	0.125	0.0625	4	4	4	0.0	0.0	0.8671875
gift	18	0.625	0.0703125	10	6	128	8	128	136	92	0.0	-0.0625	0.34375	6	6	6	0.0	0.0	0.6692708333333334
gift	19	0.75	0.041015625	12	4	128	16	256	112	104	-1.0	0.125	0.0625	4	4	4	0.0	0.0	0.58203125
gift	20	0.6875	0.056640625	11	5	128	8	128	124	98	0.0	0.03125	0.203125	5	5	5	0.0	0.0	0.6578125
gift	21	0.75	0.0478515625	12	4	128	16	256	112	104	-1.0	0.125	0.0625	4	4	4	0.0	0.0	0.69140625
gift	22	0.875	0.021484375	14	2	128	16	256	88	116	-1.0	0.3125	-0.21875	2	2	2	0.0	0.0	0.6796875
gift	23	0.875	0.021484375	14	2	128	16	256	88	116	-1.0	0.3125	-0.21875	2	2	2	0.0	0.0	0.578125
gift	24	0.875	0.013671875	14	2	128	16	256	88	116	-1.0	0.3125	-0.21875	2	2	2	0.0	0.0	0.40625
gift	25	0.75	0.0537109375	12	4	128	16	256	112	104	-1.0	0.125	0.0625	4	4	4	0.0	0.0	0.763671875
gift	26	0.8125	0.0283203125	13	3	128	16	256	100	110	-1.0	0.21875	-0.078125	3	3	3	0.0	0.0	0.5885416666666666
gift	27	0.9375	0.01171875	15	1	128	16	256	76	122	-1.0	0.40625	-0.359375	1	1	1	0.0	0.0	0.6484375
gift	28	0.875	0.0185546875	14	2	128	16	256	88	116	-1.0	0.3125	-0.21875	2	2	2	0.0	0.0	0.57421875
gift	29	0.9375	0.0146484375	15	1	128	16	256	76	122	-1.0	0.40625	-0.359375	1	1	1	0.0	0.0	0.84375
gift	30	0.875	0.02734375	14	2	128	16	256	88	116	-1.0	0.3125	-0.21875	2	2	2	0.0	0.0	0.78125
gift	31	0.9375	0.0068359375	15	1	128	16	256	76	122	-1.0	0.40625	-0.359375	1	1	1	0.0	0.0	0.359375
gift	32	0.75	0.04296875	12	4	128	16	256	112	104	-1.0	0.125	0.0625	4	4	4	0.0	0.0	0.62109375
gift	33	0.9375	0.0068359375	15	1	128	16	256	76	122	-1.0	0.40625	-0.359375	1	1	1	0.0	0.0	0.3828125
gift	34	1.0	0.0	16	0	128	4	64	64	128	0.5	0.5	-0.5	0	0	0	0.0	0.0	nan
gift	35	0.9375	0.0068359375	15	1	128	16	256	76	122	-1.0	0.40625	-0.359375	1	1	1	0.0	0.0	0.3125
gift	36	0.9375	0.015625	15	1	128	16	256	76	122	-1.0	0.40625	-0.359375	1	1	1	0.0	0.0	0.84375
gift	37	0.875	0.021484375	14	2	128	16	256	88	116	-1.0	0.3125	-0.21875	2	2	2	0.0	0.0	0.6328125
gift	38	0.9375	0.0146484375	15	1	128	16	256	76	122	-1.0	0.40625	-0.359375	1	1	1	0.0	0.0	0.8203125
gift	39	0.8125	0.0419921875	13	3	128	16	256	100	110	-1.0	0.21875	-0.078125	3	3	3	0.0	0.0	0.8046875
grpo	0	0.6875	0.0390625	11	5	128	8	128	124	98	0.0	0.03125	0.203125	5	5	5	0.0	0.0	0.4921875
grpo	1	0.5	0.0908203125	8	8	128	8	128	160	80	0.0	-0.25	0.625	8	8	8	0.0	0.0	0.6181640625
grpo	2	0.6875	0.052734375	11	5	128	8	128	124	98	0.0	0.03125	0.203125	5	5	5	0.0	0.0	0.625
grpo	3	0.75	0.037109375	12	4	128	16	256	112	104	-1.0	0.125	0.0625	4	4	4	0.0	0.0	0.51953125
grpo	4	0.6875	0.0576171875	11	5	128	8	128	124	98	0.0	0.03125	0.203125	5	5	5	0.0	0.0	0.665625
grpo	5	0.6875	0.056640625	11	5	128	8	128	124	98	0.0	0.03125	0.203125	5	5	5	0.0	0.0	0.6359375
grpo	6	0.8125	0.033203125	13	3	128	16	256	100	110	-1.0	0.21875	-0.078125	3	3	3	0.0	0.0	0.6484375
grpo	7	0.6875	0.0478515625	11	5	128	8	128	124	98	0.0	0.03125	0.203125	5	5	5	0.0	0.0	0.55
grpo	8	0.5625	0.0732421875	9	7	128	8	128	148	86	0.0	-0.15625	0.484375	7	7	7	0.0	0.0	0.5948660714285714
grpo	9	0.6875	0.0517578125	11	5	128	8	128	124	98	0.0	0.03125	0.203125	5	5	5	0.0	0.0	0.6359375
grpo	10	0.6875	0.0517578125	11	5	128	8	128	124	98	0.0	0.03125	0.203125	5	5	5	0.0	0.0	0.5921875
grpo	11	0.6875	0.056640625	11	5	128	8	128	124	98	0.0	0.03125	0.203125	5	5	5	0.0	0.0	0.653125
grpo	12	0.8125	0.0380859375	13	3	128	16	256	100	110	-1.0	0.21875	-0.078125	3	3	3	0.0	0.0	0.7109375
grpo	13	0.5625	0.0693359375	9	7	128	8	128	148	86	0.0	-0.15625	0.484375	7	7	7	0.0	0.0	0.5948660714285714
grpo	14	0.75	0.041015625	12	4	128	16	256	112	104	-1.0	0.125	0.0625	4	4	4	0.0	0.0	0.5859375
grpo	15	0.75	0.0517578125	12	4	128	16	256	112	104	-1.0	0.125	0.0625	4	4	4	0.0	0.0	0.7265625
grpo	16	0.625	0.07421875	10	6	128	8	128	136	92	0.0	-0.0625	0.34375	6	6	6	0.0	0.0	0.7174479166666666
grpo	17	0.5	0.0859375	8	8	128	8	128	160	80	0.0	-0.25	0.625	8	8	8	0.0	0.0	0.63671875
grpo	18	0.5625	0.0947265625	9	7	128	8	128	148	86	0.0	-0.15625	0.484375	7	7	7	0.0	0.0	0.7633928571428571
grpo	19	0.625	0.056640625	10	6	128	8	128	136	92	0.0	-0.0625	0.34375	6	6	6	0.0	0.0	0.5546875
grpo	20	0.625	0.072265625	10	6	128	8	128	136	92	0.0	-0.0625	0.34375	6	6	6	0.0	0.0	0.671875
grpo	21	0.75	0.04296875	12	4	128	16	256	112	104	-1.0	0.125	0.0625	4	4	4	0.0	0.0	0.6328125
grpo	22	0.75	0.0478515625	12	4	128	16	256	112	104	-1.0	0.125	0.0625	4	4	4	0.0	0.0	0.708984375
grpo	23	0.875	0.0185546875	14	2	128	16	256	88	116	-1.0	0.3125	-0.21875	2	2	2	0.0	0.0	0.57421875
grpo	24	0.8125	0.0205078125	13	3	128	16	256	100	110	-1.0	0.21875	-0.078125	3	3	3	0.0	0.0	0.3984375
grpo	25	0.5625	0.0771484375	9	7	128	8	128	148	86	0.0	-0.15625	0.484375	7	7	7	0.0	0.0	0.6473214285714286
grpo	26	0.8125	0.025390625	13	3	128	16	256	100	110	-1.0	0.21875	-0.078125	3	3	3	0.0	0.0	0.5078125
grpo	27	0.9375	0.015625	15	1	128	16	256	76	122	-1.0	0.40625	-0.359375	1	1	1	0.0	0.0	0.9296875
grpo	28	0.8125	0.0283203125	13	3	128	16	256	100	110	-1.0	0.21875	-0.078125	3	3	3	0.0	0.0	0.5651041666666666
grpo	29	0.8125	0.029296875	13	3	128	16	256	100	110	-1.0	0.21875	-0.078125	3	3	3	0.0	0.0	0.5755208333333334
grpo	30	0.8125	0.025390625	13	3	128	16	256	100	110	-1.0	0.21875	-0.078125	3	3	3	0.0	0.0	0.4635416666666667
grpo	31	0.75	0.0322265625	12	4	128	16	256	112	104	-1.0	0.125	0.0625	4	4	4	0.0	0.0	0.462890625
grpo	32	0.6875	0.060546875	11	5	128	8	128	124	98	0.0	0.03125	0.203125	5	5	5	0.0	0.0	0.703125
grpo	33	0.6875	0.046875	11	5	128	8	128	124	98	0.0	0.03125	0.203125	5	5	5	0.0	0.0	0.56875
grpo	34	0.875	0.0185546875	14	2	128	16	256	88	116	-1.0	0.3125	-0.21875	2	2	2	0.0	0.0	0.52734375
grpo	35	0.9375	0.01171875	15	1	128	16	256	76	122	-1.0	0.40625	-0.359375	1	1	1	0.0	0.0	0.6875
grpo	36	0.8125	0.0283203125	13	3	128	16	256	100	110	-1.0	0.21875	-0.078125	3	3	3	0.0	0.0	0.5598958333333334
grpo	37	0.75	0.0458984375	12	4	128	16	256	112	104	-1.0	0.125	0.0625	4	4	4	0.0	0.0	0.685546875
grpo	38	0.6875	0.0517578125	11	5	128	8	128	124	98	0.0	0.03125	0.203125	5	5	5	0.0	0.0	0.6
grpo	39	0.75	0.0478515625	12	4	128	16	256	112	104	-1.0	0.125	0.0625	4	4	4	0.0	0.0	0.716796875
