cost_llm	cost_ratio	rate	tree	pair	cpd_delta	cpf_delta
0.001	10.0	0.0144	XGB-20raw	gradient_band_vs_xgb_only	8.100000000000007e-07	5.744680851063871e-05
0.001	10.0	0.0144	XGB-20raw	absolute_band_vs_xgb_only	1.8899999999999836e-06	0.00013404255319148916
0.001	10.0	0.0144	XGB-20raw	gradient_band_vs_absolute_band	-1.0799999999999829e-06	-7.659574468085045e-05
0.001	10.0	0.0144	XGB-24full	gradient_band_vs_xgb_only	8.100000000000007e-07	5.664335664335666e-05
0.001	10.0	0.0144	XGB-24full	absolute_band_vs_xgb_only	1.9800000000000048e-06	0.0001384615384615387
0.001	10.0	0.0144	XGB-24full	gradient_band_vs_absolute_band	-1.170000000000004e-06	-8.181818181818203e-05
0.001	10.0	0.0144	XGB-4sensor	gradient_band_vs_xgb_only	3.509999999999985e-06	0.000449999999999999
0.001	10.0	0.0144	XGB-4sensor	absolute_band_vs_xgb_only	8.99999999999805e-08	1.1538461538460401e-05
0.001	10.0	0.0144	XGB-4sensor	gradient_band_vs_absolute_band	3.4200000000000045e-06	0.0004384615384615386
0.001	10.0	0.01	XGB-20raw	gradient_band_vs_xgb_only	1.4399999999999862e-06	0.00014400000000000003
0.001	10.0	0.01	XGB-20raw	absolute_band_vs_xgb_only	1.2599999999999845e-06	0.00012599999999999938
0.001	10.0	0.01	XGB-20raw	gradient_band_vs_absolute_band	1.8000000000000166e-07	1.8000000000000654e-05
0.001	10.0	0.01	XGB-24full	gradient_band_vs_xgb_only	1.4399999999999862e-06	0.0001454545454545441
0.001	10.0	0.01	XGB-24full	absolute_band_vs_xgb_only	1.0799999999999829e-06	0.00010909090909090764
0.001	10.0	0.01	XGB-24full	gradient_band_vs_absolute_band	3.6000000000000333e-07	3.636363636363646e-05
0.001	10.0	0.01	XGB-4sensor	gradient_band_vs_xgb_only	3.7799999999999943e-06	0.000675000000000002
0.001	10.0	0.01	XGB-4sensor	absolute_band_vs_xgb_only	0.0	0.0
0.001	10.0	0.01	XGB-4sensor	gradient_band_vs_absolute_band	3.7799999999999943e-06	0.000675000000000002
0.001	10.0	0.005	XGB-20raw	gradient_band_vs_xgb_only	2.970000000000007e-06	0.0005940000000000008
0.001	10.0	0.005	XGB-20raw	absolute_band_vs_xgb_only	6.29999999999999e-07	0.00012599999999999764
0.001	10.0	0.005	XGB-20raw	gradient_band_vs_absolute_band	2.340000000000008e-06	0.00046800000000000314
0.001	10.0	0.005	XGB-24full	gradient_band_vs_xgb_only	3.5999999999999926e-06	0.0007200000000000019
0.001	10.0	0.005	XGB-24full	absolute_band_vs_xgb_only	5.40000000000005e-07	0.00010800000000000046
0.001	10.0	0.005	XGB-24full	gradient_band_vs_absolute_band	3.0599999999999876e-06	0.0006120000000000014
0.001	10.0	0.005	XGB-4sensor	gradient_band_vs_xgb_only	4.409999999999993e-06	0.0014225806451612921
0.001	10.0	0.005	XGB-4sensor	absolute_band_vs_xgb_only	0.0	0.0
0.001	10.0	0.005	XGB-4sensor	gradient_band_vs_absolute_band	4.409999999999993e-06	0.0014225806451612921
0.001	10.0	0.001	XGB-20raw	gradient_band_vs_xgb_only	4.319999999999986e-06	0.0043199999999999905
0.001	10.0	0.001	XGB-20raw	absolute_band_vs_xgb_only	0.0	0.0
0.001	10.0	0.001	XGB-20raw	gradient_band_vs_absolute_band	4.319999999999986e-06	0.0043199999999999905
0.001	10.0	0.001	XGB-24full	gradient_band_vs_xgb_only	4.769999999999997e-06	0.0047699999999999965
0.001	10.0	0.001	XGB-24full	absolute_band_vs_xgb_only	0.0	0.0
0.001	10.0	0.001	XGB-24full	gradient_band_vs_absolute_band	4.769999999999997e-06	0.0047699999999999965
0.001	10.0	0.001	XGB-4sensor	gradient_band_vs_xgb_only	5.1299999999999865e-06	0.008550000000000002
0.001	10.0	0.001	XGB-4sensor	absolute_band_vs_xgb_only	0.0	0.0
0.001	10.0	0.001	XGB-4sensor	gradient_band_vs_absolute_band	5.1299999999999865e-06	0.008550000000000002
0.001	10.0	0.0005	XGB-20raw	gradient_band_vs_xgb_only	4.589999999999995e-06	0.009179999999999994
