method	step	zvf_step	n_boundary	n_contrast	kbar	smoothed	naive	ag	df	ap
gift	9	0.6250	10	6	5.5000	0.5703	0.2148	0	1	0
gift	10	0.7500	12	4	6.2500	0.6582	0.1709	1	1	0
gift	11	0.6250	10	6	4.1667	0.5009	0.2496	0	1	0
gift	12	0.7500	12	4	6.0000	0.6250	0.1875	1	1	0
gift	13	0.5625	9	7	3.8571	0.5006	0.2497	0	1	0
gift	14	0.8125	13	3	5.3333	0.5556	0.2222	1	1	0
gift	15	0.6250	10	6	4.6667	0.5139	0.2431	0	1	0
gift	16	0.6250	10	6	5.1667	0.5425	0.2287	0	1	0
gift	17	0.7500	12	4	4.0000	0.5000	0.2500	1	1	0
gift	18	0.6250	10	6	5.6667	0.5868	0.2066	0	1	0
gift	19	0.7500	12	4	5.0000	0.5312	0.2344	1	1	0
gift	20	0.6875	11	5	3.6000	0.5050	0.2475	0	1	0
gift	21	0.7500	12	4	3.7500	0.5020	0.2490	1	1	0
gift	22	0.8750	14	2	5.0000	0.5312	0.2344	1	1	0
gift	23	0.8750	14	2	5.0000	0.5312	0.2344	1	1	0
gift	24	0.8750	14	2	4.0000	0.5000	0.2500	1	1	0
gift	25	0.7500	12	4	5.2500	0.5488	0.2256	1	1	0
gift	26	0.8125	13	3	3.6667	0.5035	0.2483	1	1	0
gift	27	0.9375	15	1	2.0000	0.6250	0.1875	1	1	0
gift	28	0.8750	14	2	3.5000	0.5078	0.2461	1	1	0
gift	29	0.9375	15	1	3.0000	0.5312	0.2344	1	1	0
gift	30	0.8750	14	2	3.0000	0.5312	0.2344	1	1	0
gift	31	0.9375	15	1	7.0000	0.7812	0.1094	1	1	0
gift	32	0.7500	12	4	3.0000	0.5312	0.2344	1	1	0
gift	33	0.9375	15	1	7.0000	0.7812	0.1094	1	1	0
gift	34	1.0000	16	0	nan	nan	nan	1	0	0
gift	35	0.9375	15	1	1.0000	0.7812	0.1094	1	1	0
gift	36	0.9375	15	1	4.0000	0.5000	0.2500	1	1	0
gift	37	0.8750	14	2	6.0000	0.6250	0.1875	1	1	0
gift	38	0.9375	15	1	3.0000	0.5312	0.2344	1	1	0
gift	39	0.8125	13	3	5.0000	0.5312	0.2344	1	1	0
areal	0	0.6875	11	5	4.4000	0.5050	0.2475	0	1	0
areal	1	0.5000	8	8	5.6250	0.5825	0.2087	0	1	0
areal	2	0.6875	11	5	6.4000	0.6800	0.1600	0	1	0
areal	3	0.6875	11	5	4.6000	0.5112	0.2444	0	1	0
areal	4	0.5000	8	8	5.2500	0.5488	0.2256	0	1	0
areal	5	0.7500	12	4	5.0000	0.5312	0.2344	1	1	0
areal	6	0.6875	11	5	5.0000	0.5312	0.2344	0	1	0
areal	7	0.8750	14	2	4.0000	0.5000	0.2500	1	1	0
areal	8	0.6250	10	6	4.0000	0.5000	0.2500	0	1	0
areal	9	0.6875	11	5	4.4000	0.5050	0.2475	0	1	0
areal	10	0.6875	11	5	5.0000	0.5312	0.2344	0	1	0
areal	11	0.5000	8	8	4.7500	0.5176	0.2412	0	1	0
areal	12	0.8125	13	3	4.3333	0.5035	0.2483	1	1	0
areal	13	0.5625	9	7	4.0000	0.5000	0.2500	0	1	0
areal	14	0.6875	11	5	5.2000	0.5450	0.2275	0	1	0
