source	algo	seed	status	heldout_acc	n_items_ok
n10_manifest					1
n10_grpo_s179.json	grpo	179		0.5859375	11
n10_grpo_s316.json	grpo	316		0.4765625	11
n10_grpo_s42.json	grpo	42		0.375	11
n10_grpo_s453.json	grpo	453		0.4296875	11
n10_grpo_s590.json	grpo	590		0.40625	11
