id	variant	metric_pair	verdict	n2_point	n2_ci_lo	n2_ci_hi	n2_sig	zv_point	zv_ci_lo	zv_ci_hi	zv_sig
delta_aero	aero	zvf (N2) <-> zvf_risk (zvf130)	BOTH_NONSIG	0.0	-0.0234375	0.0234375	False	-0.14763736484052853	-0.3014596383325589	0.008027866495259505	False
delta_aero	aero	zvf (N2) <-> mean_zvf (zvf130)	PARTIAL_ONE_SIG	0.0	-0.0234375	0.0234375	False	-0.26052000000000003	-0.26180000000000003	-0.25924	True
delta_gift	gift	zvf (N2) <-> zvf_risk (zvf130)	DIVERGE_BOTH_SIG	0.05	0.0203125	0.0796875	True	-0.2631874742106699	-0.3569829886476771	-0.16939195977366273	True
delta_gift	gift	zvf (N2) <-> mean_zvf (zvf130)	DIVERGE_BOTH_SIG	0.05	0.0203125	0.0796875	True	-0.36658	-0.37154	-0.36314	True
delta_areal	areal	zvf (N2) <-> zvf_risk (zvf130)	PARTIAL_ONE_SIG	-0.0140625	-0.0421875	0.0125	False	-0.24576740489646126	-0.3349988439511343	-0.15653596584178825	True
delta_areal	areal	zvf (N2) <-> mean_zvf (zvf130)	PARTIAL_ONE_SIG	-0.0140625	-0.0421875	0.0125	False	-0.35988	-0.3648	-0.35678	True
