item	n_subfields_declared	n_subfields_covered	item_present_pct
loss_form	6	0	100.0
ref_policy_kl	3	0	100.0
sampler_backend_precision	4	4	100.0
per_step_zvf_path	2	2	100.0
group_size_schedule	2	2	100.0
heldout_split	3	3	100.0
decontamination_notes	2	2	100.0
