method	tau	df_cost	ddiv_cost	cost_gap	df_saving	ddiv_spf	spf_gap	ddiv_n_fires	ddiv_n_saves
grpo	0.03	0.790234375	1.196875	0.40664062499999987	0.20976562499999996	0.40476190476190477	0.1949962797619048	126	51
grpo	0.05	0.790234375	1.196875	0.40664062499999987	0.20976562499999996	0.40476190476190477	0.1949962797619048	126	51
grpo	0.08	0.790234375	1.196875	0.40664062499999987	0.20976562499999996	0.40476190476190477	0.1949962797619048	126	51
grpo	0.1	0.790234375	1.1171875	0.32695312499999996	0.20976562499999996	0.0	-0.20976562499999996	75	0
grpo	0.12	0.790234375	1.1171875	0.32695312499999996	0.20976562499999996	0.0	-0.20976562499999996	75	0
aero	0.03	0.790234375	1.178125	0.38789062500000004	0.20976562499999996	0.40350877192982454	0.19374314692982458	114	46
aero	0.05	0.790234375	1.178125	0.38789062500000004	0.20976562499999996	0.40350877192982454	0.19374314692982458	114	46
aero	0.08	0.790234375	1.178125	0.38789062500000004	0.20976562499999996	0.40350877192982454	0.19374314692982458	114	46
aero	0.1	0.790234375	1.10625	0.3160156249999999	0.20976562499999996	0.0	-0.20976562499999996	68	0
aero	0.12	0.790234375	1.10625	0.3160156249999999	0.20976562499999996	0.0	-0.20976562499999996	68	0
areal	0.03	0.7796875	1.19375	0.4140625000000001	0.22031250000000002	0.3225806451612903	0.10226814516129029	124	40
areal	0.05	0.7796875	1.19375	0.4140625000000001	0.22031250000000002	0.3225806451612903	0.10226814516129029	124	40
areal	0.08	0.7796875	1.19375	0.4140625000000001	0.22031250000000002	0.3225806451612903	0.10226814516129029	124	40
areal	0.1	0.7796875	1.13125	0.3515625000000001	0.22031250000000002	0.0	-0.22031250000000002	84	0
areal	0.12	0.7796875	1.13125	0.3515625000000001	0.22031250000000002	0.0	-0.22031250000000002	84	0
gift	0.03	0.827734375	1.153125	0.32539062499999993	0.17226562499999998	0.3877551020408163	0.21548947704081634	98	38
gift	0.05	0.827734375	1.153125	0.32539062499999993	0.17226562499999998	0.3877551020408163	0.21548947704081634	98	38
gift	0.08	0.827734375	1.153125	0.32539062499999993	0.17226562499999998	0.3877551020408163	0.21548947704081634	98	38
gift	0.1	0.827734375	1.09375	0.266015625	0.17226562499999998	0.0	-0.17226562499999998	60	0
gift	0.12	0.827734375	1.09375	0.266015625	0.17226562499999998	0.0	-0.17226562499999998	60	0
