method	k	n	p	lo	hi
grpo	461	640	0.7203	0.6843	0.7537
aero	461	640	0.7203	0.6843	0.7537
gift	493	640	0.7703	0.7362	0.8012
areal	452	640	0.7063	0.6698	0.7402
