fset	decile	seed	n_total	n_pos	hit_rate	brier	ece	auc
20raw	1	42	1000	5	0.0050	0.011178	0.071210	0.998794
20raw	1	179	1000	5	0.0050	0.014291	0.079769	0.998995
20raw	1	316	1000	5	0.0050	0.011778	0.070920	0.998794
20raw	1	453	1000	5	0.0050	0.012359	0.076648	0.998593
20raw	1	590	1000	5	0.0050	0.011142	0.067948	0.998995
24full	1	42	1000	5	0.0050	0.008728	0.063724	0.999799
24full	1	179	1000	5	0.0050	0.008114	0.063695	1.000000
24full	1	316	1000	5	0.0050	0.009139	0.065135	0.999598
24full	1	453	1000	5	0.0050	0.008743	0.062653	0.999598
24full	1	590	1000	5	0.0050	0.008737	0.061788	0.999598
4sensor	1	42	1000	5	0.0050	0.023111	0.111363	0.999397
4sensor	1	179	1000	5	0.0050	0.024101	0.114920	0.999196
4sensor	1	316	1000	5	0.0050	0.023221	0.115354	1.000000
4sensor	1	453	1000	5	0.0050	0.023207	0.115764	0.999598
4sensor	1	590	1000	5	0.0050	0.022430	0.113466	0.999799
20raw	2	42	1000	11	0.0110	0.019159	0.095895	0.999173
20raw	2	179	1000	11	0.0110	0.022323	0.104338	0.998529
20raw	2	316	1000	11	0.0110	0.021157	0.100815	0.998529
20raw	2	453	1000	11	0.0110	0.020083	0.101832	0.998989
20raw	2	590	1000	11	0.0110	0.019464	0.095211	0.999081
24full	2	42	1000	11	0.0110	0.017007	0.092096	0.999081
24full	2	179	1000	11	0.0110	0.014668	0.087090	0.999357
24full	2	316	1000	11	0.0110	0.016006	0.090115	0.998897
24full	2	453	1000	11	0.0110	0.015160	0.089303	0.999173
24full	2	590	1000	11	0.0110	0.016238	0.088685	0.998989
4sensor	2	42	1000	11	0.0110	0.091079	0.268083	0.997702
4sensor	2	179	1000	11	0.0110	0.088189	0.262658	0.998437
4sensor	2	316	1000	11	0.0110	0.085816	0.264657	0.999265
4sensor	2	453	1000	11	0.0110	0.084626	0.255992	0.997610
4sensor	2	590	1000	11	0.0110	0.087569	0.266063	1.000000
20raw	3	42	1000	15	0.0150	0.030018	0.125778	0.997766
20raw	3	179	1000	15	0.0150	0.031671	0.130540	0.997834
20raw	3	316	1000	15	0.0150	0.030830	0.129789	0.997496
20raw	3	453	1000	15	0.0150	0.030848	0.129542	0.997902
