field	n_rows	n_present	n_null	present_frac
metric	40	40	0	1.0
panel	40	40	0	1.0
base	40	40	0	1.0
delta	40	40	0	1.0
ci_low	40	38	2	0.95
ci_high	40	38	2	0.95
n	40	40	0	1.0
significant	40	40	0	1.0
ci_method	40	40	0	1.0
source	40	40	0	1.0
note	40	40	0	1.0
window_sensitivity	40	6	34	0.15
robust_panel	40	6	34	0.15
welch_ci_low	40	8	32	0.2
welch_ci_high	40	8	32	0.2
welch_sig	40	8	32	0.2
sig_robust_bootstrap_and_welch	40	8	32	0.2
sig_robust_note	40	8	32	0.2
xpanel_verdict	40	0	40	0.0
xpanel_method	40	0	40	0.0
