method	controller	mean_g	mean_cost	ci95_cost_lo	ci95_cost_hi	mean_savings_vs_g16	ci95_sav_lo	ci95_sav_hi	mean_retention	mean_fire_rate
grpo	STATIC_G8	8.0000	1.0000	1.0000	1.0000	0.5000	0.5000	0.5000	1.0000	0.0000
grpo	STATIC_G16	16.0000	2.0000	2.0000	2.0000	0.0000	0.0000	0.0000	1.1594	1.0000
grpo	DUALFORMER_STEP	10.4000	1.3000	1.0750	1.5250	0.3500	0.2375	0.4625	1.0168	0.1000
grpo	ALPHAPROOF_SMOOTH	8.0000	1.0000	1.0000	1.0000	0.5000	0.5000	0.5000	1.0000	0.0000
grpo	UNIFIED_STEP_C4	12.0000	1.5000	1.3750	1.6250	0.2500	0.1875	0.3125	1.0841	0.5000
aero	STATIC_G8	8.0000	1.0000	1.0000	1.0000	0.5000	0.5000	0.5000	1.0000	0.0000
aero	STATIC_G16	16.0000	2.0000	2.0000	2.0000	0.0000	0.0000	0.0000	1.1467	1.0000
aero	DUALFORMER_STEP	10.4000	1.3000	1.0750	1.5250	0.3500	0.2375	0.4625	1.0104	0.1000
aero	ALPHAPROOF_SMOOTH	8.0000	1.0000	1.0000	1.0000	0.5000	0.5000	0.5000	1.0000	0.0000
aero	UNIFIED_STEP_C4	11.8000	1.4750	1.3500	1.6000	0.2625	0.2000	0.3250	1.0742	0.4750
gift	STATIC_G8	8.0000	1.0000	1.0000	1.0000	0.5000	0.5000	0.5000	0.9750	0.0000
gift	STATIC_G16	16.0000	2.0000	2.0000	2.0000	0.0000	0.0000	0.0000	1.1259	1.0000
gift	DUALFORMER_STEP	16.4000	2.0500	1.6750	2.4250	-0.0250	-0.2125	0.1625	1.0540	0.3500
gift	ALPHAPROOF_SMOOTH	8.0000	1.0000	1.0000	1.0000	0.5000	0.5000	0.5000	0.9750	0.0000
gift	UNIFIED_STEP_C4	13.2000	1.6500	1.5250	1.7750	0.1750	0.1125	0.2375	1.0649	0.6500
areal	STATIC_G8	8.0000	1.0000	1.0000	1.0000	0.5000	0.5000	0.5000	1.0000	0.0000
areal	STATIC_G16	16.0000	2.0000	2.0000	2.0000	0.0000	0.0000	0.0000	1.1602	1.0000
areal	DUALFORMER_STEP	11.0000	1.3750	1.1500	1.6750	0.3125	0.1625	0.4250	1.0293	0.1250
areal	ALPHAPROOF_SMOOTH	8.0000	1.0000	1.0000	1.0000	0.5000	0.5000	0.5000	1.0000	0.0000
areal	UNIFIED_STEP_C4	11.4000	1.4250	1.3000	1.5500	0.2875	0.2250	0.3500	1.0645	0.4250
