method,step,prompt_idx,k,p_hat,step_zvf,oracle_g,oracle_dY,oracle_active,oracle_score,C0_fixed_G8_G,C1_zvf_triage_G,C2_dualformer_G,C3_hybrid_G,C5_isog_y090_G,C0_fixed_G8_dY,C1_zvf_triage_dY,C2_dualformer_dY,C3_hybrid_dY,C5_isog_y090_dY
aero,0.0,0.0,8.0,1.0,0.6875,8.0,0.0,False,0.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0
aero,0.0,1.0,5.0,0.625,0.6875,10.0,0.014524189755320549,True,0.0072620948776602745,8.0,8.0,4.0,8.0,6.0,0.0,0.0,-0.1486891508102417,0.0,-0.03871142864227295
aero,0.0,2.0,8.0,1.0,0.6875,8.0,0.0,False,0.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0
aero,0.0,3.0,8.0,1.0,0.6875,8.0,0.0,False,0.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0
aero,0.0,4.0,8.0,1.0,0.6875,8.0,0.0,False,0.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0
aero,0.0,5.0,8.0,1.0,0.6875,8.0,0.0,False,0.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0
aero,0.0,6.0,8.0,1.0,0.6875,8.0,0.0,False,0.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0
aero,0.0,7.0,7.0,0.875,0.6875,10.0,0.08053339831531048,True,0.04026669915765524,8.0,8.0,2.0,8.0,24.0,0.0,0.0,-0.4376410245895386,0.0,0.3030400716467391
aero,0.0,8.0,8.0,1.0,0.6875,8.0,0.0,False,0.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0
aero,0.0,9.0,1.0,0.125,0.6875,10.0,0.08053339831531048,True,0.04026669915765524,8.0,8.0,16.0,8.0,24.0,0.0,0.0,0.22554188838920908,0.0,0.3030400716467391
aero,0.0,10.0,7.0,0.875,0.6875,10.0,0.08053339831531048,True,0.04026669915765524,8.0,8.0,2.0,8.0,24.0,0.0,0.0,-0.4376410245895386,0.0,0.3030400716467391
aero,0.0,11.0,1.0,0.125,0.6875,10.0,0.08053339831531048,True,0.04026669915765524,8.0,8.0,16.0,8.0,24.0,0.0,0.0,0.22554188838920908,0.0,0.3030400716467391
aero,0.0,12.0,8.0,1.0,0.6875,8.0,0.0,False,0.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0
aero,0.0,13.0,8.0,1.0,0.6875,8.0,0.0,False,0.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0
aero,0.0,14.0,0.0,0.0,0.6875,8.0,0.0,False,0.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0
aero,0.0,15.0,8.0,1.0,0.6875,8.0,0.0,False,0.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0
aero,1.0,0.0,5.0,0.625,0.6875,10.0,0.014524189755320549,True,0.0072620948776602745,8.0,8.0,4.0,8.0,6.0,0.0,0.0,-0.1486891508102417,0.0,-0.03871142864227295
aero,1.0,1.0,5.0,0.625,0.6875,10.0,0.014524189755320549,True,0.0072620948776602745,8.0,8.0,4.0,8.0,6.0,0.0,0.0,-0.1486891508102417,0.0,-0.03871142864227295
aero,1.0,2.0,4.0,0.5,0.6875,10.0,0.005859375,True,0.0029296875,8.0,8.0,8.0,8.0,6.0,0.0,0.0,0.0,0.0,-0.0234375
aero,1.0,3.0,8.0,1.0,0.6875,8.0,0.0,False,0.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0
aero,1.0,4.0,8.0,1.0,0.6875,8.0,0.0,False,0.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0
aero,1.0,5.0,8.0,1.0,0.6875,8.0,0.0,False,0.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0
aero,1.0,6.0,8.0,1.0,0.6875,8.0,0.0,False,0.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0
aero,1.0,7.0,8.0,1.0,0.6875,8.0,0.0,False,0.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0
aero,1.0,8.0,8.0,1.0,0.6875,8.0,0.0,False,0.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0
aero,1.0,9.0,5.0,0.625,0.6875,10.0,0.014524189755320549,True,0.0072620948776602745,8.0,8.0,4.0,8.0,6.0,0.0,0.0,-0.1486891508102417,0.0,-0.03871142864227295
aero,1.0,10.0,8.0,1.0,0.6875,8.0,0.0,False,0.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0
aero,1.0,11.0,8.0,1.0,0.6875,8.0,0.0,False,0.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0
aero,1.0,12.0,8.0,1.0,0.6875,8.0,0.0,False,0.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0
aero,1.0,13.0,6.0,0.75,0.6875,10.0,0.04381370544433594,True,0.02190685272216797,8.0,8.0,4.0,8.0,10.0,0.0,0.0,-0.220184326171875,0.0,0.04381370544433594
aero,1.0,14.0,8.0,1.0,0.6875,8.0,0.0,False,0.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0
aero,1.0,15.0,0.0,0.0,0.6875,8.0,0.0,False,0.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0
aero,2.0,0.0,8.0,1.0,0.8125,8.0,0.0,False,0.0,8.0,16.0,8.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0
aero,2.0,1.0,8.0,1.0,0.8125,8.0,0.0,False,0.0,8.0,16.0,8.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0
aero,2.0,2.0,8.0,1.0,0.8125,8.0,0.0,False,0.0,8.0,16.0,8.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0
aero,2.0,3.0,8.0,1.0,0.8125,8.0,0.0,False,0.0,8.0,16.0,8.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0
aero,2.0,4.0,7.0,0.875,0.8125,10.0,0.08053339831531048,True,0.04026669915765524,8.0,16.0,2.0,16.0,24.0,0.0,0.22554188838920908,-0.4376410245895386,0.22554188838920908,0.3030400716467391
aero,2.0,5.0,7.0,0.875,0.8125,10.0,0.08053339831531048,True,0.04026669915765524,8.0,16.0,2.0,16.0,24.0,0.0,0.22554188838920908,-0.4376410245895386,0.22554188838920908,0.3030400716467391
aero,2.0,6.0,0.0,0.0,0.8125,8.0,0.0,False,0.0,8.0,16.0,8.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0
aero,2.0,7.0,8.0,1.0,0.8125,8.0,0.0,False,0.0,8.0,16.0,8.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0
aero,2.0,8.0,8.0,1.0,0.8125,8.0,0.0,False,0.0,8.0,16.0,8.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0
aero,2.0,9.0,1.0,0.125,0.8125,10.0,0.08053339831531048,True,0.04026669915765524,8.0,16.0,16.0,16.0,24.0,0.0,0.22554188838920908,0.22554188838920908,0.22554188838920908,0.3030400716467391
aero,2.0,10.0,8.0,1.0,0.8125,8.0,0.0,False,0.0,8.0,16.0,8.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0
aero,2.0,11.0,8.0,1.0,0.8125,8.0,0.0,False,0.0,8.0,16.0,8.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0
aero,2.0,12.0,8.0,1.0,0.8125,8.0,0.0,False,0.0,8.0,16.0,8.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0
aero,2.0,13.0,8.0,1.0,0.8125,8.0,0.0,False,0.0,8.0,16.0,8.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0
aero,2.0,14.0,8.0,1.0,0.8125,8.0,0.0,False,0.0,8.0,16.0,8.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0
aero,2.0,15.0,8.0,1.0,0.8125,8.0,0.0,False,0.0,8.0,16.0,8.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0
aero,3.0,0.0,5.0,0.625,0.6875,10.0,0.014524189755320549,True,0.0072620948776602745,8.0,8.0,4.0,8.0,6.0,0.0,0.0,-0.1486891508102417,0.0,-0.03871142864227295
aero,3.0,1.0,8.0,1.0,0.6875,8.0,0.0,False,0.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0
aero,3.0,2.0,8.0,1.0,0.6875,8.0,0.0,False,0.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0
aero,3.0,3.0,8.0,1.0,0.6875,8.0,0.0,False,0.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0
aero,3.0,4.0,0.0,0.0,0.6875,8.0,0.0,False,0.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0
aero,3.0,5.0,8.0,1.0,0.6875,8.0,0.0,False,0.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0
aero,3.0,6.0,6.0,0.75,0.6875,10.0,0.04381370544433594,True,0.02190685272216797,8.0,8.0,4.0,8.0,10.0,0.0,0.0,-0.220184326171875,0.0,0.04381370544433594
aero,3.0,7.0,8.0,1.0,0.6875,8.0,0.0,False,0.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0
aero,3.0,8.0,0.0,0.0,0.6875,8.0,0.0,False,0.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0
aero,3.0,9.0,7.0,0.875,0.6875,10.0,0.08053339831531048,True,0.04026669915765524,8.0,8.0,2.0,8.0,24.0,0.0,0.0,-0.4376410245895386,0.0,0.3030400716467391
aero,3.0,10.0,8.0,1.0,0.6875,8.0,0.0,False,0.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0
aero,3.0,11.0,8.0,1.0,0.6875,8.0,0.0,False,0.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0
aero,3.0,12.0,8.0,1.0,0.6875,8.0,0.0,False,0.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0
aero,3.0,13.0,5.0,0.625,0.6875,10.0,0.014524189755320549,True,0.0072620948776602745,8.0,8.0,4.0,8.0,6.0,0.0,0.0,-0.1486891508102417,0.0,-0.03871142864227295
aero,3.0,14.0,2.0,0.25,0.6875,10.0,0.04381370544433594,True,0.02190685272216797,8.0,8.0,16.0,8.0,10.0,0.0,0.0,0.09010557783767581,0.0,0.04381370544433594
aero,3.0,15.0,8.0,1.0,0.6875,8.0,0.0,False,0.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0
aero,4.0,0.0,8.0,1.0,0.75,8.0,0.0,False,0.0,8.0,16.0,8.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0
aero,4.0,1.0,6.0,0.75,0.75,10.0,0.04381370544433594,True,0.02190685272216797,8.0,16.0,4.0,16.0,10.0,0.0,0.09010557783767581,-0.220184326171875,0.09010557783767581,0.04381370544433594
aero,4.0,2.0,0.0,0.0,0.75,8.0,0.0,False,0.0,8.0,16.0,8.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0
aero,4.0,3.0,4.0,0.5,0.75,10.0,0.005859375,True,0.0029296875,8.0,16.0,8.0,16.0,6.0,0.0,0.007781982421875,0.0,0.007781982421875,-0.0234375
aero,4.0,4.0,8.0,1.0,0.75,8.0,0.0,False,0.0,8.0,16.0,8.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0
aero,4.0,5.0,8.0,1.0,0.75,8.0,0.0,False,0.0,8.0,16.0,8.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0
aero,4.0,6.0,8.0,1.0,0.75,8.0,0.0,False,0.0,8.0,16.0,8.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0
aero,4.0,7.0,8.0,1.0,0.75,8.0,0.0,False,0.0,8.0,16.0,8.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0
aero,4.0,8.0,8.0,1.0,0.75,8.0,0.0,False,0.0,8.0,16.0,8.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0
aero,4.0,9.0,8.0,1.0,0.75,8.0,0.0,False,0.0,8.0,16.0,8.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0
aero,4.0,10.0,8.0,1.0,0.75,8.0,0.0,False,0.0,8.0,16.0,8.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0
aero,4.0,11.0,8.0,1.0,0.75,8.0,0.0,False,0.0,8.0,16.0,8.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0
aero,4.0,12.0,8.0,1.0,0.75,8.0,0.0,False,0.0,8.0,16.0,8.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0
aero,4.0,13.0,4.0,0.5,0.75,10.0,0.005859375,True,0.0029296875,8.0,16.0,8.0,16.0,6.0,0.0,0.007781982421875,0.0,0.007781982421875,-0.0234375
aero,4.0,14.0,8.0,1.0,0.75,8.0,0.0,False,0.0,8.0,16.0,8.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0
aero,4.0,15.0,4.0,0.5,0.75,10.0,0.005859375,True,0.0029296875,8.0,16.0,8.0,16.0,6.0,0.0,0.007781982421875,0.0,0.007781982421875,-0.0234375
aero,5.0,0.0,8.0,1.0,0.5625,8.0,0.0,False,0.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0
aero,5.0,1.0,0.0,0.0,0.5625,8.0,0.0,False,0.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0
aero,5.0,2.0,6.0,0.75,0.5625,10.0,0.04381370544433594,True,0.02190685272216797,8.0,8.0,4.0,8.0,10.0,0.0,0.0,-0.220184326171875,0.0,0.04381370544433594
aero,5.0,3.0,6.0,0.75,0.5625,10.0,0.04381370544433594,True,0.02190685272216797,8.0,8.0,4.0,8.0,10.0,0.0,0.0,-0.220184326171875,0.0,0.04381370544433594
aero,5.0,4.0,8.0,1.0,0.5625,8.0,0.0,False,0.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0
aero,5.0,5.0,8.0,1.0,0.5625,8.0,0.0,False,0.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0
aero,5.0,6.0,1.0,0.125,0.5625,10.0,0.08053339831531048,True,0.04026669915765524,8.0,8.0,16.0,8.0,24.0,0.0,0.0,0.22554188838920908,0.0,0.3030400716467391
aero,5.0,7.0,2.0,0.25,0.5625,10.0,0.04381370544433594,True,0.02190685272216797,8.0,8.0,16.0,8.0,10.0,0.0,0.0,0.09010557783767581,0.0,0.04381370544433594
aero,5.0,8.0,7.0,0.875,0.5625,10.0,0.08053339831531048,True,0.04026669915765524,8.0,8.0,2.0,8.0,24.0,0.0,0.0,-0.4376410245895386,0.0,0.3030400716467391
aero,5.0,9.0,8.0,1.0,0.5625,8.0,0.0,False,0.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0
aero,5.0,10.0,3.0,0.375,0.5625,10.0,0.014524189755320549,True,0.0072620948776602745,8.0,8.0,8.0,8.0,6.0,0.0,0.0,0.0,0.0,-0.03871142864227295
aero,5.0,11.0,0.0,0.0,0.5625,8.0,0.0,False,0.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0
aero,5.0,12.0,8.0,1.0,0.5625,8.0,0.0,False,0.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0
