source_pdf	reason
platform_hybrid/experiments/results/framework_comparison.pdf	purely graphical plot export without narrative prose
platform_hybrid/experiments/results/p5p8/figures/p8_asym_cost.pdf	purely graphical plot export without narrative prose
platform_hybrid/paper/figures/comparison_bars.pdf	purely graphical plot export without narrative prose
platform_hybrid/paper/figures/figure_lora_sparsity.pdf	purely graphical plot export without narrative prose
platform_hybrid/paper/figures/figure_saturation_curves.pdf	purely graphical plot export without narrative prose
platform_hybrid/paper/figures/figure_stat_rigor.pdf	purely graphical plot export without narrative prose
platform_hybrid/paper/figures/group_size_iter103.pdf	purely graphical plot export without narrative prose
platform_hybrid/paper/figures/group_size_iter107.pdf	purely graphical plot export without narrative prose
platform_hybrid/paper/figures/group_size_iter115.pdf	purely graphical plot export without narrative prose
platform_hybrid/paper/figures/group_size_iter119.pdf	purely graphical plot export without narrative prose
platform_hybrid/paper/figures/group_size_iter19.pdf	purely graphical plot export without narrative prose
platform_hybrid/paper/figures/group_size_iter31.pdf	purely graphical plot export without narrative prose
platform_hybrid/paper/figures/group_size_iter35.pdf	purely graphical plot export without narrative prose
platform_hybrid/paper/figures/group_size_iter39.pdf	purely graphical plot export without narrative prose
platform_hybrid/paper/figures/group_size_iter43.pdf	purely graphical plot export without narrative prose
platform_hybrid/paper/figures/group_size_iter47.pdf	purely graphical plot export without narrative prose
platform_hybrid/paper/figures/group_size_iter67_iaf.pdf	purely graphical plot export without narrative prose
platform_hybrid/paper/figures/group_size_iter71_decomp.pdf	purely graphical plot export without narrative prose
platform_hybrid/paper/figures/group_size_iter71_g4_budget.pdf	purely graphical plot export without narrative prose
platform_hybrid/paper/figures/group_size_iter99.pdf	purely graphical plot export without narrative prose
platform_hybrid/paper/figures/learning_curves.pdf	purely graphical plot export without narrative prose
platform_hybrid/paper/figures/length_bias_iter100_var.pdf	purely graphical plot export without narrative prose
platform_hybrid/paper/figures/length_bias_iter104_qreg.pdf	purely graphical plot export without narrative prose
platform_hybrid/paper/figures/length_bias_iter108_progress_lquant.pdf	purely graphical plot export without narrative prose
platform_hybrid/paper/figures/length_bias_iter112_sever_reward.pdf	purely graphical plot export without narrative prose
platform_hybrid/paper/figures/length_bias_iter116_sever_zvf.pdf	purely graphical plot export without narrative prose
platform_hybrid/paper/figures/length_bias_iter124_static_vs_dynamic.pdf	purely graphical plot export without narrative prose
platform_hybrid/paper/figures/length_bias_iter32.pdf	purely graphical plot export without narrative prose
platform_hybrid/paper/figures/length_bias_iter36.pdf	purely graphical plot export without narrative prose
platform_hybrid/paper/figures/length_bias_iter40.pdf	purely graphical plot export without narrative prose
platform_hybrid/paper/figures/length_bias_iter44.pdf	purely graphical plot export without narrative prose
platform_hybrid/paper/figures/length_bias_iter80.pdf	purely graphical plot export without narrative prose
platform_hybrid/paper/figures/length_plateau_slopes.pdf	purely graphical plot export without narrative prose
platform_hybrid/paper/figures/old_trl_seeds.pdf	purely graphical plot export without narrative prose
platform_hybrid/paper/figures/performance_profiles.pdf	purely graphical plot export without narrative prose
platform_hybrid/paper/figures/scaling_law_iter101.pdf	purely graphical plot export without narrative prose
platform_hybrid/paper/figures/scaling_law_iter85.pdf	purely graphical plot export without narrative prose
platform_hybrid/paper/figures/scaling_law_iter93.pdf	purely graphical plot export without narrative prose
platform_hybrid/paper/figures/scaling_law_iter97.pdf	purely graphical plot export without narrative prose
platform_hybrid/paper/figures/sensitivity_heatmap.pdf	purely graphical plot export without narrative prose
platform_hybrid/paper/figures/v2/comparison_bars.pdf	purely graphical plot export without narrative prose
platform_hybrid/paper/figures/v2/framework_comparison.pdf	purely graphical plot export without narrative prose
platform_hybrid/paper/figures/v2/group_size_ablation.pdf	purely graphical plot export without narrative prose
platform_hybrid/paper/figures/v2/kl_proxy.pdf	purely graphical plot export without narrative prose
platform_hybrid/paper/figures/v2/learning_curves.pdf	purely graphical plot export without narrative prose
platform_hybrid/paper/figures/v2/ppo_vs_grpo.pdf	purely graphical plot export without narrative prose
platform_hybrid/paper/figures/v2/scaling.pdf	purely graphical plot export without narrative prose
platform_hybrid/paper/figures/v2/sensitivity_heatmap.pdf	purely graphical plot export without narrative prose
platform_hybrid/paper/figures/v2/zvf_correlation.pdf	purely graphical plot export without narrative prose
platform_hybrid/paper/figures/zvf_iter62_difficulty_strata.pdf	purely graphical plot export without narrative prose
platform_hybrid/paper/figures/zvf_iter70_quad.pdf	purely graphical plot export without narrative prose
platform_hybrid/paper/figures/zvf_leadtime.pdf	purely graphical plot export without narrative prose
platform_hybrid/paper/figures/zvf_library_bootstrap.pdf	purely graphical plot export without narrative prose
platform_hybrid/paper/figures/zvf_scaling_cross_pillar.pdf	purely graphical plot export without narrative prose
platform_hybrid/paper/figures/zvf_vs_failure.pdf	purely graphical plot export without narrative prose
